ballotID,rank1,rank2,rank3,rank4,rank5
12509,Peter N. Ives,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12510,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,skipped
12511,Joseph M. Maestas,Alan Webber,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
12512,Alan Webber,Peter N. Ives,Joseph M. Maestas,skipped,skipped
12513,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Alan Webber
12514,Alan Webber,Ronald S. Trujillo,Peter N. Ives,Kate I. Noble,Joseph M. Maestas
12515,Alan Webber,Peter N. Ives,skipped,skipped,skipped
12516,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12517,Ronald S. Trujillo,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Alan Webber
12518,Alan Webber,Kate I. Noble,Peter N. Ives,skipped,skipped
12519,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Peter N. Ives,Joseph M. Maestas
12520,Joseph M. Maestas,Alan Webber,Peter N. Ives,Kate I. Noble,skipped
12521,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12522,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Peter N. Ives
12523,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo
12524,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12525,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber
12526,Alan Webber,Ronald S. Trujillo,skipped,skipped,Kate I. Noble
12527,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12528,Alan Webber,Joseph M. Maestas,skipped,skipped,skipped
12529,Ronald S. Trujillo,Kate I. Noble,skipped,skipped,skipped
12530,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12531,Alan Webber,Kate I. Noble,skipped,skipped,skipped
12532,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12533,Joseph M. Maestas,Ronald S. Trujillo,Alan Webber,Peter N. Ives,Kate I. Noble
12534,Alan Webber,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo,Peter N. Ives
12535,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12536,Ronald S. Trujillo,Alan Webber,overvote,Peter N. Ives,Kate I. Noble
12537,Alan Webber,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo,Joseph M. Maestas
12538,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12539,Ronald S. Trujillo,Alan Webber,skipped,skipped,skipped
12540,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,skipped
12541,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12542,Alan Webber,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo,Peter N. Ives
12543,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,skipped
12544,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12545,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12546,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12547,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12548,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo,skipped,skipped
12549,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12550,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,Alan Webber,Kate I. Noble
12551,Kate I. Noble,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo,Peter N. Ives
12552,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12553,Alan Webber,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo,Peter N. Ives
12554,Ronald S. Trujillo,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Alan Webber
12555,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12556,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Alan Webber
12557,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble,Peter N. Ives
12558,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,Alan Webber
12559,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber,Peter N. Ives,Kate I. Noble
12560,Ronald S. Trujillo,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,Alan Webber
12561,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble
12562,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12563,Ronald S. Trujillo,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas
12564,Ronald S. Trujillo,Ronald S. Trujillo,Ronald S. Trujillo,Ronald S. Trujillo,Ronald S. Trujillo
12565,Kate I. Noble,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12566,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12567,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12568,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12569,Kate I. Noble,Alan Webber,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas
12570,Alan Webber,Kate I. Noble,Peter N. Ives,skipped,skipped
12571,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
12572,Alan Webber,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas
12573,Joseph M. Maestas,Alan Webber,skipped,skipped,skipped
12574,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12575,Alan Webber,Joseph M. Maestas,Peter N. Ives,skipped,skipped
