contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,state_code,county,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
San Francisco Board of Supervisors District 2 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 2,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 2 Supervisors/BallotImage-D2.txt
San Francisco Board of Supervisors District 6 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 6,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 6 Supervisors/BallotImage-D6.txt
San Francisco Board of Supervisors District 8 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 8,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 8 Supervisors/BallotImage-D8.txt
San Francisco District Attorney 2011,San Francisco,CA,2011,11/8/2011,District Attorney,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran Nov 2011 District Attorney/DA-BallotImage.txt
San Francisco Mayor 2011,San Francisco,CA,2011,11/8/2011,Mayor,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran Nov 2011 Mayor/Mayor-BallotImage.txt
San Francisco Sheriff 2011,San Francisco,CA,2011,11/8/2011,Sheriff,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran Nov 2011 Sheriff/Sheriff-BallotImage.txt
San Francisco Board of Supervisors District 5 2012,San Francisco,CA,2012,11/6/2012,Board of Supervisors District 5,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2012_District 5 Supervisors/D5-BallotImage.txt
San Francisco Board of Supervisors District 7 2012,San Francisco,CA,2012,11/6/2012,Board of Supervisors District 7,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2012_District 7 Supervisors/D7-BallotImage.txt
San Francisco Board of Supervisors District 10 2014,San Francisco,CA,2014,11/4/2014,Board of Supervisors District 10,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2014_District 10 Supervisors/D10_BallotImage.txt
San Francisco Board of Supervisors District 3 2015,San Francisco,CA,2015,11/3/2015,Board of Supervisors District 3,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000003')",,rcv_single_winner,1,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt
San Francisco Mayor 2015,San Francisco,CA,2015,11/3/2015,Mayor,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000001')",,rcv_single_winner,1,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt
San Francisco Sheriff 2015,San Francisco,CA,2015,11/3/2015,Sheriff,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000002')",,rcv_single_winner,1,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt
San Francisco Board of Supervisors District 1 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 1,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000009')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 11 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 11,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000014')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 3 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 3,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000010')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 5 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 5,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000011')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 7 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 7,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000012')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Board of Supervisors District 9 2016,San Francisco,CA,2016,11/8/2016,Board of Supervisors District 9,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,"partial(sf, '0000013')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt
San Francisco Assessor-Recorder 2018,San Francisco,CA,2018,11/6/2018,Assessor-Recorder,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_assessor_ballotimage.txt
San Francisco Board of Supervisors District 10 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 10,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d10_ballotimage.txt
San Francisco Board of Supervisors District 2 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 2,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d2_ballotimage.txt
San Francisco Board of Supervisors District 4 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 4,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d4_ballotimage.txt
San Francisco Board of Supervisors District 6 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 6,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d6_ballotimage.txt
San Francisco Board of Supervisors District 8 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 8,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d8_ballotimage.txt
San Francisco Board of Supervisors District 8 June 2018,San Francisco,CA,2018,6/5/2018,Board of Supervisors District 8,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000021')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran June 2018/20180621_ballotimage.txt
San Francisco Mayor June 2018,San Francisco,CA,2018,6/5/2018,Mayor,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000020')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran June 2018/20180621_ballotimage.txt
San Francisco Public Defender 2018,San Francisco,CA,2018,11/6/2018,Public Defender,TRUE,FALSE,,"""06""","""075""",Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_defender_ballotimage.txt
"San Francisco Board of Supervisors, District 5 2019",San Francisco,CA,2019,11/5/2019,"Member, Board of Supervisors, District 5",,,,"""06""","""075""",,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco City Attorney 2019,San Francisco,CA,2019,11/5/2019,City Attorney,,,,"""06""","""075""",,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco District Attorney 2019,San Francisco,CA,2019,11/5/2019,District Attorney,,,,"""06""","""075""",,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Mayor 2019,San Francisco,CA,2019,11/5/2019,Mayor,,,,"""06""","""075""",,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Public Defender 2019,San Francisco,CA,2019,11/5/2019,Public Defender,,,,"""06""","""075""",,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Sheriff 2019,San Francisco,CA,2019,11/5/2019,Sheriff,,,,"""06""","""075""",,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Treasurer 2019,San Francisco,CA,2019,11/5/2019,Treasurer,,,,"""06""","""075""",,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
2010 Mayor of San Leandro Nov 2010,San Leandro,CA,2010,11/2/2010,Mayor,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Mayor of San Leandro_Nov 2010.txt"
"2010 Member, City Council, District 1 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 1,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 1 - San Leandro_Nov 2010.txt"
"2010 Member, City Council, District 3 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 3,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 3 - San Leandro_Nov 2010.txt"
"2010 Member, City Council, District 5 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 5,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 5 - San Leandro_Nov 2010.txt"
"2012 Member, City Council, District 2 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 2,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - San Leandro_Nov 2012.txt"
"2012 Member, City Council, District 4 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 4,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 4 - San Leandro_Nov 2012.txt"
"2012 Member, City Council, District 6 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 6,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 6 - San Leandro_Nov 2012.txt"
2014 Mayor of San Leandro Nov 2014,San Leandro,CA,2014,11/4/2014,Mayor,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Mayor of San Leandro_Nov 2014.txt"
"2014 Member, City Council, District 1 - San Leandro Nov 2014",San Leandro,CA,2014,11/4/2014,County Council District 1,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 1 - San Leandro_Nov 2014.txt"
"2014 Member, City Council, District 3 - San Leandro Nov 2014",San Leandro,CA,2014,11/4/2014,County Council District 3,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 3 - San Leandro_Nov 2014.txt"
"2014 Member, City Council, District 5 - San Leandro Nov 2014",San Leandro,CA,2014,11/4/2014,County Council District 5,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 5 - San Leandro_Nov 2014.txt"
2016 SanLeandroCouncilD2,San Leandro,CA,2016,11/8/2016,County Council District 2,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD2/ballot_image.txt"
2016 SanLeandroCouncilD4,San Leandro,CA,2016,11/8/2016,County Council District 4,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD4/ballot_image.txt"
2016 SanLeandroCouncilD6,San Leandro,CA,2016,11/8/2016,County Council District 6,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD6/ballot_image.txt"
San Leandro Council D1 2018,San Leandro,CA,2018,11/6/2018,County Council District 1,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroCouncilD12018ballot_image.txt"
San Leandro Council D3 2018,San Leandro,CA,2018,11/6/2018,County Council District 3,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroCouncilD32018ballot_image.txt"
San Leandro Council D5 2018,San Leandro,CA,2018,11/6/2018,County Council District 5,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroCouncilD52018ballot_image.txt"
San Leandro Mayor 2018,San Leandro,CA,2018,11/6/2018,Mayor,TRUE,FALSE,,"""06""","""001""",,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroMayor2018ballot_image.txt"
Santa Fe Councilor District 2 2018,Santa Fe,NM,2018,3/6/2018,City Council District 2,,,,,,,,"partial(santafe, 1, 3)","partial(santafe_id, 1, 3)",rcv_single_winner,1,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv
Santa Fe Councilor District 4 2018,Santa Fe,NM,2018,3/6/2018,City Council District 4,,,,,,,,"partial(santafe, 1, 5)","partial(santafe_id, 1, 5)",rcv_single_winner,1,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv
Santa Fe Mayor 2018,Santa Fe,NM,2018,3/6/2018,Mayor,,,,,,,,"partial(santafe, 0, 1)","partial(santafe_id, 0, 1)",rcv_single_winner,1,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv
Vineyard City Council 2019,Vineyard,UT,2019,11/5/2019,City Council,,TRUE,,,,,,utah,,sequential_rcv,2,Ballot_Images/Vineyard/2019/Vineyard.csv
