ballotID,Precinct,Ballot Style,rank1,rank2,rank3
22772,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F."
22774,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22775,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip"
22776,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.",skipped,skipped
22777,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.",skipped,skipped
22785,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip"
22786,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M."
22787,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22791,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22793,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Curry, Glenn Chip",skipped
22794,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Stanicki, Robyn M.",skipped
22795,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped
22799,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip"
22810,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F."
22811,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped
22812,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22813,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.",skipped,skipped
22820,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
22821,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22826,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip"
22827,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M."
22832,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F."
