contest,master_lookup,chp,candidate_map,write_ins,parser,date,idparser,number,path,break_on_overvote,place,office,break_on_repeated_undervotes
Minneapolis Ward 2 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-2-cvr.xlsx.csv,False,Minneapolis,Ward 2,
Minneapolis Ward 3 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-3-cvr.xlsx.csv,False,Minneapolis,Ward 3,
Minneapolis Ward 4 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-4-cvr.xlsx.csv,False,Minneapolis,Ward 4,
Minneapolis Ward 5 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-5-cvr.xlsx.csv,False,Minneapolis,Ward 5,
Minneapolis Ward 6 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-6-cvr.xlsx.csv,False,Minneapolis,Ward 6,
Minneapolis Ward 7 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-7-cvr.xlsx.csv,False,Minneapolis,Ward 7,
Minneapolis Ward 8 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-8-cvr.xlsx.csv,False,Minneapolis,Ward 8,
Minneapolis Ward 9 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-9-cvr.xlsx.csv,False,Minneapolis,Ward 9,
Minneapolis Ward 10 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-10-cvr.xlsx.csv,False,Minneapolis,Ward 10,
Minneapolis Ward 11 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-11-cvr.xlsx.csv,False,Minneapolis,Ward 11,
Minneapolis Ward 12 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-12-cvr.xlsx.csv,False,Minneapolis,Ward 12,
Minneapolis Ward 13 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-13-cvr.xlsx.csv,False,Minneapolis,Ward 13,
Minneapolis Mayor 2013,,,,,minneapolis,2013,,,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-mayor-cvr.xlsx.csv,False,Minneapolis,Mayor,
Minneapolis BOE 2013,,,,,minneapolis,2013,,,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-board of estimation and taxation cvr.xlsx.csv,False,Minneapolis,BOE,
Minneapolis Park At Large 2013,,,,,minneapolis,2013,,3,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-at-large-cvr.xlsx.csv,False,Minneapolis,Park At Large,
Minneapolis Park District 2 2013,,,,,minneapolis,2013,,,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-district-2-cvr.xlsx.csv,False,Minneapolis,Park District 2,
Minneapolis Park District 6 2013,,,,,minneapolis,2013,,,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-district-6-cvr.xlsx.csv,False,Minneapolis,Park District 6,
Minneapolis Ward 5 2013,,,,,minneapolis,2013,,,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-5-cvr.xlsx.csv,False,Minneapolis,Ward 5,
Minneapolis Ward 9 2013,,,,,minneapolis,2013,,,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-9-cvr.xlsx.csv,False,Minneapolis,Ward 9,
Minneapolis Ward 13 2013,,,,,minneapolis,2013,,,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-13-cvr.xlsx.csv,False,Minneapolis,Ward 13,
Minneapolis Mayor 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Mayor.xls.csv,False,Minneapolis,Mayor,
Minneapolis BOE 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Board of Estimate and Taxation – At-Large – elect 2.xls.csv,False,Minneapolis,BOE,
Minneapolis Park At Large 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Park and Recreation Board – At-Large – elect 3.xls.csv,False,Minneapolis,Park At Large,
Minneapolis Park District 1 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 1.xls.csv,False,Minneapolis,Park District 1,
Minneapolis Park District 2 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 2.xls.csv,False,Minneapolis,Park District 2,
Minneapolis Park District 3 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 3.xls.csv,False,Minneapolis,Park District 3,
Minneapolis Park District 4 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 4.xls.csv,False,Minneapolis,Park District 4,
Minneapolis Park District 5 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 5.xls.csv,False,Minneapolis,Park District 5,
Minneapolis Park District 6 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 6.xls.csv,False,Minneapolis,Park District 6,
Minneapolis Ward 1 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 1.xls.csv,False,Minneapolis,Ward 1,
Minneapolis Ward 2 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 2.xls.csv,False,Minneapolis,Ward 2,
Minneapolis Ward 3 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 3.xls.csv,False,Minneapolis,Ward 3,
Minneapolis Ward 4 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 4.xls.csv,False,Minneapolis,Ward 4,
Minneapolis Ward 5 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 5.xls.csv,False,Minneapolis,Ward 5,
Minneapolis Ward 6 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 6.xls.csv,False,Minneapolis,Ward 6,
Minneapolis Ward 7 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 7.xls.csv,False,Minneapolis,Ward 7,
Minneapolis Ward 8 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 8.xls.csv,False,Minneapolis,Ward 8,
Minneapolis Ward 9 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 9.xls.csv,False,Minneapolis,Ward 9,
Minneapolis Ward 10 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 10.xls.csv,False,Minneapolis,Ward 10,
Minneapolis Ward 11 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 11.xls.csv,False,Minneapolis,Ward 11,
Minneapolis Ward 12 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 12.xls.csv,False,Minneapolis,Ward 12,
Minneapolis Ward 13 2009,,,,,minneapolis,2009,,,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 13.xls.csv,False,Minneapolis,Ward 13,
San Francisco Mayor 2015,,,,,"partial(sf, '0000001')",2015,,,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt,True,San Francisco,Mayor,False
San Francisco Sheriff 2015,,,,,"partial(sf, '0000002')",2015,,,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt,True,San Francisco,Sheriff,False
San Francisco Board of Supervisors District 3 2015,,,,,"partial(sf, '0000003')",2015,,,Ballot_Images/San Francisco/2015 All offices/20151119_ballotimage.txt,True,San Francisco,Board of Supervisors District 3,False
San Francisco Assessor-Recorder 2018,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,,,sfnoid,2018,,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_assessor_ballotimage.txt,True,San Francisco,Assessor-Recorder,False
San Francisco Public Defender 2018,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,,,sfnoid,2018,,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_defender_ballotimage.txt,True,San Francisco,Public Defender,False
San Francisco Board of Supervisors District 2 2018,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,,,sfnoid,2018,,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d2_ballotimage.txt,True,San Francisco,Board of Supervisors District 2,False
San Francisco Board of Supervisors District 4 2018,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,,,sfnoid,2018,,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d4_ballotimage.txt,True,San Francisco,Board of Supervisors District 4,False
San Francisco Board of Supervisors District 6 2018,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,,,sfnoid,2018,,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d6_ballotimage.txt,True,San Francisco,Board of Supervisors District 6,False
San Francisco Board of Supervisors District 8 2018,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,,,sfnoid,2018,,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d8_ballotimage.txt,True,San Francisco,Board of Supervisors District 8,False
San Francisco Board of Supervisors District 10 2018,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,,,sfnoid,2018,,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d10_ballotimage.txt,True,San Francisco,Board of Supervisors District 10,False
San Francisco Board of Supervisors District 1 2016,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,,,"partial(sf, '0000009')",2016,,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt,True,San Francisco,Board of Supervisors District 1,False
San Francisco Board of Supervisors District 3 2016,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,,,"partial(sf, '0000010')",2016,,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt,True,San Francisco,Board of Supervisors District 3,False
San Francisco Board of Supervisors District 5 2016,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,,,"partial(sf, '0000011')",2016,,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt,True,San Francisco,Board of Supervisors District 5,False
San Francisco Board of Supervisors District 7 2016,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,,,"partial(sf, '0000012')",2016,,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt,True,San Francisco,Board of Supervisors District 7,False
San Francisco Board of Supervisors District 9 2016,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,,,"partial(sf, '0000013')",2016,,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt,True,San Francisco,Board of Supervisors District 9,False
San Francisco Board of Supervisors District 11 2016,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_masterlookup.txt,,,,"partial(sf, '0000014')",2016,,,Ballot_Images/San Francisco/San Fran_Nov 2016/20161206_ballotimage.txt,True,San Francisco,Board of Supervisors District 11,False
San Francisco Board of Supervisors District 10 2014,,,,,sfnoid,2014,,,Ballot_Images/San Francisco/San Fran_Nov 2014_District 10 Supervisors/D10_BallotImage.txt,True,San Francisco,Board of Supervisors District 10,False
San Francisco Board of Supervisors District 7 2012,,,,,sfnoid,2012,,,Ballot_Images/San Francisco/San Fran_Nov 2012_District 7 Supervisors/D7-BallotImage.txt,True,San Francisco,Board of Supervisors District 7,False
San Francisco Board of Supervisors District 5 2012,,,,,sfnoid,2012,,,Ballot_Images/San Francisco/San Fran_Nov 2012_District 5 Supervisors/D5-BallotImage.txt,True,San Francisco,Board of Supervisors District 5,False
San Francisco Board of Supervisors District 10 2010,,,,,sfnoid,2010,,,Ballot_Images/San Francisco/San Fran_Nov 2010_District 10 Supervisors/BallotImage-D10.txt,True,San Francisco,Board of Supervisors District 10,False
San Francisco Board of Supervisors District 8 2010,,,,,sfnoid,2010,,,Ballot_Images/San Francisco/San Fran_Nov 2010_District 8 Supervisors/BallotImage-D8.txt,True,San Francisco,Board of Supervisors District 8,False
San Francisco Board of Supervisors District 6 2010,,,,,sfnoid,2010,,,Ballot_Images/San Francisco/San Fran_Nov 2010_District 6 Supervisors/BallotImage-D6.txt,True,San Francisco,Board of Supervisors District 6,False
San Francisco Board of Supervisors District 2 2010,,,,,sfnoid,2010,,,Ballot_Images/San Francisco/San Fran_Nov 2010_District 2 Supervisors/BallotImage-D2.txt,True,San Francisco,Board of Supervisors District 2,False
San Francisco Board of Supervisors District 1 2008,,,,,"partial(sf, '0000003')",2008,,,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt,True,San Francisco,Board of Supervisors District 1,False
San Francisco Board of Supervisors District 3 2008,,,,,"partial(sf, '0000005')",2008,,,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt,True,San Francisco,Board of Supervisors District 3,False
San Francisco Board of Supervisors District 4 2008,,,,,"partial(sf, '0000006')",2008,,,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt,True,San Francisco,Board of Supervisors District 4,False
San Francisco Board of Supervisors District 5 2008,,,,,"partial(sf, '0000007')",2008,,,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt,True,San Francisco,Board of Supervisors District 5,False
San Francisco Board of Supervisors District 7 2008,,,,,"partial(sf, '0000008')",2008,,,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt,True,San Francisco,Board of Supervisors District 7,False
San Francisco Board of Supervisors District 9 2008,,,,,"partial(sf, '0000009')",2008,,,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt,True,San Francisco,Board of Supervisors District 9,False
San Francisco Board of Supervisors District 11 2008,,,,,"partial(sf, '0000004')",2008,,,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt,True,San Francisco,Board of Supervisors District 11,False
San Francisco Sheriff 2011,,,,,sfnoid,2011,,,Ballot_Images/San Francisco/San Fran Nov 2011 Sheriff/Sheriff-BallotImage.txt,True,San Francisco,Sheriff,False
San Francisco Mayor 2011,,,,,sfnoid,2011,,,Ballot_Images/San Francisco/San Fran Nov 2011 Mayor/Mayor-BallotImage.txt,True,San Francisco,Mayor,False
San Francisco District Attorney 2011,,,,,sfnoid,2011,,,Ballot_Images/San Francisco/San Fran Nov 2011 District Attorney/DA-BallotImage.txt,True,San Francisco,District Attorney,False
San Francisco District 1 2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Cntl.txt,,old,2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Ballots.txt,True,San Francisco,District 1,False
San Francisco District 2 2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Cntl.txt,,old,2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Ballots.txt,True,San Francisco,District 2,False
San Francisco District 3 2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Cntl.txt,,old,2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Ballots.txt,True,San Francisco,District 3,False
San Francisco District 5 2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Cntl.txt,,old,2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Ballots.txt,True,San Francisco,District 5,False
San Francisco District 7 2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Cntl.txt,,old,2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Ballots.txt,True,San Francisco,District 7,False
San Francisco District 9 2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Cntl.txt,,old,2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Ballots.txt,True,San Francisco,District 9,False
San Francisco District 11 2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Cntl.txt,,old,2004,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Ballots.txt,True,San Francisco,District 11,False
San Francisco Mayor June 2018,,,,,"partial(sf, '0000020')",2018,,,Ballot_Images/San Francisco/San Fran June 2018/20180621_ballotimage.txt,True,San Francisco,Mayor,False
San Francisco Board of Supervisors District 8 June 2018,,,,,"partial(sf, '0000021')",2018,,,Ballot_Images/San Francisco/San Fran June 2018/20180621_ballotimage.txt,True,San Francisco,Board of Supervisors District 8,False
San Francisco Mayor 2007,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2007/MYR-Cntl.txt,,old,2007,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2007/MYR-Ballots.txt,True,San Francisco,Mayor,False
San Francisco Board of Supervisors District 2 2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D02-Cntl.txt,,old,2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D02-Ballots.txt,True,San Francisco,Board of Supervisors District 2,False
San Francisco Board of Supervisors District 4 2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D04-Cntl.txt,,old,2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D04-Ballots.txt,True,San Francisco,Board of Supervisors District 4,False
San Francisco Board of Supervisors District 6 2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D06-Cntl.txt,,old,2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D06-Ballots.txt,True,San Francisco,Board of Supervisors District 6,False
San Francisco Board of Supervisors District 8 2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D08-Cntl.txt,,old,2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D08-Ballots.txt,True,San Francisco,Board of Supervisors District 8,False
San Francisco Board of Supervisors District 10 2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Cntl.txt,,old,2006,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Ballots.txt,True,San Francisco,Board of Supervisors District 10,False
San Francisco Treasurer 2005,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Cntl.txt,,old,2005,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Ballots.txt,True,San Francisco,Treasurer,False
San Francisco Assessor-Recorder 2005,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Cntl.txt,,old,2005,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Ballots.txt,True,San Francisco,Assessor-Recorder,False
Pierce County Executive 2008,,,,,sfnoid,2008,,,Ballot_Images/Pierce County/Pierce County Executive 2008 Ballot Image.txt,True,Pierce County,Executive,False
"Pierce County Council, District 2 2008",,,,,sfnoid,2008,,,"Ballot_Images/Pierce County/Pierce County Council, District No. 2 2008 Ballot Image.txt",True,Pierce County,Council District 2,False
Pierce County Auditor 2009,,,,,sfnoid,2009,,,Ballot_Images/Pierce County/Pierce County Auditor 2009 Ballot Image.txt,True,Pierce County,Auditor,False
Pierce County Assessor - Treasurer 2008,,,,,sfnoid,2008,,,Ballot_Images/Pierce County/Pierce County Assessor - Treasurer 2008 Ballot Image.txt,True,Pierce County,Assessor - Treasurer,False
2012 City Attorney - Oakland Nov 2012,,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_City Attorney - Oakland_Nov 2012.txt",True,Oakland,City Attorney,False
"2012 Member, City Council, District 3 - Berkeley Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 3 - Berkeley_Nov 2012.txt",True,Berkeley,Member City Council District 3,False
"2012 Member, City Council, District 7- Oakland Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 7- Oakland_Nov 2012.txt",True,Oakland,Member City Council District 7,False
"2012 Member, City Council, District 5- Oakland Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 5- Oakland_Nov 2012.txt",True,Oakland,Member City Council District 5,False
"2012 Member, City Council, District 6 - San Leandro Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 6 - San Leandro_Nov 2012.txt",True,San Leandro,Member City Council District 6,False
"2012 Member, City Council, At-Large - Oakland Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, At-Large - Oakland_Nov 2012.txt",True,Oakland,Member City Council At-Large,False
"2012 Member, City Council, District 1- Oakland Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 1- Oakland_Nov 2012.txt",True,Oakland,Member City Council District 1,False
"2012 Member, City Council,District 3 - Oakland Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council,District 3 - Oakland_Nov 2012.txt",True,Oakland,Member City Council District 3,False
"2012 School Director, District 3 - Oakland Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_School Director, District 3 - Oakland_Nov 2012.txt",True,Oakland,School Director District 3,False
"2012 Member, City Council, District 6 - Berkeley Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 6 - Berkeley_Nov 2012.txt",True,Berkeley,Member City Council District 6,False
"2012 Member, City Council, District 2 - Berkeley Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - Berkeley_Nov 2012.txt",True,Berkeley,Member City Council District 2,False
"2012 Member, City Council, District 2 - San Leandro Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - San Leandro_Nov 2012.txt",True,San Leandro,Member City Council District 2,False
"2012 School Director, District 7 - Oakland Nov 2012",,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_School Director, District 7 - Oakland_Nov 2012.txt",True,Oakland,School Director District 7,False
2012 Mayor - Berkeley Nov 2012,,,,,sfnoid,2012,,,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Mayor - Berkeley_Nov 2012.txt",True,Berkeley,Mayor,False
