place,state,date,office,title_case_winner,number_of_candidates,number_of_rounds,final_round_vote,final_round_percent,first_round_vote,first_round_percent,first_round_place,number_of_first_round_valid_votes,number_of_final_round_active_votes,total,final_round_winner_votes_over_first_round_valid,final_round_inactive,winners_consensus_value,condorcet,total_fully_ranked,ranked_multiple,first_round_undervote,first_round_overvote,later_round_inactive_by_overvote,later_round_inactive_by_abstention,later_round_inactive_by_ranking_limit,includes_duplicates,includes_skipped,top2_winners_vote_increased,top2_winners_fraction,top2_majority,top2_winner_over_40,effective_ballot_length_str,undervote,total_overvote,total_exhausted_by_overvote,ranked2,ranked_winner,two_repeated,three_repeated,total_skipped,irregular,total_exhausted,total_exhausted_not_by_overvote,total_involuntarily_exhausted,minneapolis_undervote,minneapolis_total,total_voluntarily_exhausted,come_from_behind,number_of_rounds,finalists,winner,exhausted_by_undervote,naive_tally,candidates,count_duplicates,any_repeat,validly_ranked_winner,margin_when_2_left,margin_when_winner_has_majority,"precinct_estimate(black,precinct_percent_cvap,precinct_participation)","precinct_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(black,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(white,precinct_percent_cvap,precinct_participation)","precinct_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(white,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_cvap,precinct_participation)","precinct_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_sov,precinct_participation)","precinct_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_sov,precinct_overvotes)","precinct_estimate(asian,precinct_percent_cvap,precinct_participation)","precinct_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(asian,precinct_percent_sov,precinct_participation)","precinct_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_sov,precinct_overvotes)","precinct_estimate(other,precinct_percent_cvap,precinct_participation)","precinct_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(other,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(black,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(black,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(white,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(white,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_sov,precinct_participation)","ethnicity_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_sov,precinct_participation)","ethnicity_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(other,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(other,precinct_percent_cvap,precinct_overvotes)",cvap_totals,asian_ethnic_cvap_totals,black_ethnic_cvap_totals,latin_ethnic_cvap_totals,white_ethnic_cvap_totals
Minneapolis,MN,2013,Park District 2,Jon Olson,2,1,4070,0.6722827882391808,4070,0.6722827882391808,1,6054,6054,8458,0.6722827882391808,0,0.846382556987116,True,2702,2756,2404,0,0,0,0,499,42,True,0.6742649487941856,True,True,0: 2404; 1: 3298; 2: 2560; 3: 196,2404,1,0,2560,5124,308,191,42,535,2404,2404,0,2404,6054,2404,False,1,"('JON OLSON', 'DAVID LUCE', -3)",JON OLSON,0,"Counter({'JON OLSON': 4056, -1: 2424, 'DAVID LUCE': 1925, -3: 53})","{'JON OLSON', 'DAVID LUCE'}","Counter({1: 5555, 0: 2404, 2: 308, 3: 191})",499,5124,2146,2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2013,Park District 6,Brad Bourn,2,1,8903,0.6480093165441444,8903,0.6480093165441444,1,13739,13739,18523,0.6480093165441444,0,0.8242230147754567,True,6305,6397,4782,2,0,0,0,473,14,True,0.6490283135599388,True,True,0: 4784; 1: 7342; 2: 6112; 3: 285,4782,7,2,6112,11324,299,174,14,490,4784,4782,0,4784,13739,4784,False,1,"('BRAD BOURN', 'JOSH NEIMAN', -3)",BRAD BOURN,0,"Counter({'BRAD BOURN': 8900, -1: 4789, 'JOSH NEIMAN': 4771, -3: 61, -2: 2})","{'BRAD BOURN', 'JOSH NEIMAN'}","Counter({1: 13266, 0: 4784, 2: 299, 3: 174})",473,11324,4133,4128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2013,Ward 13,Linea Palmisano,5,5,5059,0.5181278164686604,4452,0.4256621091882589,1,10459,9764,10742,0.48369825031073715,695,0.7785639162443828,True,6464,8627,282,2,4,619,72,150,17,True,0.48369825031073715,False,True,0: 283; 1: 1832; 2: 2163; 3: 6464,282,13,5,2163,8143,84,66,17,180,978,973,72,283,10459,906,False,5,"('LINEA PALMISANO', 'MATT PERRY')",LINEA PALMISANO,0,"Counter({'LINEA PALMISANO': 4448, 'MATT PERRY': 4060, 'MISSY DURANT': 984, 'BOB REUER': 746, -1: 293, 'DAVID REGAN': 199, -3: 10, -2: 2})","{'LINEA PALMISANO', 'MATT PERRY', 'MISSY DURANT', 'DAVID REGAN', 'BOB REUER'}","Counter({1: 10309, 0: 283, 2: 84, 3: 66})",150,8143,354,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2013,Ward 5,Blong Yang,4,4,1842,0.569221260815822,1475,0.42154901400400113,1,3499,3236,3622,0.5264361246070306,263,0.7819376964847099,True,1914,2429,123,2,1,259,3,255,27,True,0.5264361246070306,True,True,0: 123; 1: 1070; 2: 515; 3: 1914,123,5,1,515,2736,92,163,27,284,386,385,3,123,3499,383,False,4,"('BLONG YANG', 'IAN ALEXANDER')",BLONG YANG,0,"Counter({'BLONG YANG': 1462, 'IAN ALEXANDER': 1046, 'BRETT BUCKNER': 739, 'KALE R. SEVERSON': 219, -1: 144, -3: 10, -2: 2})","{'KALE R. SEVERSON', 'IAN ALEXANDER', 'BLONG YANG', 'BRETT BUCKNER'}","Counter({1: 3244, 3: 163, 0: 123, 2: 92})",255,2736,448,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2013,Ward 9,Alondra Cano,6,6,1987,0.5305740987983979,1698,0.4063173007896626,1,4179,3745,4310,0.4754726011007418,434,0.7329504666188084,True,2343,3259,130,1,0,348,86,198,13,True,0.4754726011007418,False,True,0: 131; 1: 920; 2: 916; 3: 2343,130,5,1,916,3063,74,124,13,214,565,564,86,131,4179,479,False,6,"('ALONDRA CANO', 'TY MOORE')",ALONDRA CANO,0,"Counter({'ALONDRA CANO': 1696, 'TY MOORE': 1565, 'CHARLES CURTIS': 338, 'ABDI ABDULLE': 283, 'PAT FLEETHAM': 153, -1: 140, 'GREGORY MCDONALD': 116, -3: 18, -2: 1})","{'ALONDRA CANO', 'GREGORY MCDONALD', 'ABDI ABDULLE', 'CHARLES CURTIS', 'TY MOORE', 'PAT FLEETHAM'}","Counter({1: 3981, 0: 131, 3: 124, 2: 74})",198,3063,229,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,CA,2014,City Auditor,Ann-Marie Hogan,1,1,27390,1.0,27390,1.0,1,27390,27390,39092,1.0,0,1.0,True,27390,0,11682,20,0,0,0,10359,855,False,1.0,True,True,0: 11702; 1: 27390,11682,30,20,0,27393,684,9675,855,11088,11702,11682,0,11702,27390,11702,False,1,"('ANN-MARIE HOGAN',)",ANN-MARIE HOGAN,0,"Counter({'ANN-MARIE HOGAN': 26640, -1: 12434, -2: 18})",{'ANN-MARIE HOGAN'},"Counter({1: 17034, 0: 11699, 3: 9675, 2: 684})",10359,27390,27390,27390,0,0,0,0,0,0,0,0,0,1349.0518488944074,1349.0518488944074,1.6277505865569264,0,0,0,1904.740104400107,1904.740104400107,2.0910857244376664,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.9965826951986,1214.9965826951986,7.739956319646633,0.0,0.0,0.0,356.61630876753776,356.61630876753776,1.8705376193603915,0.0,0.0,0.0,0,0,0,0,0
Berkeley,CA,2014,Member City Council District 1,Linda Maio,3,1,3038,0.5460100647016535,3038,0.5460100647016535,1,5564,5564,6109,0.5460100647016535,0,0.8303378864126527,True,2273,3611,530,15,0,0,0,1031,53,True,0.5621854780733285,True,True,0: 545; 1: 1953; 2: 1338; 3: 2273,530,30,15,1338,4626,315,716,53,1098,545,530,0,545,5564,545,False,1,"('LINDA MAIO', 'ALEJANDRO SOTO-VIGIL', 'MERRILIE MITCHELL')",LINDA MAIO,0,"Counter({'LINDA MAIO': 3035, 'ALEJANDRO SOTO-VIGIL': 2261, -1: 548, 'MERRILIE MITCHELL': 250, -2: 15})","{'MERRILIE MITCHELL', 'LINDA MAIO', 'ALEJANDRO SOTO-VIGIL'}","Counter({1: 4540, 3: 716, 0: 538, 2: 315})",1031,4620,771,768,0,0,0,0,0,0,0,0,0,324.9298251386367,324.9298251386367,2.317920156421188,0,0,0,431.0975942140405,431.0975942140405,2.224395369725096,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.13526763798046,217.13526763798046,23.394724122989903,0.0,0.0,0.0,472.2072905200031,472.2072905200031,7.049490007347549e-18,0.0,0.0,0.0,0,0,0,0,0
Berkeley,CA,2014,Member City Council District 7,Kriss Worthington,2,1,833,0.5542248835662009,833,0.5542248835662009,1,1503,1503,1786,0.5542248835662009,0,0.7618097139055223,True,677,677,281,2,0,0,0,410,43,False,0.5542248835662009,True,True,0: 283; 1: 826; 2: 677,281,5,2,677,1147,132,278,43,453,283,281,0,283,1503,283,False,1,"('KRISS WORTHINGTON', 'SEAN BARRY')",KRISS WORTHINGTON,0,"Counter({'KRISS WORTHINGTON': 832, 'SEAN BARRY': 662, -1: 290, -2: 2})","{'SEAN BARRY', 'KRISS WORTHINGTON'}","Counter({1: 1095, 0: 281, 3: 278, 2: 132})",410,1145,163,163,0,0,0,0,0,0,0,0,0,141.06232873819312,141.06232873819312,0.40655545800409715,0,0,0,209.69633228465983,209.69633228465983,0.5430494585894059,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4687083405457,62.4687083405457,4.8487838325471825e-14,0.0,0.0,0.0,125.10126806673901,125.10126806673901,2.820802673300133e-13,0.0,0.0,0.0,0,0,0,0,0
Berkeley,CA,2014,Member City Council District 8,Lori Droste,4,3,2072,0.501937984496124,1318,0.2917220008853475,1,4518,4128,4964,0.4586100044267375,390,0.7058432934926959,True,2898,3778,429,17,7,383,0,415,31,True,0.4586100044267375,False,True,0: 446; 1: 740; 2: 880; 3: 2898,429,38,24,880,3199,167,248,31,476,836,812,0,446,4518,836,False,3,"('LORI DROSTE', 'GEORGE BEIER')",LORI DROSTE,0,"Counter({'LORI DROSTE': 1314, 'GEORGE BEIER': 1193, 'MIKE ALVAREZ COHEN': 1163, 'JACQUELYN MCCORMICK': 830, -1: 447, -2: 17})","{'LORI DROSTE', 'GEORGE BEIER', 'JACQUELYN MCCORMICK', 'MIKE ALVAREZ COHEN'}","Counter({1: 4113, 0: 436, 3: 248, 2: 167})",415,3189,16,16,0,0,0,0,0,0,0,0,0,161.66079543221076,148.91332513065078,1.5995627744523577,0,0,0,283.6357842420202,259.67997805264685,2.3540908100560474,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2754217073830677e-11,26.907407340299507,14.516295408420053,0.0,0.0,0.0,2.37625419200644e-10,1.961284626553874e-18,3.161807796097958e-10,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,City Auditor,Brenda Roberts,2,1,60970,0.7689785210690278,60970,0.7689785210690278,1,79287,79287,104834,0.7689785210690278,0,0.8954935865904877,True,41126,41126,25448,99,0,0,0,30285,1025,False,0.7689785210690278,True,True,0: 25547; 1: 38161; 2: 41126,25448,196,99,41126,71022,14356,15929,1025,31247,25547,25448,0,25547,79287,25547,False,1,"('BRENDA ROBERTS', 'LEN RAPHAEL')",BRENDA ROBERTS,0,"Counter({'BRENDA ROBERTS': 60677, -1: 25884, 'LEN RAPHAEL': 18178, -2: 95})","{'LEN RAPHAEL', 'BRENDA ROBERTS'}","Counter({1: 49028, 0: 25521, 3: 15929, 2: 14356})",30285,71001,42653,42653,0,0,0,0,0,0,0,0,0,6578.66234948156,6578.66234948156,21.58716677648283,0,0,0,6968.824215621737,6968.824215621737,19.288246308054468,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8205.809444305414,8205.809444305414,103.52942595883616,0.0,0.0,0.0,6286.716979420509,6286.716979420509,35.919705500628616,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,Mayor,Libby Schaaf,16,15,48806,0.6319810428995041,30041,0.2948433574120603,1,101888,77227,104834,0.4790161746231156,24661,0.5650714510050251,True,75390,86872,2152,794,256,12260,12145,13602,763,True,0.4790161746231156,False,True,0: 2946; 1: 15016; 2: 11482; 3: 75390,2152,1251,1050,11482,57690,4659,8943,763,15361,27607,26557,12145,2946,101888,15462,False,15,"('LIBBY SCHAAF', 'REBECCA KAPLAN')",LIBBY SCHAAF,0,"Counter({'LIBBY SCHAAF': 29983, 'JEAN QUAN': 15724, 'REBECCA KAPLAN': 14608, 'DAN SIEGEL': 13045, 'JOE TUMAN': 12214, 'BRYAN PARKER': 7919, 'COURTNEY RUBY': 3095, -1: 2609, 'JASON ANDERSON': 1543, 'CHARLES R. WILLIAMS': 1041, -2: 782, 'KEN HOUSTON': 514, 'PETER LIU': 453, 'ERIC WILSON': 385, 'PAT MCCULLOUGH': 360, 'NANCY SIDEBOTHAM': 265, 'SAIED KARAMOOZ': 261, 'SAMMUEL WASHINGTON': 33})","{'SAIED KARAMOOZ', 'NANCY SIDEBOTHAM', 'LIBBY SCHAAF', 'KEN HOUSTON', 'JOE TUMAN', 'CHARLES R. WILLIAMS', 'ERIC WILSON', 'COURTNEY RUBY', 'PAT MCCULLOUGH', 'PETER LIU', 'BRYAN PARKER', 'REBECCA KAPLAN', 'DAN SIEGEL', 'JEAN QUAN', 'SAMMUEL WASHINGTON', 'JASON ANDERSON'}","Counter({1: 88692, 3: 8943, 2: 4659, 0: 2540})",13602,57574,20385,20385,0,0,0,0,0,0,0,0,0,8263.660614865561,5957.416696132134,134.62549427144518,0,0,0,9044.255375224086,6658.822658926695,118.40497144869823,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7709.738650083287,794.3913812942393,597.6528843473823,0.0,0.0,0.0,8913.667475611248,4527.847489941375,188.0883027047053,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,Member City Council District 2,Abel Guillen,5,4,6547,0.5302502632218352,4886,0.36045739579490965,1,13555,12347,15293,0.482995204721505,1208,0.6544448542973073,True,7790,10232,1697,41,18,987,203,2090,94,True,0.482995204721505,False,True,0: 1738; 1: 3323; 2: 2442; 3: 7790,1697,96,59,2442,8877,711,1379,94,2248,2946,2887,203,1738,13555,2743,False,4,"('ABEL GUILLEN', 'DANA KING')",ABEL GUILLEN,0,"Counter({'ABEL GUILLEN': 4868, 'DANA KING': 4448, 'ANDREW PARK': 2590, -1: 1743, 'KEVIN BLACKBURN': 1294, 'KEN MAXEY': 310, -2: 40})","{'ANDREW PARK', 'KEVIN BLACKBURN', 'KEN MAXEY', 'DANA KING', 'ABEL GUILLEN'}","Counter({1: 11480, 0: 1723, 3: 1379, 2: 711})",2090,8871,747,747,0,0,0,0,0,0,0,0,0,956.9014426919318,861.9569210758715,8.23960356105459,0,0,0,2352.0102065698447,2091.135885985604,22.862779413577705,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.8296546195347,550.5162332949722,54.688769205611194,0.0,0.0,0.0,2074.3202270177926,1535.8170241455664,55.57006614972566,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,Member City Council District 4,Annie Campbell Washington,3,1,11358,0.6415499322187076,11358,0.6415499322187076,1,17704,17704,20018,0.6415499322187076,0,0.8808743786714867,True,7885,11974,2294,20,0,0,0,2730,119,True,0.6570266606416629,True,True,0: 2314; 1: 5730; 2: 4089; 3: 7885,2294,56,20,4089,15604,1001,1729,119,2883,2314,2294,0,2314,17704,2314,False,1,"('ANNIE CAMPBELL WASHINGTON', 'JILL BROADHURST', 'PAUL LIM')",ANNIE CAMPBELL WASHINGTON,0,"Counter({'ANNIE CAMPBELL WASHINGTON': 11321, 'JILL BROADHURST': 5322, -1: 2350, 'PAUL LIM': 1005, -2: 20})","{'JILL BROADHURST', 'PAUL LIM', 'ANNIE CAMPBELL WASHINGTON'}","Counter({1: 14985, 0: 2303, 3: 1729, 2: 1001})",2730,15595,5884,6023,0,0,0,0,0,0,0,0,0,1189.4086980413983,1189.4086980413983,4.308113116824833,0,0,0,1534.6676710072384,1534.6676710072384,4.921420611789555,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.9874588108181,949.9874588108181,18.48383469846963,0.0,0.0,0.0,1454.8266667100154,1454.8266667100154,20.02694806263366,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,Member City Council District 6,Desley Brooks,5,4,5430,0.5233230531996916,4772,0.4275219494714209,1,11162,10376,12383,0.4864719584303888,786,0.6025801827629457,True,5989,7700,1178,43,12,772,2,2996,107,True,0.4864719584303888,False,True,0: 1221; 1: 3462; 2: 1711; 3: 5989,1178,88,55,1711,6738,885,2111,107,3151,2007,1952,2,1221,11162,2005,False,4,"('DESLEY BROOKS', 'SHEREDA F. NOSAKHARE')",DESLEY BROOKS,0,"Counter({'DESLEY BROOKS': 4759, 'SHEREDA F. NOSAKHARE': 3345, 'MICHAEL V. JOHNSON': 1928, -1: 1226, 'JAMES MOORE': 1002, 'VICENTE CRUZ': 82, -2: 41})","{'VICENTE CRUZ', 'SHEREDA F. NOSAKHARE', 'JAMES MOORE', 'MICHAEL V. JOHNSON', 'DESLEY BROOKS'}","Counter({1: 8186, 3: 2111, 0: 1201, 2: 885})",2996,6726,484,484,0,0,0,0,0,0,0,0,0,1087.0419432504984,1004.0855134995561,10.148626335683323,0,0,0,581.2002538950381,538.7205457805783,3.5915149566242337,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0759673419473,934.8340856289065,65.44244478041722,0.0,0.0,0.0,445.1212430539175,363.9089605144757,5.4987336125942664e-11,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,School Director District 2,Aimee Eng,2,1,8907,0.7606319385140905,8907,0.7606319385140905,1,11710,11710,15293,0.7606319385140905,0,0.8906917164816396,True,5355,5355,3566,17,0,0,0,3772,185,False,0.7606319385140905,True,True,0: 3583; 1: 6355; 2: 5355,3566,28,17,5355,10433,1723,2049,185,3925,3583,3566,0,3583,11710,3583,False,1,"('AIMEE ENG', ""WILLIAM ''BO'' GHIRARDELLI"")",AIMEE ENG,0,"Counter({'AIMEE ENG': 8854, -1: 3648, ""WILLIAM ''BO'' GHIRARDELLI"": 2775, -2: 16})","{'AIMEE ENG', ""WILLIAM ''BO'' GHIRARDELLI""}","Counter({1: 7942, 0: 3579, 3: 2049, 2: 1723})",3772,10430,6104,6104,0,0,0,0,0,0,0,0,0,831.0575937847909,831.0575937847909,2.8598440536256855,0,0,0,2047.108574851256,2047.108574851256,6.6009544736468815,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.8419901168726,923.8419901168726,24.186538664941743,0.0,0.0,0.0,1903.6083798690913,1903.6083798690913,16.51543994656501,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,School Director District 4,Nina Senn,4,3,7802,0.5241166196426172,6183,0.38356079404466503,1,16120,14886,20018,0.4839950372208437,1234,0.708560794044665,True,8491,11957,3866,32,9,1225,0,2310,119,True,0.4839950372208437,False,True,0: 3898; 1: 4163; 2: 3466; 3: 8491,3866,61,41,3466,11433,900,1410,119,2455,5132,5091,0,3898,16120,5132,False,3,"('NINA SENN', 'KARL DEBRO')",NINA SENN,0,"Counter({'NINA SENN': 6155, 'KARL DEBRO': 5300, -1: 3934, 'SALEEM SHAKIR-GILMORE': 3295, 'CHERI SPIGNER': 1302, -2: 32})","{'SALEEM SHAKIR-GILMORE', 'NINA SENN', 'CHERI SPIGNER', 'KARL DEBRO'}","Counter({1: 13830, 0: 3878, 3: 1410, 2: 900})",2310,11422,718,718,0,0,0,0,0,0,0,0,0,1096.329174083306,995.7411249134288,5.123362257144723,0,0,0,1402.385707443678,1288.5244004887304,5.573559900431831,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.537262906335,675.1465768531097,40.946406226125355,0.0,0.0,0.0,1641.7385448900498,1049.6869395133474,38.5307579760818,0.0,0.0,0.0,0,0,0,0,0
Oakland,CA,2014,School Director District 6,Shanthi Gonzales,2,1,6078,0.5853235747303543,6078,0.5853235747303543,1,10384,10384,12377,0.5853235747303543,0,0.8106702619414484,True,5359,5359,1973,20,0,0,0,4886,191,False,0.5853235747303543,True,True,0: 1993; 1: 5025; 2: 5359,1973,38,20,5359,8421,2166,2720,191,5045,1993,1973,0,1993,10384,1993,False,1,"('SHANTHI GONZALES', 'RENATO ALMANZOR')",SHANTHI GONZALES,0,"Counter({'SHANTHI GONZALES': 6030, 'RENATO ALMANZOR': 4272, -1: 2055, -2: 20})","{'SHANTHI GONZALES', 'RENATO ALMANZOR'}","Counter({1: 5503, 3: 2720, 2: 2166, 0: 1988})",4886,8418,1772,1772,0,0,0,0,0,0,0,0,0,1014.7927083018448,1014.7927083018448,4.000076257467653,0,0,0,538.9880924321416,538.9880924321416,1.9032915016726712,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.093556980365,1202.093556980365,15.168414151154465,0.0,0.0,0.0,309.7036071357952,309.7036071357952,2.442557090832444e-14,0.0,0.0,0.0,0,0,0,0,0
San Francisco,CA,2014,Board of Supervisors District 10,Malia Cohen,5,3,7719,0.5171859296482412,7176,0.46579254835778267,1,15406,14925,16342,0.5010385564065948,481,0.6884330780215501,True,7559,10234,825,111,11,470,0,2468,146,True,0.5757497079060107,True,True,0: 936; 1: 5172; 2: 2675; 3: 7559,825,145,122,2675,10622,612,1856,146,2734,1417,1295,0,936,15406,1417,False,3,"('MALIA COHEN', 'TONY KELLY', 'MARLENE TRAN')",MALIA COHEN,0,"Counter({'MALIA COHEN': 7141, 'TONY KELLY': 3688, 'MARLENE TRAN': 2704, 'SHAWN M. RICHARD': 986, -1: 920, 'ED DONALDSON': 793, -2: 110})","{'SHAWN M. RICHARD', 'ED DONALDSON', 'MALIA COHEN', 'TONY KELLY', 'MARLENE TRAN'}","Counter({1: 12977, 3: 1856, 0: 897, 2: 612})",2468,10606,3899,3460,0,0,0,0,0,0,0,0,0,1708.5978537517221,1652.500358513704,17.284157162668407,0,0,0,3680.0000061608393,3580.85677070661,38.31263269353297,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807.1271729046696,1708.0165136125986,73.67488844029711,0.0,0.0,0.0,3831.1663546668565,3759.74178964783,58.43832435777898,0.0,0.0,0.0,0,0,0,0,0
San Leandro,CA,2014,Mayor,Pauline Russo Cutter,4,3,8801,0.5727207652762413,7889,0.48670491702140783,1,16209,15367,17200,0.542969954963292,842,0.8257141094453698,True,8425,11461,951,40,9,833,0,3881,129,True,0.542969954963292,True,True,0: 991; 1: 4748; 2: 3036; 3: 8425,951,104,49,3036,13399,1295,2586,129,4071,1833,1784,0,991,16209,1833,False,3,"('PAULINE RUSSO CUTTER', 'DIANA SOUZA')",PAULINE RUSSO CUTTER,0,"Counter({'PAULINE RUSSO CUTTER': 7864, 'DIANA SOUZA': 5931, 'DAN DILLMAN': 2224, -1: 1017, 'GREGG DALY': 124, -2: 40})","{'PAULINE RUSSO CUTTER', 'GREGG DALY', 'DIANA SOUZA', 'DAN DILLMAN'}","Counter({1: 12347, 3: 2586, 2: 1295, 0: 972})",3881,13384,2235,2235,0,0,0,0,0,0,0,0,0,2645.8183723304237,2507.1885923613663,17.19877144782032,0,0,0,2580.995007713121,2450.5665043645236,16.583784632180222,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649.394858214221,2429.6734622301583,40.353129963670035,0.0,0.0,0.0,2553.2100349943107,2502.921652281373,30.85172057282442,0.0,0.0,0.0,0,0,0,0,0
San Leandro,CA,2014,Member City Council District 1,Deborah Cox,4,3,8898,0.649631306125429,6552,0.4242149562965361,1,15445,13697,17200,0.5761087730657171,1748,0.748203302039495,True,9193,11208,1681,74,17,1731,0,3340,97,True,0.5761087730657171,True,True,0: 1755; 1: 4237; 2: 2015; 3: 9193,1681,132,91,2015,11580,1019,2321,97,3533,3503,3412,0,1755,15445,3503,False,3,"('DEBORAH COX', 'MIKE KATZ-LACABE')",DEBORAH COX,0,"Counter({'DEBORAH COX': 6534, 'MIKE KATZ-LACABE': 3470, 'KENNETH PON': 3347, 'DAVID L. ANDERSON, SR.': 2040, -1: 1735, -2: 74})","{'DEBORAH COX', 'KENNETH PON', 'DAVID L. ANDERSON, SR.', 'MIKE KATZ-LACABE'}","Counter({1: 12153, 3: 2321, 0: 1707, 2: 1019})",3340,11556,4099,4099,0,0,0,0,0,0,0,0,0,2518.9170506336886,2231.891685970964,22.13704965724944,0,0,0,2459.734764296074,2161.348436321171,21.273254697327662,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.05209429962,2060.431483347235,64.28511574239572,0.0,0.0,0.0,2440.6257248201123,1653.796592751031,32.3762726798693,0.0,0.0,0.0,0,0,0,0,0
