Ballots with first choice:,Number of Ballots,"Benzan, Dennis A. ranked in top 3","Carlone, Dennis J. ranked in top 3","Cheung, Leland ranked in top 3","House, Janneke Ann ranked in top 3","Kelley, Craig A. ranked in top 3","Lee, James ranked in top 3","Leslie, Logan Edward ranked in top 3","Maher, David P. ranked in top 3","Mazen, Nadeem A. ranked in top 3","McGovern, Marc C. ranked in top 3","Mello, Gary W. ranked in top 3","Mirza, Mushtaque A. ranked in top 3","Moree, Gregg J. ranked in top 3","Peden, Ronald ranked in top 3","Phillips, Lesley Rebecca ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Smith, Jefferson R. ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Vasquez, Luis ranked in top 3","Von Hoffmann, Kristen Lane ranked in top 3","Williamson, James M. ranked in top 3","Yarden, Elie ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Reeves, Kenneth E.",933.0,21.54,3.11,22.19,2.25,4.72,1.18,0.86,11.25,3.54,7.93,0.64,1.18,0.43,0.96,1.71,100.0,5.14,46.84,2.89,16.93,3.43,2.14,0.75,0.54,6.75,0.0
"Seidel, Sam",701.0,7.85,12.84,34.09,7.56,14.69,0.86,1.57,13.41,7.42,17.83,0.57,2.43,0.14,0.57,1.43,4.99,100.0,11.55,8.27,5.56,1.85,6.99,1.0,1.0,17.97,0.29
"Simmons, E. Denise",1183.0,18.26,4.23,24.6,3.47,5.33,0.85,0.76,11.33,4.65,11.5,0.68,1.35,0.25,0.42,2.7,33.47,6.26,100.0,5.16,16.99,3.97,4.4,0.76,1.52,12.51,0.08
"Smith, Jefferson R.",579.0,10.19,9.67,31.26,9.33,7.77,1.55,2.25,7.6,15.37,14.16,0.52,2.07,0.17,0.35,2.25,5.7,11.92,12.61,100.0,8.29,4.66,8.12,1.38,0.69,13.64,0.0
"Toomey, Jr., Timothy J.",1456.0,9.82,2.88,20.47,2.47,8.65,1.58,2.34,32.07,2.61,8.04,1.51,0.82,0.82,0.41,1.79,14.42,3.57,13.32,4.4,100.0,5.49,2.06,0.82,1.17,5.98,0.0
"Vasquez, Luis",263.0,22.43,6.08,16.35,4.18,6.46,4.56,1.9,8.75,12.55,12.55,1.14,3.04,0.38,1.52,4.56,8.75,4.18,14.07,6.08,9.51,100.0,4.56,2.66,3.42,12.17,0.0
"Von Hoffmann, Kristen Lane",420.0,10.0,10.0,23.81,9.76,15.24,1.67,2.86,5.71,10.48,13.1,0.95,3.81,0.24,0.95,5.24,5.48,8.33,13.33,10.48,5.71,3.81,100.0,1.67,5.71,18.81,0.0
"Williamson, James M.",74.0,12.16,31.08,8.11,5.41,5.41,5.41,1.35,1.35,10.81,2.7,16.22,2.7,0.0,2.7,1.35,12.16,1.35,10.81,4.05,4.05,10.81,5.41,100.0,9.46,9.46,0.0
"Yarden, Elie",102.0,14.71,11.76,14.71,5.88,8.82,1.96,0.98,4.9,23.53,6.86,0.0,9.8,0.0,8.82,3.92,5.88,12.75,8.82,3.92,1.96,3.92,6.86,11.76,100.0,17.65,0.98
"vanBeuzekom, Minka Y.",872.0,9.52,19.72,33.26,6.31,17.55,1.15,0.8,8.03,14.56,11.01,0.92,2.98,0.23,1.03,1.95,4.59,13.3,13.07,7.91,4.82,2.87,9.29,0.8,1.38,100.0,0.11
writeIns,15.0,6.67,0.0,0.0,0.0,0.0,6.67,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,100.0
