"p12","V","202510","28","21","1","0","0","2","0","0","0","0","4","17","11","1","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","2","1","1","0","1","0","1","0","2","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","12","2","2","2","0","0","0","1","2","0","1","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"p12","V","202520","12","8","1","0","0","0","1","0","0","0","2","8","4","2","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"p12","V","202600","36","21","5","0","1","1","1","0","1","0","6","19","17","1","0","1","0","0","0","0","0","1","0","1","0","3","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","4","1","0","1","2","1","0","6","1","0","2","2","1","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","10","3","1","1","3","0","0","0","3","3","2","0","0","0","0","0","0","0","3","1","1","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"p12","V","202620","14","8","1","0","0","2","1","0","0","0","2","11","3","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"p12","V","202710","131","92","5","2","0","6","0","0","8","0","18","58","73","4","0","1","1","14","0","1","2","2","0","0","0","1","0","0","0","8","1","2","1","0","0","0","0","0","0","0","0","1","0","0","1","0","3","0","6","7","9","8","0","5","3","7","10","14","20","0","1","0","0","2","1","0","0","1","0","0","0","0","0","0","0","2","2","1","1","2","0","4","2","0","1","2","1","0","2","0","2","5","3","1","0","0","0","0","2","0","1","12","16","6","4","11","5","4","1","33","1","1","0","0","0","0","2","0","1","5","1","4","0","1","0","0","3","4","8","0","1","0","0","1","1","2","3"
"p12","V","202900","234","177","11","2","0","2","0","0","6","0","36","102","132","1","0","1","0","35","2","5","0","1","0","1","0","1","0","1","1","2","0","1","0","3","0","0","0","0","0","0","0","1","1","1","0","0","1","5","4","4","17","41","0","4","16","6","15","24","40","0","0","0","0","2","1","5","0","0","0","0","1","0","2","0","0","2","4","2","2","6","0","1","4","5","3","1","6","0","1","0","0","2","2","1","0","2","1","0","1","0","0","17","16","22","15","12","5","7","7","76","1","0","0","1","3","1","0","0","5","2","9","6","4","3","2","2","1","7","3","1","2","1","1","0","1","0","1"
"p12","V","203100","342","271","20","0","0","5","1","0","7","0","38","168","174","7","1","2","0","50","3","2","0","0","1","0","0","3","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","3","18","31","58","0","2","10","6","26","38","65","0","0","0","1","1","4","9","0","0","0","1","0","2","2","0","2","3","1","2","5","8","0","0","2","1","4","0","10","0","1","2","0","3","1","1","0","0","1","3","1","0","0","26","43","34","26","10","14","12","12","94","2","3","2","1","1","0","1","1","9","5","4","6","5","3","3","1","3","8","7","1","0","0","0","0","3","0","2"
"p12","V","203200","266","199","41","2","0","2","0","0","5","0","17","132","134","2","2","0","0","36","3","3","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","4","7","8","27","48","0","3","3","7","10","30","50","0","0","2","0","3","6","13","0","0","0","1","3","4","9","0","0","0","2","0","2","3","0","0","0","2","4","1","3","0","0","0","1","3","0","1","0","0","1","0","1","1","1","13","29","14","19","8","7","9","8","92","0","5","6","2","1","5","2","1","19","0","8","2","2","1","1","0","1","2","1","5","1","0","0","0","1","0","1"
"p12","V","203300","261","221","15","0","0","2","0","0","3","0","20","132","129","4","1","1","1","29","0","1","1","0","0","0","0","0","0","0","0","3","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","3","7","5","22","28","42","0","4","7","8","19","23","53","0","0","0","1","1","1","6","0","0","0","0","1","1","4","0","0","2","2","4","1","4","0","1","1","1","0","1","3","0","0","0","0","2","0","1","0","0","1","0","1","0","0","18","28","23","16","15","8","11","6","96","1","1","1","1","2","1","1","0","7","0","4","4","4","3","1","0","0","4","0","4","0","0","0","0","0","0","1"
"p12","V","203400","298","235","15","1","1","4","1","0","8","0","33","137","161","7","0","1","0","29","0","5","2","1","0","0","0","3","0","0","0","2","4","3","0","1","0","0","0","0","0","1","0","1","0","0","0","0","4","4","4","12","29","48","0","2","7","7","21","35","62","0","0","0","0","1","1","6","0","0","0","1","0","2","4","0","0","4","2","4","2","8","0","0","3","3","2","1","4","0","0","1","0","4","1","2","0","1","0","0","0","3","3","20","29","27","14","17","11","11","8","98","0","2","1","0","3","2","0","0","7","2","4","6","3","4","3","1","0","10","3","3","0","3","0","0","3","1","2"
