"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"p16","V","354900","259","194","6","2","1","5","0","0","2","0","49","115","144","33","0","13","0","2","0","1","0","1","0","1","0","1","0","0","0","10","2","7","0","1","0","0","0","4","1","10","1","3","0","0","0","0","9","25","18","9","11","13","0","3","25","21","17","16","27","0","0","1","0","1","0","1","0","0","1","0","0","1","1","0","2","6","5","4","3","4","0","4","7","7","3","2","2","0","0","1","1","0","1","0","0","0","2","1","0","1","3","62","20","21","21","10","8","8","8","36","1","0","0","3","1","0","0","0","1","14","17","6","2","1","0","0","4","5","3","2","0","2","0","0","0","0","3"
"p16","V","354910","397","285","14","8","0","6","0","0","4","0","80","189","208","93","1","20","2","3","0","2","1","1","0","1","0","0","0","0","0","11","2","10","1","1","0","0","0","4","6","10","0","5","0","2","0","0","9","17","14","21","20","38","0","14","21","21","32","20","58","0","0","0","2","2","1","4","0","0","0","1","1","1","2","0","4","10","9","9","9","12","0","1","8","5","2","4","7","0","2","1","1","0","2","2","0","0","0","3","3","2","2","74","30","25","33","17","22","16","9","59","2","4","4","1","0","0","0","0","3","28","16","7","9","4","3","5","0","8","6","2","1","1","4","2","0","0","2"
"p16","V","355000","321","238","8","3","3","1","1","0","5","0","62","149","172","57","3","15","3","5","0","2","1","1","0","0","0","2","0","0","0","6","1","9","1","0","0","0","0","5","0","4","1","4","0","1","0","0","11","11","25","15","18","19","0","7","21","34","20","27","30","0","0","0","0","4","1","1","0","0","0","0","0","1","1","0","1","6","8","5","10","4","0","1","6","12","5","2","2","0","0","3","3","1","2","1","0","0","0","1","0","1","1","59","47","18","24","17","18","12","2","41","1","1","0","2","1","0","0","0","3","23","10","8","1","1","7","4","2","6","3","1","3","1","0","1","0","2","2"
"p16","V","355100","453","313","29","4","2","4","0","0","7","0","94","197","256","110","7","25","4","8","1","3","1","0","0","1","1","0","0","1","0","7","3","11","0","1","0","1","0","8","6","13","0","4","0","0","1","0","8","19","13","12","27","37","0","13","42","35","17","33","57","0","2","3","0","2","4","4","0","1","1","1","1","5","5","0","5","14","7","5","9","14","0","7","12","10","2","2","7","0","1","3","3","0","2","3","0","0","1","3","1","0","0","69","46","32","41","23","21","19","6","56","3","1","6","5","7","2","1","1","3","30","19","8","4","8","5","7","1","12","5","0","3","3","2","2","1","0","1"
"p16","V","356000","427","350","11","1","0","0","0","0","1","0","64","186","241","76","2","15","0","5","0","0","0","0","0","1","0","0","0","0","0","13","2","4","0","1","0","0","0","9","0","2","0","2","0","2","1","0","20","20","27","20","29","32","0","10","31","32","24","46","59","0","0","3","0","2","1","2","0","0","1","0","1","0","1","0","1","6","10","4","4","4","0","2","10","7","6","7","3","0","0","1","0","0","0","0","0","0","0","0","1","0","0","80","56","38","25","23","25","20","9","74","2","2","3","1","0","0","1","0","2","23","13","10","3","1","6","1","4","3","1","0","0","1","0","0","0","0","0"
"p16","V","356200","383","279","18","3","4","3","0","0","7","0","69","165","218","101","5","25","2","3","0","1","0","0","0","0","0","1","0","0","0","12","1","11","0","1","0","1","0","4","2","4","1","3","0","1","0","0","10","22","16","14","17","32","0","16","43","23","19","26","41","0","0","1","2","1","2","4","0","0","2","2","2","1","1","0","1","8","6","3","6","11","0","5","7","7","5","3","7","0","1","0","2","3","1","2","0","1","2","2","0","2","1","73","39","29","26","24","15","15","7","51","1","2","5","6","0","0","1","0","3","22","12","11","3","5","7","5","0","4","7","3","1","0","0","2","0","1","3"
"p16","V","356210","444","336","20","4","2","3","1","0","11","0","67","183","261","114","7","22","2","4","0","3","1","0","0","0","0","0","0","0","0","3","1","6","2","0","0","0","1","13","2","3","0","2","0","1","0","0","10","21","22","26","24","31","0","12","29","31","43","38","49","0","0","2","3","1","2","3","0","1","1","0","0","1","6","0","3","4","10","5","3","1","0","4","8","11","6","3","9","0","2","2","2","5","1","0","0","0","1","2","4","0","2","70","44","35","38","37","25","17","5","65","5","1","2","2","3","1","0","0","6","23","11","6","7","4","5","4","1","6","6","3","1","5","1","1","2","1","1"
"p16","V","356400","197","144","3","3","0","0","1","0","0","0","46","79","118","86","2","25","1","2","0","0","0","2","0","0","0","0","0","0","0","4","0","5","0","0","0","0","0","1","0","0","1","2","0","3","0","0","5","7","7","7","10","19","0","12","12","13","15","9","28","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","6","3","1","0","7","0","3","11","3","4","2","5","0","0","0","2","0","1","0","0","0","1","0","0","0","0","31","16","18","17","19","12","5","2","24","0","0","1","1","0","0","0","0","1","11","8","7","7","1","3","5","1","3","2","0","0","1","0","0","0","0","1"
"p16","V","356500","534","381","27","3","5","6","3","0","2","0","107","226","308","215","14","52","12","5","0","2","1","2","2","2","0","0","0","0","0","8","0","7","0","0","0","1","0","3","0","7","0","6","0","5","1","0","17","22","20","28","21","47","0","23","40","39","31","16","77","0","0","1","0","2","2","8","0","0","2","1","2","4","5","0","9","10","9","8","6","6","0","11","9","12","11","7","9","0","2","2","2","1","1","2","0","2","1","4","0","0","2","103","59","34","38","29","23","17","7","71","3","4","0","2","6","1","3","1","7","40","17","10","7","9","3","1","3","17","8","2","2","1","2","0","0","2","2"
"p16","V","361000","386","283","15","4","0","1","0","0","3","0","80","189","197","73","5","25","2","6","0","1","0","0","0","0","0","2","0","0","0","6","0","4","0","0","0","0","0","7","0","2","0","3","0","1","0","0","7","44","26","19","19","18","0","9","45","29","22","25","20","0","1","1","2","2","1","5","0","1","0","1","0","0","1","0","3","11","13","5","4","6","0","6","8","8","11","4","1","0","0","2","0","0","0","0","0","0","1","3","1","1","0","109","28","34","22","21","20","6","7","36","3","2","4","0","3","0","0","1","2","21","15","10","8","3","9","4","3","7","2","2","1","0","0","0","1","0","2"
"p16","V","361130","190","150","2","1","0","1","0","0","0","0","36","79","111","48","2","12","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","8","0","0","0","0","0","1","0","2","0","3","0","0","0","0","6","8","8","8","10","19","0","5","12","11","19","13","31","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","2","4","1","2","7","0","3","4","2","3","2","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","34","24","10","17","17","3","7","7","31","0","0","0","0","0","0","0","1","1","13","10","0","2","3","1","2","1","4","1","0","1","0","0","0","0","0","0"
"p16","V","361200","327","247","10","4","0","5","0","0","0","0","61","141","186","34","1","7","1","2","0","0","0","1","0","2","0","0","0","0","0","3","1","13","1","3","0","3","1","2","3","3","0","3","0","1","0","0","11","20","12","11","26","15","0","6","25","23","22","33","43","0","0","0","0","1","0","3","0","0","1","0","3","2","0","0","6","3","2","3","8","14","0","3","3","5","5","4","5","0","0","1","0","1","2","2","0","0","0","1","2","0","0","58","59","36","17","29","6","11","7","24","1","0","1","0","2","4","2","0","0","30","12","4","2","2","3","2","2","4","3","4","0","2","0","0","0","0","0"
"p16","V","361300","153","123","3","0","0","1","0","0","0","0","26","72","81","42","1","10","0","1","0","0","0","0","0","0","0","2","0","0","0","1","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","12","9","11","18","5","0","4","9","7","17","17","12","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","3","1","2","3","2","1","0","5","2","2","2","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","21","26","19","14","7","10","3","1","22","2","0","1","0","0","0","0","0","0","12","5","3","1","1","1","1","0","2","0","0","0","0","0","0","0","0","1"
"p16","V","361500","317","245","9","4","2","0","0","0","2","0","55","126","191","61","1","15","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","3","5","0","1","0","0","0","0","13","10","11","20","12","26","0","9","21","12","21","23","67","0","0","0","0","0","1","0","0","1","0","2","1","1","3","0","1","4","6","4","5","6","0","7","7","2","3","4","6","0","0","2","1","1","2","1","0","0","0","0","1","0","0","62","41","26","22","13","16","12","7","46","0","3","1","2","0","1","2","0","0","21","16","6","3","2","2","4","0","1","3","0","2","1","1","0","1","0","0"
"p16","V","362100","256","204","8","4","1","2","0","0","2","0","35","104","152","55","1","14","3","4","1","0","0","3","0","0","0","0","0","0","1","4","0","3","0","3","0","3","0","3","1","0","0","2","1","0","0","0","4","11","9","7","18","25","0","7","16","18","13","35","41","0","1","1","0","0","2","2","0","0","0","1","0","1","0","0","2","4","5","3","1","3","0","2","6","3","2","3","1","0","1","1","2","2","0","0","0","0","2","1","0","0","0","26","24","16","25","22","11","8","8","64","0","0","4","2","0","1","0","0","1","7","13","3","3","4","3","1","0","1","4","2","0","0","1","0","1","1","0"
