"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g16","V","7917","842","563","28","10","1","1","2","0","17","1","219","463","379","164","11","61","8","26","0","10","1","2","0","2","0","2","0","1","0","15","3","8","0","5","0","3","0","4","0","3","1","6","3","2","0","0","25","103","50","50","27","29","0","14","107","48","36","36","38","0","1","3","4","0","3","7","0","1","1","2","0","2","4","0","6","53","32","30","8","9","0","10","24","26","8","5","8","0","0","11","3","8","1","0","0","1","6","0","0","2","0","259","34","69","30","43","13","23","10","82","15","2","5","0","2","2","0","0","2","92","23","31","14","20","4","19","4","12","13","2","3","3","2","2","1","1","5"
"g16","V","7918","687","454","14","4","1","1","3","0","17","0","193","373","314","121","3","41","4","25","1","8","0","0","0","0","0","2","0","1","0","12","0","15","2","12","1","1","0","2","0","0","0","3","0","4","1","0","21","80","51","41","23","21","0","15","77","41","39","18","27","0","0","2","1","2","2","1","0","0","0","0","1","0","5","0","14","37","21","16","8","13","0","10","25","22","16","5","6","0","1","7","5","2","2","2","0","1","1","3","0","1","1","200","45","32","22","36","20","31","11","57","4","1","2","1","1","0","1","0","4","87","14","19","12","17","7","16","2","19","10","2","1","1","1","4","3","1","3"
"g16","V","7919","754","487","25","5","2","1","4","0","7","0","223","392","362","164","11","58","6","21","0","14","2","3","0","2","0","4","0","1","0","19","0","13","0","4","0","2","0","3","0","3","0","4","1","1","0","0","20","79","55","54","16","16","0","21","92","44","23","31","36","0","1","3","1","2","2","4","0","1","2","1","2","3","3","0","15","47","30","13","12","11","0","3","37","29","16","4","6","0","2","1","4","4","0","0","0","1","2","3","1","1","0","232","44","47","19","50","23","21","9","42","7","1","0","2","2","1","2","0","10","84","27","28","16","21","8","12","7","20","9","1","1","0","2","1","3","0","2"
"g16","V","7921","667","461","29","11","3","0","0","0","7","0","156","318","349","144","11","46","5","21","1","6","0","2","0","1","0","1","0","0","0","11","1","16","2","4","0","4","0","3","0","6","0","7","1","1","0","0","25","65","42","34","27","22","0","22","67","47","38","28","44","0","2","1","3","4","2","4","0","0","4","2","1","4","2","0","10","26","14","16","6","6","0","13","21","19","13","6","6","0","1","1","3","1","2","1","0","3","2","3","2","0","2","212","33","44","23","42","5","31","12","59","10","1","1","3","1","3","2","2","6","62","17","15","7","14","9","13","10","9","10","1","1","1","1","1","2","2","2"
"g16","V","7922","701","474","22","11","5","0","0","0","17","2","170","362","339","119","10","39","9","18","0","6","0","3","0","3","1","2","0","1","0","13","2","6","1","3","0","3","0","5","0","2","0","3","0","0","0","0","24","70","51","46","19","19","0","20","92","40","35","22","36","0","0","2","1","1","3","8","0","0","0","1","0","1","5","0","12","44","22","15","2","6","0","11","22","17","11","3","5","0","0","8","4","3","1","1","0","0","10","2","2","2","2","192","34","53","14","44","16","37","12","72","4","1","3","1","3","0","2","1","7","72","16","25","13","13","6","9","1","15","14","2","1","1","3","2","4","2","6"
"g16","V","7923","761","515","25","12","5","0","3","1","11","0","189","400","361","141","17","39","7","35","0","7","1","2","1","1","0","2","0","1","0","21","1","14","1","5","0","3","1","4","0","0","0","5","1","1","0","0","26","78","47","40","31","27","0","17","75","55","38","38","43","0","1","1","2","3","2","4","0","0","0","2","3","2","5","0","11","39","28","23","11","8","0","4","25","17","13","7","3","0","2","7","3","3","1","2","0","1","4","2","4","2","1","218","38","51","24","35","16","29","13","91","6","0","4","2","3","1","1","1","7","80","21","20","8","15","8","15","5","17","15","1","3","3","2","1","3","0","4"
"g16","V","7924","684","461","22","7","4","0","1","0","13","0","176","358","327","155","9","47","6","18","1","8","3","2","0","0","0","1","0","0","0","25","1","24","1","3","0","3","0","0","0","1","0","9","1","6","0","0","13","66","55","45","29","30","0","21","64","45","33","28","32","0","1","1","1","1","1","5","0","0","2","1","1","1","7","0","7","36","18","13","10","14","0","6","26","16","13","9","8","0","1","4","1","3","1","1","0","0","7","2","2","2","1","186","34","30","18","42","15","41","11","84","0","1","1","3","8","2","1","1","5","76","11","16","5","20","4","19","3","22","11","2","2","1","3","1","1","0","4"
"g16","V","7925","473","329","18","2","2","0","0","0","8","0","114","241","232","83","4","26","0","19","3","6","1","3","0","1","0","5","0","0","0","8","0","4","0","3","0","4","0","6","0","4","0","6","1","1","1","0","16","44","42","25","13","11","0","10","54","52","21","18","23","0","0","3","1","1","1","4","0","0","2","2","1","1","2","0","3","24","23","14","7","3","0","0","14","16","6","2","2","0","0","1","2","3","0","0","0","1","3","1","0","1","0","143","28","28","21","27","15","19","3","45","5","1","3","0","1","0","1","2","5","42","8","18","9","9","5","5","3","15","5","0","2","0","0","1","1","0","3"
"g16","V","7926","682","499","12","9","1","0","4","0","13","0","144","323","359","87","3","24","6","43","0","6","0","0","0","0","0","1","0","1","0","15","0","9","0","4","0","3","1","3","0","1","0","15","0","4","1","0","21","48","45","41","36","33","0","12","58","56","52","45","52","0","0","0","0","3","4","0","0","1","0","0","1","3","0","0","5","18","21","11","17","8","0","4","28","17","9","4","2","0","2","1","2","3","3","1","0","1","5","4","0","2","3","190","40","45","29","40","20","26","15","94","1","1","0","1","0","1","3","2","3","59","8","14","9","10","10","13","4","17","15","1","5","1","0","1","1","0","3"
"g16","V","7927","672","494","19","7","0","0","3","0","10","0","139","346","326","61","5","15","2","33","1","7","1","4","0","3","1","4","0","0","0","9","1","5","0","4","2","1","0","2","0","0","0","4","1","6","0","0","13","56","54","60","40","24","0","8","45","61","51","43","39","0","0","2","3","2","1","3","0","0","0","1","0","2","5","0","6","8","33","19","7","7","0","2","19","15","12","5","6","0","1","2","2","1","2","0","0","0","3","2","5","1","1","178","33","43","23","40","17","29","20","111","4","1","2","4","0","0","1","0","7","49","12","18","10","9","6","9","8","18","13","1","0","1","2","1","1","0","1"
"g16","V","7928","833","554","18","12","3","0","7","0","14","0","225","443","390","67","2","30","8","43","0","14","7","5","0","2","0","2","0","2","0","9","2","5","1","3","0","2","1","2","0","1","0","6","3","3","0","0","14","79","66","48","32","44","0","12","55","67","52","40","45","0","1","1","3","4","2","3","0","0","0","2","1","1","0","0","9","40","31","25","10","10","0","4","29","32","19","10","6","0","1","5","5","6","2","2","0","0","3","3","4","2","3","186","39","56","22","43","27","49","15","117","5","0","1","1","2","0","3","0","6","92","12","22","13","16","14","17","4","35","10","3","3","2","1","5","5","0","7"
