record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,Ranked choice voting,LDPV,Gender,Age ,<50 / 50+,Race ,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
171100XXXX,2/25/2020 22:12,17029,61938,1,2,,0,0,0,0,0,0,0,0,,,,,,,,,2,1,26,1,3,1,1,1,3,2,1,2,1,2,2,2,2,3,2,1.16527008
931000XXXX,2/25/2020 22:34,17029,61920,1,6,2,85,90,85,0,85,95,0,25,3,2,1,6,5,8,7,2,1,1,39,1,3,2,4,2,1,2,2,1,4,2,2,2,2,3,2,0.633420996
152100XXXX,2/25/2020 22:12,17031,60714,1,6,3,0,0,0,0,0,0,0,0,,,,,,,,,2,2,30,1,1,3,3,3,2,2,1,1,2,2,2,2,2,2,2,0.433476778
245100XXXX,2/25/2020 22:14,17031,60652,1,5,2,30,20,0,10,0,0,10,30,8,6,9,,,,,2,1,2,22,1,1,2,3,3,2,1,1,2,1,1,2,2,2,1,2,0.433476778
158010XXXX,2/26/2020 11:31,17031,60617,1,6,2,50,40,10,20,20,60,15,20,6,1,2,9,,,,1,1,2,28,1,1,2,3,2,3,3,1,2,2,2,1,1,2,1,2,0.433476778
211410XXXX,2/26/2020 12:40,17031,60639,1,6,2,20,30,0,10,10,30,0,0,6,1,2,9,,,,2,1,2,36,1,1,2,3,2,2,1,2,1,2,2,2,2,2,1,2,1.154029753
124100XXXX,2/25/2020 22:40,17031,60458,2,,,,,,,,,,,,,,,,,,,2,1,21,1,1,2,3,3,2,2,2,1,2,2,1,2,2,2,2,0.605893808
267100XXXX,2/25/2020 22:59,17031,60546,1,4,,60,60,60,50,30,100,60,40,,,,,,,,,2,1,31,1,1,3,3,3,2,2,1,2,4,2,2,2,2,2,2,0.605893808
901000XXXX,2/25/2020 22:08,17031,60004,1,6,2,75,50,75,0,50,75,50,50,9,,,,,,,,1,2,79,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,0.998607052
971000XXXX,2/25/2020 22:09,17031,60452,1,4,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,59,2,3,1,3,1,3,3,2,2,2,2,2,2,2,2,2,0.847513457
185100XXXX,2/25/2020 22:13,17031,60644,1,3,,100,50,30,12,10,100,40,50,,,,,,,,,2,2,29,1,2,2,6,4,3,1,1,2,3,3,2,2,2,1,2,0.591456607
202100XXXX,2/25/2020 22:13,17031,60007,1,4,,6,6,0,0,0,5,0,0,,,,,,,,,2,2,43,1,2,1,2,4,3,2,3,1,2,2,2,2,2,2,2,1.13871128
415100XXXX,2/25/2020 22:16,17031,60601,1,6,2,30,7,8,10,5,8,5,15,1,8,2,3,4,6,5,2,1,2,26,1,3,2,4,1,3,3,2,1,1,2,2,2,2,1,2,0.625603358
427100XXXX,2/25/2020 22:16,17031,60621,1,6,2,30,0,0,0,0,50,20,0,1,7,2,6,4,9,,2,1,2,41,1,2,2,1,2,2,1,3,1,1,2,2,2,2,1,2,1.13871128
495100XXXX,2/25/2020 22:16,17031,60626,1,6,2,30,10,20,0,10,20,10,30,9,,,,,,,,1,2,63,2,3,2,3,3,3,1,3,2,2,2,2,2,2,1,2,0.847513457
