Candidate 0000440Jan Shabro                                        0000001000071400
Candidate 0000441Julie Anderson                                    0000002000071400
Candidate 0000442Will Baker                                        0000003000071400
Candidate 0000132Write-In                                          0000004000071410
Precinct  000027329-505                                            0000272000000000
Precinct  000027429-506                                            0000273000000000
Precinct  000027529-507                                            0000274000000000
Precinct  000027629-508                                            0000275000000000
Precinct  000027729-509                                            0000276000000000
Precinct  000027829-510                                            0000277000000000
Precinct  000027929-511                                            0000278000000000
Precinct  000028029-512                                            0000279000000000
Precinct  000028129-513                                            0000280000000000
Precinct  000028229-514                                            0000281000000000
Precinct  000028329-515                                            0000282000000000
Precinct  000028429-516                                            0000283000000000
Precinct  000028529-517                                            0000284000000000
Precinct  000028629-518                                            0000285000000000
Precinct  000028729-519                                            0000286000000000
Precinct  000028829-520                                            0000287000000000
Precinct  000028929-521                                            0000288000000000
Precinct  000029029-522                                            0000289000000000
Precinct  000029129-523                                            0000290000000000
Precinct  000029229-530                                            0000291000000000
Precinct  000029329-531                                            0000292000000000
Precinct  000029429-532                                            0000293000000000
Precinct  000029529-533                                            0000294000000000
Precinct  000029629-534                                            0000295000000000
Precinct  000029729-535                                            0000296000000000
Precinct  000029829-536                                            0000297000000000
Precinct  000029929-537                                            0000298000000000
Precinct  000030029-538                                            0000299000000000
Precinct  000030129-545                                            0000300000000000
Precinct  000030229-546                                            0000301000000000
Precinct  000030329-547                                            0000302000000000
Precinct  000030429-548                                            0000303000000000
Precinct  000030529-549                                            0000304000000000
Precinct  000030629-550                                            0000305000000000
Precinct  000030729-551                                            0000306000000000
Precinct  000030829-552                                            0000307000000000
Precinct  000030929-553                                            0000308000000000
Precinct  000031029-554                                            0000309000000000
Precinct  000031129-555                                            0000310000000000
Precinct  000031229-556                                            0000311000000000
Precinct  000031329-557                                            0000312000000000
Precinct  000031429-558                                            0000313000000000
Precinct  000031529-559                                            0000314000000000
Precinct  000031629-560                                            0000315000000000
Precinct  000031729-561                                            0000316000000000
Precinct  000031829-562                                            0000317000000000
Precinct  000031929-563                                            0000318000000000
Precinct  000032029-564                                            0000319000000000
Precinct  000032129-565                                            0000320000000000
Precinct  000032229-566                                            0000321000000000
Precinct  000032331-601                                            0000322000000000
Precinct  000032431-602                                            0000323000000000
Precinct  000032531-603                                            0000324000000000
Precinct  000032631-604                                            0000325000000000
Precinct  000032731-608                                            0000326000000000
Precinct  000032831-611                                            0000327000000000
Precinct  000032931-612                                            0000328000000000
Precinct  000033031-613                                            0000329000000000
Precinct  000033131-614                                            0000330000000000
Precinct  000033231-615                                            0000331000000000
Precinct  000033331-616                                            0000332000000000
Precinct  000033431-617                                            0000333000000000
Precinct  000033531-618                                            0000334000000000
Precinct  000033631-619                                            0000335000000000
Precinct  000033731-621                                            0000336000000000
Precinct  000033831-622                                            0000337000000000
Precinct  000033931-623                                            0000338000000000
Precinct  000034031-624                                            0000339000000000
Precinct  000034131-625                                            0000340000000000
Precinct  000034231-627                                            0000341000000000
Precinct  000034331-628                                            0000342000000000
Precinct  000034431-629                                            0000343000000000
Precinct  000034531-630                                            0000344000000000
Precinct  000034631-631                                            0000345000000000
Precinct  000034731-636                                            0000346000000000
Precinct  000034831-638                                            0000347000000000
Precinct  000034931-639                                            0000348000000000
Precinct  000035031-640                                            0000349000000000
Precinct  000035131-641                                            0000350000000000
Precinct  000035231-642                                            0000351000000000
Precinct  000035331-643                                            0000352000000000
Precinct  000035431-644                                            0000353000000000
Precinct  000035531-645                                            0000354000000000
Precinct  000035631-646                                            0000355000000000
Precinct  000035731-647                                            0000356000000000
Precinct  000035831-648                                            0000357000000000
Precinct  000035931-649                                            0000358000000000
Precinct  000036031-650                                            0000359000000000
Precinct  000036131-651                                            0000360000000000
Precinct  000036231-652                                            0000361000000000
Precinct  000036331-653                                            0000362000000000
Precinct  000036431-654                                            0000363000000000
Precinct  000036531-655                                            0000364000000000
Precinct  000036631-656                                            0000365000000000
Precinct  000036731-657                                            0000366000000000
Precinct  000036831-658                                            0000367000000000
Precinct  000036931-659                                            0000368000000000
Precinct  000037031-660                                            0000369000000000
Precinct  000037131-661                                            0000370000000000
Precinct  000037231-662                                            0000371000000000
Precinct  000037331-663                                            0000372000000000
Precinct  000037431-664                                            0000373000000000
Precinct  000037531-665                                            0000374000000000
Precinct  000037631-666                                            0000375000000000
Precinct  000037731-667                                            0000376000000000
Precinct  000037831-668                                            0000377000000000
Precinct  000037931-669                                            0000378000000000
Precinct  000038031-670                                            0000379000000000
Precinct  000038131-671                                            0000380000000000
Precinct  000038231-672                                            0000381000000000
Precinct  000038331-673                                            0000382000000000
Tally Type0000005Absentee Voting                                   0000001000000000
Tally Type0000006Regular Poll Ballots                              0000002000000000
Tally Type0000009Early vote                                        0000003000000000
Tally Type0000011Early vote Provisional                            0000004000000001
Tally Type0000012Precinct Early Vote                               0000005000000000
