raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote
Hawaii_2020_PresidentoftheUnitedStateCD2_tab1,Deval Patrick,,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Bernie Sanders,10.0,,10777.0,10779.0,10786.0,10791.0,10806.0,10845.0,10949.0,11011.0,11460.0,12337.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Joseph R. Biden,10.0,,19593.0,19596.0,19603.0,19629.0,19652.0,19800.0,19879.0,20132.0,20450.0,21215.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Elizabeth Warren,,9.0,1689.0,1690.0,1695.0,1720.0,1725.0,1771.0,1841.0,1872.0,1951.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Tulsi Gabbard,,8.0,1377.0,1377.0,1377.0,1384.0,1388.0,1403.0,1448.0,1475.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Michael R.,,7.0,460.0,460.0,467.0,470.0,475.0,493.0,505.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Andrew Yang,,6.0,340.0,342.0,346.0,351.0,353.0,380.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Pete Buttigieg,,5.0,311.0,312.0,312.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Uncommitted,,4.0,291.0,291.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Amy Klobuchar,,3.0,93.0,94.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Tom Steyer,,2.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_2020_PresidentoftheUnitedStateCD1CD2_tab1,Deval Patrick,,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
