,"ABDUL M RAHAMAN ""THE ROCK""",ALICIA K. BENNETT,BETSY HODGES,BILL KAHN,"BOB ""AGAIN"" CARNEY JR",BOB FINE,CAM WINTON,CAPTAIN JACK SPARROW,CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CYD GORMAN,DAN COHEN,DON SAMUELS,DOUG MANN,EDMUND BERNARD BRUYERE,GREGG A. IVERSON,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR.",JAMES EVERETT,JAYMIE KELLY,JEFFREY ALAN WAGNER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG,JOSHUA REA,KURTIS W. HANNA,MARK ANDREW,MARK V ANDERSON,MERRILL ANDERSON,MIKE GOULD,NEAL BAXTER,OLE SAVIOR,RAHN V. WORKCUFF,STEPHANIE WOODRUFF,TONY LANE,TROY BENJEGERDES,writeIns
DAN COHEN,1.81,1.65,1.42,8.00,0.00,5.83,15.26,6.75,4.49,1.89,5.88,,2.54,2.70,1.64,6.14,2.16,4.08,1.28,3.83,4.65,6.45,7.41,5.68,4.21,2.12,4.76,4.55,3.95,3.03,9.09,1.79,3.74,1.46,1.42,3.70
DON SAMUELS,0.60,5.94,32.98,1.33,15.56,13.12,13.79,3.38,2.25,2.52,5.88,13.62,,3.37,8.20,4.39,23.33,6.12,6.09,2.19,4.65,3.23,3.70,3.41,5.26,18.65,9.26,5.68,7.24,6.82,4.88,8.93,13.48,4.39,5.67,4.94
DOUG MANN,1.81,1.98,1.79,1.33,6.67,1.00,0.43,8.44,2.81,2.52,11.76,2.18,0.61,,6.56,2.63,0.69,0.00,21.15,15.30,2.33,12.90,1.23,6.82,8.95,0.95,0.79,3.41,1.97,3.03,1.33,3.57,1.71,24.39,10.64,3.70
EDMUND BERNARD BRUYERE,0.60,0.00,0.08,1.33,0.00,0.10,0.07,0.42,0.00,0.63,0.00,0.26,0.03,0.00,,0.00,0.03,0.00,0.64,0.00,0.00,0.00,0.00,1.14,0.53,0.03,0.40,2.27,0.00,0.00,0.00,1.79,0.11,0.00,0.71,0.00
GREGG A. IVERSON,1.20,1.32,0.16,1.33,0.00,1.10,0.05,0.00,0.56,0.00,5.88,0.45,0.30,0.27,0.00,,0.69,0.00,0.64,0.55,2.33,3.23,3.70,2.27,0.00,0.36,0.53,0.00,1.97,0.00,0.22,0.00,0.43,0.49,0.71,0.00
JACKIE CHERRYHOMES,3.01,5.28,9.69,4.00,0.00,6.56,3.92,3.38,0.56,4.40,0.00,5.52,13.19,1.75,9.84,18.42,,8.16,8.01,1.64,8.53,0.00,2.47,9.09,1.05,13.23,11.38,2.27,7.24,3.03,1.55,8.93,7.17,2.44,1.42,3.70
"JAMES ""JIMMY"" L. STROUD, JR.",1.81,0.33,0.03,0.00,4.44,0.16,0.10,0.42,0.00,0.00,0.00,0.13,0.12,0.00,1.64,2.63,0.49,,1.28,0.00,2.33,0.00,0.00,1.14,0.00,0.10,0.40,6.82,1.32,0.00,0.89,0.00,0.11,0.00,0.00,1.23
JAMES EVERETT,1.20,1.98,0.72,4.00,6.67,0.79,0.22,2.11,1.12,2.52,2.94,0.90,0.61,8.89,1.64,0.00,0.49,0.00,,3.28,0.78,3.23,6.17,1.14,5.26,0.52,0.79,1.14,1.32,0.76,1.77,5.36,0.86,5.85,6.38,1.23
JAYMIE KELLY,1.20,2.97,0.56,2.67,0.00,0.26,0.08,1.69,1.69,0.00,0.00,0.51,0.26,14.29,1.64,3.51,0.33,6.12,2.24,,0.00,0.00,0.00,9.09,1.05,0.23,0.13,4.55,0.66,3.79,0.67,1.79,0.32,3.41,7.09,1.23
JEFFREY ALAN WAGNER,2.41,3.30,0.17,2.67,0.00,0.42,0.17,1.69,0.56,1.89,0.00,0.19,0.15,0.40,0.00,6.14,1.27,2.04,0.00,0.00,,0.00,1.23,2.27,1.05,0.65,0.26,2.27,8.55,0.00,0.89,1.79,0.43,2.44,1.42,0.00
JOHN CHARLES WILSON,0.00,0.33,0.03,0.00,2.22,0.05,0.07,1.69,0.56,0.63,0.00,0.13,0.03,0.81,0.00,0.00,0.03,2.04,0.32,0.55,0.78,,1.23,1.14,0.00,0.06,0.13,2.27,1.32,1.52,0.00,0.00,0.00,5.37,0.00,1.23
JOHN LESLIE HARTWIG,1.20,0.33,0.03,1.33,2.22,0.31,1.09,0.42,1.12,1.26,0.00,0.96,0.08,0.54,0.00,0.88,0.07,0.00,0.00,0.55,0.78,6.45,,0.00,0.53,0.05,1.19,0.00,1.32,8.33,6.43,1.79,0.11,0.00,0.00,0.00
JOSHUA REA,2.41,1.32,0.14,1.33,0.00,0.31,0.15,0.42,0.56,1.26,8.82,0.58,0.21,0.27,0.00,0.00,0.36,2.04,0.96,6.01,1.55,0.00,0.00,,0.00,0.19,0.79,7.95,0.66,2.27,1.55,1.79,0.32,1.95,1.42,0.00
KURTIS W. HANNA,3.01,0.66,0.16,0.00,2.22,0.21,0.70,8.44,8.99,3.77,2.94,0.26,0.12,2.83,0.00,0.00,0.13,0.00,2.24,1.09,1.55,0.00,1.23,1.14,,0.17,1.06,1.14,1.97,0.00,1.11,0.00,0.32,2.93,4.96,0.00
MARK ANDREW,14.46,10.56,33.19,4.00,15.56,18.43,9.78,7.59,3.93,3.77,2.94,9.76,18.85,8.89,8.20,14.04,22.12,12.24,7.05,3.83,27.91,12.90,2.47,5.68,5.26,,5.56,10.23,13.16,11.36,2.44,1.79,11.34,8.29,7.80,19.75
MARK V ANDERSON,4.82,2.97,1.43,6.67,2.22,1.78,3.26,0.84,2.25,8.81,8.82,3.40,1.36,0.27,0.00,1.75,2.09,0.00,0.96,1.64,0.78,3.23,4.94,2.27,1.58,0.36,,6.82,0.00,0.76,6.43,8.93,1.18,0.98,2.84,1.23
MERRILL ANDERSON,3.01,1.32,0.07,1.33,2.22,0.26,0.40,0.00,0.00,1.26,8.82,0.77,0.26,0.67,3.28,0.00,0.52,10.20,0.96,1.09,0.00,0.00,1.23,18.18,1.05,0.17,0.53,,0.00,0.00,0.89,0.00,0.11,0.49,1.42,0.00
MIKE GOULD,4.82,12.54,0.31,5.33,0.00,1.15,0.18,1.69,0.00,0.00,0.00,0.26,0.22,0.13,1.64,0.88,0.46,4.08,0.32,0.55,5.43,0.00,0.00,2.27,1.05,0.76,0.00,0.00,,3.03,0.22,0.00,0.86,1.46,0.71,3.70
NEAL BAXTER,0.00,0.33,0.23,5.33,0.00,0.16,1.69,1.27,1.12,2.52,2.94,0.90,0.22,1.21,0.00,1.75,0.10,0.00,0.32,1.64,2.33,0.00,13.58,1.14,2.11,0.27,0.40,2.27,0.66,,6.65,8.93,0.21,0.98,0.71,0.00
OLE SAVIOR,1.81,0.33,0.12,5.33,0.00,1.31,7.60,2.95,7.87,9.43,0.00,3.73,0.41,0.40,0.00,0.88,0.33,0.00,0.00,0.55,0.78,3.23,6.17,0.00,1.58,0.26,2.91,5.68,0.66,3.79,,5.36,0.53,0.00,0.71,1.23
RAHN V. WORKCUFF,0.60,0.00,0.07,0.00,0.00,0.16,0.48,0.00,0.00,0.63,0.00,0.51,0.13,0.54,0.00,0.00,0.16,0.00,0.64,0.55,0.00,0.00,6.17,0.00,0.53,0.05,0.13,0.00,1.32,2.27,2.22,,0.11,0.00,0.71,0.00
STEPHANIE WOODRUFF,3.01,13.53,3.80,2.67,2.22,3.67,3.19,2.53,0.00,0.00,2.94,2.95,2.50,3.23,6.56,4.39,3.95,0.00,3.21,1.64,4.65,3.23,0.00,0.00,1.05,2.12,1.85,3.41,9.21,3.79,0.89,1.79,,0.98,4.96,2.47
TONY LANE,1.81,1.65,0.26,2.67,0.00,0.31,0.07,2.53,0.00,0.63,0.00,0.58,0.16,4.72,1.64,0.88,0.10,2.04,4.49,6.56,2.33,9.68,1.23,1.14,2.11,0.26,0.26,2.27,2.63,1.52,0.22,1.79,0.32,,4.26,1.23
TROY BENJEGERDES,1.20,0.66,0.30,1.33,0.00,0.10,0.18,2.11,1.69,0.00,0.00,0.45,0.08,1.89,6.56,2.63,0.13,4.08,2.56,5.46,0.00,3.23,1.23,0.00,0.53,0.22,0.13,2.27,0.66,0.00,0.67,0.00,1.07,2.93,,0.00
writeIns,0.00,0.66,0.20,0.00,0.00,0.16,0.71,0.42,1.12,0.63,0.00,0.06,0.15,0.13,0.00,0.00,0.16,0.00,0.00,1.09,1.55,0.00,0.00,0.00,1.05,0.24,0.40,0.00,0.00,0.00,1.11,0.00,0.11,0.00,0.00,
