,"ABDUL M RAHAMAN ""THE ROCK""",ALICIA K. BENNETT,BETSY HODGES,BILL KAHN,"BOB ""AGAIN"" CARNEY JR",BOB FINE,CAM WINTON,CAPTAIN JACK SPARROW,CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CYD GORMAN,DAN COHEN,DON SAMUELS,DOUG MANN,EDMUND BERNARD BRUYERE,GREGG A. IVERSON,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR.",JAMES EVERETT,JAYMIE KELLY,JEFFREY ALAN WAGNER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG,JOSHUA REA,KURTIS W. HANNA,MARK ANDREW,MARK V ANDERSON,MERRILL ANDERSON,MIKE GOULD,NEAL BAXTER,OLE SAVIOR,RAHN V. WORKCUFF,STEPHANIE WOODRUFF,TONY LANE,TROY BENJEGERDES,writeIns
DON SAMUELS,0.28,5.08,30.23,0.98,12.50,11.90,11.06,3.02,2.08,2.33,5.13,11.73,,3.21,6.94,3.42,20.12,4.62,5.44,2.03,3.59,2.70,3.09,2.73,5.00,14.73,7.11,4.59,5.39,6.12,3.14,7.58,12.43,4.09,5.37,3.39
DOUG MANN,0.85,1.69,1.64,0.98,5.36,0.90,0.35,7.55,2.60,2.33,10.26,1.88,0.55,,5.56,2.05,0.59,0.00,18.91,14.21,1.80,10.81,1.03,5.45,8.50,0.75,0.61,2.75,1.47,2.72,0.86,3.03,1.58,22.73,10.07,2.54
EDMUND BERNARD BRUYERE,0.28,0.00,0.07,0.98,0.00,0.10,0.05,0.38,0.00,0.58,0.00,0.22,0.02,0.00,,0.00,0.03,0.00,0.57,0.00,0.00,0.00,0.00,0.91,0.50,0.03,0.30,1.83,0.00,0.00,0.00,1.52,0.10,0.00,0.67,0.00
GREGG A. IVERSON,0.56,1.13,0.15,0.98,0.00,1.00,0.04,0.00,0.52,0.00,5.13,0.39,0.28,0.26,0.00,,0.59,0.00,0.57,0.51,1.80,2.70,3.09,1.82,0.00,0.29,0.41,0.00,1.47,0.00,0.14,0.00,0.39,0.45,0.67,0.00
JACKIE CHERRYHOMES,1.41,4.52,8.88,2.94,0.00,5.95,3.15,3.02,0.52,4.07,0.00,4.76,11.95,1.67,8.33,14.38,,6.15,7.16,1.52,6.59,0.00,2.06,7.27,1.00,10.45,8.74,1.83,5.39,2.72,1.00,7.58,6.61,2.27,1.34,2.54
"JAMES ""JIMMY"" L. STROUD, JR.",0.85,0.28,0.03,0.00,3.57,0.14,0.08,0.38,0.00,0.00,0.00,0.11,0.11,0.00,1.39,2.05,0.42,,1.15,0.00,1.80,0.00,0.00,0.91,0.00,0.08,0.30,5.50,0.98,0.00,0.57,0.00,0.10,0.00,0.00,0.85
JAMES EVERETT,0.56,1.69,0.66,2.94,5.36,0.71,0.17,1.89,1.04,2.33,2.56,0.77,0.55,8.47,1.39,0.00,0.42,0.00,,3.05,0.60,2.70,5.15,0.91,5.00,0.41,0.61,0.92,0.98,0.68,1.14,4.55,0.79,5.45,6.04,0.85
JAYMIE KELLY,0.56,2.54,0.51,1.96,0.00,0.24,0.07,1.51,1.56,0.00,0.00,0.44,0.24,13.61,1.39,2.74,0.28,4.62,2.01,,0.00,0.00,0.00,7.27,1.00,0.18,0.10,3.67,0.49,3.40,0.43,1.52,0.30,3.18,6.71,0.85
JEFFREY ALAN WAGNER,1.13,2.82,0.16,1.96,0.00,0.38,0.13,1.51,0.52,1.74,0.00,0.17,0.13,0.39,0.00,4.79,1.10,1.54,0.00,0.00,,0.00,1.03,1.82,1.00,0.51,0.20,1.83,6.37,0.00,0.57,1.52,0.39,2.27,1.34,0.00
JOHN CHARLES WILSON,0.00,0.28,0.02,0.00,1.79,0.05,0.05,1.51,0.52,0.58,0.00,0.11,0.02,0.77,0.00,0.00,0.03,1.54,0.29,0.51,0.60,,1.03,0.91,0.00,0.05,0.10,1.83,0.98,1.36,0.00,0.00,0.00,5.00,0.00,0.85
JOHN LESLIE HARTWIG,0.56,0.28,0.03,0.98,1.79,0.29,0.88,0.38,1.04,1.16,0.00,0.83,0.07,0.51,0.00,0.68,0.06,0.00,0.00,0.51,0.60,5.41,,0.00,0.50,0.04,0.91,0.00,0.98,7.48,4.14,1.52,0.10,0.00,0.00,0.00
JOSHUA REA,1.13,1.13,0.12,0.98,0.00,0.29,0.12,0.38,0.52,1.16,7.69,0.50,0.19,0.26,0.00,0.00,0.31,1.54,0.86,5.58,1.20,0.00,0.00,,0.00,0.15,0.61,6.42,0.49,2.04,1.00,1.52,0.30,1.82,1.34,0.00
KURTIS W. HANNA,1.41,0.56,0.15,0.00,1.79,0.19,0.56,7.55,8.33,3.49,2.56,0.22,0.11,2.70,0.00,0.00,0.11,0.00,2.01,1.02,1.20,0.00,1.03,0.91,,0.13,0.81,0.92,1.47,0.00,0.71,0.00,0.30,2.73,4.70,0.00
MARK ANDREW,6.76,9.04,30.42,2.94,12.50,16.71,7.85,6.79,3.65,3.49,2.56,8.41,17.09,8.47,6.94,10.96,19.08,9.23,6.30,3.55,21.56,10.81,2.06,4.55,5.00,,4.27,8.26,9.80,10.20,1.57,1.52,10.45,7.73,7.38,13.56
MARK V ANDERSON,2.25,2.54,1.31,4.90,1.79,1.62,2.62,0.75,2.08,8.14,7.69,2.93,1.23,0.26,0.00,1.37,1.80,0.00,0.86,1.52,0.60,2.70,4.12,1.82,1.50,0.29,,5.50,0.00,0.68,4.14,7.58,1.08,0.91,2.68,0.85
MERRILL ANDERSON,1.41,1.13,0.07,0.98,1.79,0.24,0.32,0.00,0.00,1.16,7.69,0.66,0.24,0.64,2.78,0.00,0.45,7.69,0.86,1.02,0.00,0.00,1.03,14.55,1.00,0.13,0.41,,0.00,0.00,0.57,0.00,0.10,0.45,1.34,0.00
MIKE GOULD,2.25,10.73,0.28,3.92,0.00,1.05,0.15,1.51,0.00,0.00,0.00,0.22,0.20,0.13,1.39,0.68,0.39,3.08,0.29,0.51,4.19,0.00,0.00,1.82,1.00,0.60,0.00,0.00,,2.72,0.14,0.00,0.79,1.36,0.67,2.54
NEAL BAXTER,0.00,0.28,0.21,3.92,0.00,0.14,1.35,1.13,1.04,2.33,2.56,0.77,0.20,1.16,0.00,1.37,0.08,0.00,0.29,1.52,1.80,0.00,11.34,0.91,2.00,0.21,0.30,1.83,0.49,,4.29,7.58,0.20,0.91,0.67,0.00
OLE SAVIOR,0.85,0.28,0.11,3.92,0.00,1.19,6.09,2.64,7.29,8.72,0.00,3.21,0.37,0.39,0.00,0.68,0.28,0.00,0.00,0.51,0.60,2.70,5.15,0.00,1.50,0.20,2.24,4.59,0.49,3.40,,4.55,0.49,0.00,0.67,0.85
RAHN V. WORKCUFF,0.28,0.00,0.07,0.00,0.00,0.14,0.38,0.00,0.00,0.58,0.00,0.44,0.12,0.51,0.00,0.00,0.14,0.00,0.57,0.51,0.00,0.00,5.15,0.00,0.50,0.04,0.10,0.00,0.98,2.04,1.43,,0.10,0.00,0.67,0.00
STEPHANIE WOODRUFF,1.41,11.58,3.49,1.96,1.79,3.33,2.56,2.26,0.00,0.00,2.56,2.54,2.26,3.08,5.56,3.42,3.41,0.00,2.87,1.52,3.59,2.70,0.00,0.00,1.00,1.67,1.42,2.75,6.86,3.40,0.57,1.52,,0.91,4.70,1.69
TONY LANE,0.85,1.41,0.24,1.96,0.00,0.29,0.05,2.26,0.00,0.58,0.00,0.50,0.14,4.49,1.39,0.68,0.08,1.54,4.01,6.09,1.80,8.11,1.03,0.91,2.00,0.21,0.20,1.83,1.96,1.36,0.14,1.52,0.30,,4.03,0.85
TROY BENJEGERDES,0.56,0.56,0.28,0.98,0.00,0.10,0.15,1.89,1.56,0.00,0.00,0.39,0.07,1.80,5.56,2.05,0.11,3.08,2.29,5.08,0.00,2.70,1.03,0.00,0.50,0.17,0.10,1.83,0.49,0.00,0.43,0.00,0.99,2.73,,0.00
writeIns,0.00,0.56,0.19,0.00,0.00,0.14,0.57,0.38,1.04,0.58,0.00,0.06,0.13,0.13,0.00,0.00,0.14,0.00,0.00,1.02,1.20,0.00,0.00,0.00,1.00,0.19,0.30,0.00,0.00,0.00,0.71,0.00,0.10,0.00,0.00,
exhaust,53.24,14.41,8.35,26.47,19.64,9.33,19.79,10.57,7.29,7.56,12.82,13.88,9.35,4.75,15.28,21.92,13.75,24.62,10.60,7.11,22.75,16.22,16.49,20.00,5.00,21.01,23.17,19.27,25.49,10.20,35.57,15.15,7.79,6.82,5.37,31.36
