# Final piles of ballots, sorted by candidate.
# Created Wednesday, November 5, 2003 5:51 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Yes"
.CANDIDATE C02, "No"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C02

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
000603-00-1847, 1) C02
000603-00-1855, 1) C02
000603-00-1856, 1) C02
000603-00-1859, 1) C02
000603-00-1864, 1) C02
000603-00-1868, 1) C02
000603-00-1874, 1) C02
000603-00-1878, 1) C02
000603-00-1882, 1) C02
000603-00-1888, 1) C02
000603-00-1889, 1) C02
000603-00-1894, 1) C02
000603-00-1897, 1) C02
000603-00-1902, 1) C02
000603-00-1905, 1) C02
000603-00-1909, 1) C02
000603-00-1917, 1) C02
000603-00-1919, 1) C02
000603-00-1921, 1) C02
000603-00-1926, 1) C02
000603-00-1927, 1) C02
000603-00-1932, 1) C02
000603-00-1935, 1) C02
000603-00-1939, 1) C02
000603-00-1942, 1) C02
000603-00-1946, 1) C02
000603-00-1948, 1) C02
000603-00-1952, 1) C02
000603-00-1954, 1) C02
000603-00-1964, 1) C02
000603-00-1970, 1) C02
000603-00-1972, 1) C02
000603-00-1975, 1) C02
000603-00-1978, 1) C02
000603-00-1987, 1) C02
000603-00-1999, 1) C02
000603-00-2008, 1) C02
000603-00-2011, 1) C02
000603-00-2014, 1) C02
000603-00-2016, 1) C02
000603-00-2019, 1) C02
000603-00-2022, 1) C02
000603-00-2025, 1) C02
000603-00-2028, 1) C02
000603-00-2033, 1) C02
000603-00-2039, 1) C02
000603-00-2049, 1) C02
000603-00-2052, 1) C02
000603-00-2060, 1) C02
000603-00-2065, 1) C02
000603-00-2067, 1) C02
000603-00-2075, 1) C02
000603-00-2079, 1) C02
000603-00-2083, 1) C02
000603-00-2098, 1) C02
000603-00-2103, 1) C02
000603-00-2108, 1) C02
000603-00-2110, 1) C02
000603-00-2118, 1) C02
000603-00-2128, 1) C02
000603-00-2130, 1) C02
000603-00-2134, 1) C02
000603-00-2150, 1) C02
000603-00-2154, 1) C02
000603-00-2161, 1) C02
000603-00-2164, 1) C02
000603-00-2168, 1) C02
000603-00-2174, 1) C02
000603-00-2179, 1) C02
000603-00-2181, 1) C02
000603-00-2185, 1) C02
000603-00-2188, 1) C02
000603-00-2191, 1) C02
