"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","V","7601","286","153","17","6","2","3","1","0","7","1","96","179","107","14","1","7","2","7","1","1","0","0","0","4","0","0","0","0","0","8","1","14","1","1","0","0","0","8","1","4","1","2","0","0","0","0","5","9","21","13","29","21","0","0","12","4","14","13","12","0","2","2","1","4","0","3","0","1","0","0","1","1","2","0","1","9","4","11","14","18","0","1","12","9","6","3","8","0","1","3","3","2","1","2","0","2","1","2","0","2","1","23","41","24","16","8","16","6","1","18","6","4","0","1","1","2","1","0","2","18","14","12","15","9","17","3","4","4","8","4","2","1","0","1","0","1","3"
"g14","V","7602","325","174","14","8","3","2","2","0","10","0","112","216","109","19","2","8","1","10","0","2","1","0","0","2","0","0","0","1","0","8","0","18","1","1","0","0","0","5","1","8","0","1","1","4","0","0","4","15","25","13","27","23","0","3","19","15","12","7","11","0","0","2","1","3","2","3","0","0","1","0","1","0","1","0","4","16","9","16","20","16","0","1","15","3","3","4","5","0","0","7","5","5","0","0","0","0","3","3","1","1","0","35","44","25","15","9","14","4","4","24","2","4","2","1","0","1","0","0","4","23","29","13","12","6","15","3","4","7","5","12","1","0","3","3","0","1","0"
"g14","V","7603","339","211","16","7","2","1","2","0","8","0","92","211","128","28","0","2","2","7","0","7","1","0","1","0","0","3","0","0","0","6","3","10","0","1","0","1","0","6","2","7","1","6","0","2","0","0","2","27","16","33","28","22","0","4","20","13","20","9","17","0","0","3","3","3","2","2","0","0","1","0","1","0","1","0","2","15","5","16","7","11","0","1","14","6","7","2","6","0","0","4","3","3","2","2","0","0","1","3","0","0","2","41","41","24","22","14","15","7","11","36","3","2","3","2","2","1","0","2","1","26","12","11","4","1","14","1","9","14","6","3","5","0","0","0","1","0","5"
"g14","V","7604","273","164","22","5","0","1","3","0","5","0","73","188","85","13","2","8","1","7","0","3","0","0","0","0","0","1","0","0","0","2","2","4","0","2","1","3","0","6","0","9","0","7","0","3","0","0","3","20","31","20","24","12","0","0","14","10","9","9","12","0","1","2","1","5","6","5","0","0","0","0","0","0","2","0","0","9","8","7","10","14","0","0","7","7","4","3","4","0","1","2","2","1","4","0","0","0","1","1","2","0","0","41","36","19","22","6","16","6","3","15","3","7","4","1","2","0","0","1","4","16","11","14","10","3","8","3","0","8","4","0","0","5","2","2","0","0","1"
"g14","V","7605","246","141","18","5","1","2","6","0","3","0","70","169","77","17","1","3","0","3","3","2","0","1","0","2","0","0","0","1","0","17","2","30","0","0","0","3","0","0","2","1","0","3","0","0","0","0","0","6","7","22","26","27","0","2","6","3","10","16","16","0","0","0","0","3","0","5","0","0","0","0","0","2","8","0","3","4","4","10","9","29","0","1","5","1","1","0","3","0","1","3","2","2","2","4","0","0","1","0","1","0","1","35","21","20","14","4","15","6","10","16","2","2","3","1","2","3","1","1","3","17","13","11","4","8","9","4","2","2","3","6","3","2","0","2","0","0","1"
"g14","V","7606","273","156","23","7","0","1","2","0","10","0","74","205","68","15","1","8","4","3","0","3","3","1","0","0","0","1","0","0","0","5","2","5","0","5","0","0","0","6","2","7","1","3","1","3","0","0","5","21","10","26","31","24","0","2","9","4","8","10","6","0","0","1","3","5","4","6","0","0","2","0","1","1","0","0","2","15","13","12","7","3","0","3","2","7","2","4","4","0","1","2","1","7","2","4","0","0","0","2","0","1","0","42","38","12","16","6","10","2","8","22","3","2","6","3","1","2","2","0","4","23","16","7","7","3","7","3","3","5","3","7","2","2","1","1","2","1","1"
"g14","V","7607","359","204","26","6","3","1","2","0","9","1","107","247","112","24","1","10","2","8","1","4","0","0","0","1","0","1","0","0","0","8","1","12","0","2","1","1","0","13","6","17","0","2","2","2","0","0","3","16","28","26","49","19","0","2","13","12","8","17","11","0","1","0","1","2","4","5","0","0","2","2","3","5","1","0","4","23","12","14","12","10","0","1","5","7","5","7","7","0","0","3","3","6","5","1","0","0","0","0","1","1","2","55","34","9","18","20","25","4","10","29","5","7","4","0","0","2","2","1","5","33","20","4","14","8","12","6","2","8","3","4","2","1","3","4","1","0","4"
"g14","V","7608","146","80","4","2","4","1","1","0","1","0","53","107","39","9","0","2","0","1","0","0","1","2","0","1","0","0","0","0","0","13","1","18","1","2","0","1","0","9","3","9","0","2","0","3","0","0","0","5","4","5","24","23","0","1","1","1","3","4","9","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","3","2","1","7","22","0","0","1","1","1","2","13","0","0","0","2","1","2","3","0","0","0","0","0","0","1","14","20","10","6","1","4","5","6","14","1","0","0","1","0","2","0","0","0","9","9","11","6","6","5","2","1","4","5","1","0","0","0","0","1","1","1"
"g14","V","7609","337","161","20","3","1","2","1","0","5","0","144","247","90","16","3","12","0","2","1","1","0","1","0","0","0","0","0","0","0","35","2","89","1","1","0","0","0","3","3","6","0","7","0","5","0","0","0","1","9","16","29","55","0","1","1","2","12","15","20","0","0","0","3","2","3","6","0","0","0","1","2","2","1","0","1","2","4","9","8","90","0","0","0","1","3","2","24","0","0","0","0","2","6","1","0","0","0","0","1","1","1","36","40","16","17","8","13","12","6","13","4","7","4","2","0","0","0","1","2","21","46","16","25","12","12","4","3","5","5","3","2","2","0","0","0","0","0"
"g14","V","7611","303","167","14","10","2","1","2","0","3","0","104","219","84","14","2","2","0","9","0","2","0","1","1","1","0","1","0","0","0","22","0","49","4","0","0","1","0","0","1","0","0","2","1","3","1","0","1","7","11","29","33","36","0","1","0","3","10","17","19","0","0","1","2","2","3","1","0","0","0","1","3","0","1","0","1","3","5","18","17","34","0","1","2","3","5","3","12","0","0","2","0","4","3","6","0","0","0","1","1","0","1","58","34","15","16","6","8","6","6","18","3","5","1","3","0","0","0","0","2","19","23","26","14","9","5","1","1","6","6","3","1","3","0","0","0","1","4"
