condorcet winner: BETSY HODGES,"ABDUL M RAHAMAN ""THE ROCK""",ALICIA K. BENNETT,BETSY HODGES,BILL KAHN,"BOB ""AGAIN"" CARNEY JR",BOB FINE,CAM WINTON,CAPTAIN JACK SPARROW,CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CYD GORMAN,DAN COHEN,DON SAMUELS,DOUG MANN,EDMUND BERNARD BRUYERE,GREGG A. IVERSON,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR.",JAMES EVERETT,JAYMIE KELLY,JEFFREY ALAN WAGNER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG,JOSHUA REA,KURTIS W. HANNA,MARK ANDREW,MARK V ANDERSON,MERRILL ANDERSON,MIKE GOULD,NEAL BAXTER,OLE SAVIOR,RAHN V. WORKCUFF,STEPHANIE WOODRUFF,TONY LANE,TROY BENJEGERDES,writeIns
DON SAMUELS,97.63,95.42,26.98,98.79,99.17,79.38,70.70,94.65,96.79,97.18,99.30,86.23,,92.70,99.48,98.06,69.75,99.22,95.88,97.38,97.84,99.44,98.54,98.59,97.68,40.41,93.05,98.66,97.08,97.48,94.54,99.09,87.66,97.70,98.19,98.43
DOUG MANN,76.20,62.01,3.44,87.17,90.46,21.58,15.93,56.66,71.84,74.31,91.93,32.08,7.30,,93.46,78.96,13.62,90.64,65.07,77.81,78.41,93.72,85.02,84.71,78.63,5.55,50.66,85.61,73.00,75.70,58.63,90.03,33.49,79.18,81.90,82.35
EDMUND BERNARD BRUYERE,18.08,10.21,0.29,31.78,39.02,1.90,1.30,8.19,15.02,16.60,43.52,3.16,0.52,6.54,,20.73,1.09,39.88,10.85,16.90,20.24,49.04,28.06,27.07,19.30,0.44,6.46,28.92,15.77,17.51,9.05,37.75,3.44,19.12,22.81,24.26
GREGG A. IVERSON,46.06,29.93,1.11,64.02,71.05,6.22,4.85,25.66,40.47,43.47,74.62,11.06,1.94,21.04,79.27,,3.65,71.99,31.57,43.81,49.36,78.59,59.89,59.15,47.71,1.34,21.04,61.12,41.42,44.66,27.63,69.86,11.60,47.42,53.23,54.98
JACKIE CHERRYHOMES,95.37,91.97,16.40,97.71,98.31,64.41,54.29,89.39,94.06,94.76,98.66,75.52,30.25,86.38,98.91,96.35,,98.56,91.88,94.89,96.30,98.84,97.24,97.25,95.48,23.44,86.87,97.53,94.66,95.02,89.86,98.22,76.99,95.51,96.40,96.72
"JAMES ""JIMMY"" L. STROUD, JR.",24.59,14.57,0.54,41.33,49.04,2.81,1.92,11.49,21.04,23.16,53.58,4.66,0.78,9.36,60.12,28.01,1.44,,15.13,23.28,27.49,59.23,36.99,35.82,26.36,0.60,9.57,37.23,21.98,24.16,12.82,47.91,5.11,26.24,30.92,32.46
JAMES EVERETT,64.74,48.07,1.99,79.47,84.18,13.64,9.79,42.57,59.28,62.32,86.44,21.29,4.12,34.93,89.15,68.43,8.12,84.87,,62.70,67.37,88.87,76.28,75.97,66.61,3.18,37.00,77.32,60.47,63.47,44.66,83.53,22.21,66.91,71.28,72.37
JAYMIE KELLY,52.30,35.66,1.28,69.74,75.92,8.80,6.18,30.63,46.53,49.85,79.45,14.05,2.62,22.19,83.10,56.19,5.11,76.72,37.30,,55.31,82.92,65.95,65.87,54.33,2.13,26.17,66.82,48.02,50.97,32.79,75.02,14.70,53.81,59.61,61.30
JEFFREY ALAN WAGNER,46.64,31.01,1.24,64.85,71.59,6.94,4.96,26.34,41.28,44.32,75.23,11.68,2.16,21.59,79.76,50.64,3.70,72.51,32.63,44.69,,79.41,60.80,59.78,48.65,1.28,22.15,61.65,42.23,45.65,28.12,70.64,12.08,48.29,53.91,55.97
JOHN CHARLES WILSON,18.56,10.56,0.33,32.72,39.74,1.99,1.30,8.24,15.31,16.93,44.17,3.35,0.56,6.28,50.96,21.41,1.16,40.77,11.13,17.08,20.59,,28.67,27.95,19.64,0.43,6.79,29.41,16.04,17.76,9.38,38.91,3.57,18.02,23.58,24.91
JOHN LESLIE HARTWIG,35.91,22.40,0.98,54.39,61.98,4.66,2.21,18.59,30.91,33.58,66.29,7.21,1.46,14.98,71.94,40.11,2.76,63.01,23.72,34.05,39.20,71.33,,48.88,37.57,1.18,14.84,51.03,32.18,33.79,17.59,61.42,8.27,37.64,43.07,44.85
JOSHUA REA,37.31,23.06,0.84,55.45,62.96,4.92,3.40,19.10,32.06,34.79,67.13,7.93,1.41,15.29,72.93,40.85,2.75,64.18,24.03,34.13,40.22,72.05,51.12,,38.84,1.15,15.72,52.24,33.23,35.98,20.55,61.83,8.54,38.24,43.93,45.88
KURTIS W. HANNA,47.95,31.97,1.33,66.25,73.12,7.44,4.66,25.94,41.60,45.44,76.30,12.13,2.32,21.37,80.70,52.29,4.52,73.64,33.39,45.67,51.35,80.36,62.43,61.16,,1.82,22.92,63.15,43.86,47.02,28.93,71.86,12.75,49.56,55.31,57.11
MARK ANDREW,98.16,96.93,39.12,99.11,99.36,84.49,75.77,95.99,97.39,97.69,99.43,88.86,59.59,94.45,99.56,98.66,76.56,99.40,96.82,97.87,98.72,99.57,98.82,98.85,98.18,,93.79,98.93,98.30,98.04,95.45,99.25,90.01,98.30,98.60,98.80
MARK V ANDERSON,75.92,61.32,4.05,86.87,90.02,21.20,13.99,56.31,71.75,74.34,91.60,31.06,6.95,49.34,93.54,78.96,13.13,90.43,63.00,73.83,77.85,93.21,85.16,84.28,77.08,6.21,,85.50,72.42,75.05,57.95,89.72,33.05,76.70,80.56,81.73
MERRILL ANDERSON,34.93,21.59,0.85,53.52,61.04,4.49,2.88,18.18,30.41,32.93,66.00,7.13,1.34,14.39,71.08,38.88,2.47,62.77,22.68,33.18,38.35,70.59,48.97,47.76,36.85,1.07,14.50,,31.45,34.22,19.16,60.05,7.92,36.71,42.28,44.03
MIKE GOULD,54.21,36.31,1.61,71.75,77.17,8.96,6.57,32.44,48.68,51.78,80.35,14.92,2.92,27.00,84.23,58.58,5.34,78.02,39.53,51.98,57.77,83.96,67.82,66.77,56.14,1.70,27.58,68.55,,52.89,34.71,76.56,15.59,55.71,61.48,63.05
NEAL BAXTER,51.22,34.82,1.49,68.94,75.27,8.39,4.43,29.80,45.26,48.56,78.64,12.96,2.52,24.30,82.49,55.34,4.98,75.84,36.53,49.03,54.35,82.24,66.21,64.02,52.98,1.96,24.95,65.78,47.11,,29.91,74.78,14.28,52.84,58.37,60.22
OLE SAVIOR,69.36,53.23,3.78,83.20,86.60,16.17,7.59,47.77,66.49,68.91,88.98,23.84,5.46,41.37,90.95,72.37,10.14,87.18,55.34,67.21,71.88,90.62,82.41,79.45,71.07,4.55,42.05,80.84,65.29,70.09,,87.61,26.30,70.32,75.07,76.72
RAHN V. WORKCUFF,26.48,15.73,0.58,43.34,51.06,3.12,1.65,12.99,22.27,24.57,55.87,4.87,0.91,9.97,62.25,30.14,1.78,52.09,16.47,24.98,29.36,61.09,38.58,38.17,28.14,0.75,10.28,39.95,23.44,25.22,12.39,,5.47,28.04,32.85,34.45
STEPHANIE WOODRUFF,86.30,76.99,5.73,93.03,94.78,34.98,26.31,72.34,83.56,85.03,95.61,48.60,12.34,66.51,96.56,88.40,23.01,94.89,77.79,85.30,87.92,96.43,91.73,91.46,87.25,9.99,66.95,92.08,84.41,85.72,73.70,94.53,,87.09,89.83,90.07
TONY LANE,48.28,32.27,1.16,66.56,73.23,7.58,5.39,27.50,43.01,46.04,76.64,12.27,2.30,20.82,80.88,52.58,4.49,73.76,33.09,46.19,51.71,81.98,62.36,61.76,50.44,1.70,23.30,63.29,44.29,47.16,29.68,71.96,12.91,,56.23,57.43
TROY BENJEGERDES,42.99,27.47,0.84,61.21,68.09,6.09,4.20,23.04,37.20,40.41,72.21,9.94,1.81,18.10,77.19,46.77,3.60,69.08,28.72,40.39,46.09,76.42,56.93,56.07,44.69,1.40,19.44,57.72,38.52,41.63,24.93,67.15,10.17,43.77,,51.80
writeIns,41.08,26.15,0.78,59.37,66.49,5.64,3.33,21.76,35.56,38.50,70.50,9.24,1.57,17.65,75.74,45.02,3.28,67.54,27.63,38.70,44.03,75.09,55.15,54.12,42.89,1.20,18.27,55.97,36.95,39.78,23.28,65.55,9.93,42.57,48.20,
