condorcet winner: BETSY HODGES,"ABDUL M RAHAMAN ""THE ROCK""",ALICIA K. BENNETT,BETSY HODGES,BILL KAHN,"BOB ""AGAIN"" CARNEY JR",BOB FINE,CAM WINTON,CAPTAIN JACK SPARROW,CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CYD GORMAN,DAN COHEN,DON SAMUELS,DOUG MANN,EDMUND BERNARD BRUYERE,GREGG A. IVERSON,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR.",JAMES EVERETT,JAYMIE KELLY,JEFFREY ALAN WAGNER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG,JOSHUA REA,KURTIS W. HANNA,MARK ANDREW,MARK V ANDERSON,MERRILL ANDERSON,MIKE GOULD,NEAL BAXTER,OLE SAVIOR,RAHN V. WORKCUFF,STEPHANIE WOODRUFF,TONY LANE,TROY BENJEGERDES,writeIns
CYD GORMAN,264.00,267.00,220.00,261.00,267.00,256.00,239.00,259.00,266.00,262.00,,243.00,234.00,256.00,266.00,266.00,243.00,266.00,263.00,261.00,267.00,268.00,266.00,262.00,265.00,235.00,260.00,256.00,268.00,263.00,254.00,267.00,263.00,264.00,264.00,269.00
DAN COHEN,6029.00,6018.00,4825.00,6019.00,6032.00,5646.00,4449.00,5981.00,6004.00,6009.00,6033.00,,5226.00,5971.00,6035.00,6022.00,5685.00,6029.00,6016.00,6021.00,6028.00,6035.00,6022.00,6024.00,6013.00,5062.00,5910.00,6021.00,6022.00,6025.00,5919.00,6034.00,5898.00,6029.00,6022.00,6033.00
DON SAMUELS,33344.00,33281.00,15884.00,33347.00,33344.00,32311.00,31230.00,33310.00,33339.00,33348.00,33352.00,32727.00,,33195.00,33343.00,33334.00,30649.00,33352.00,33276.00,33327.00,33330.00,33356.00,33353.00,33353.00,33318.00,23276.00,33056.00,33345.00,33307.00,33323.00,33307.00,33351.00,32750.00,33317.00,33325.00,33342.00
DOUG MANN,2914.00,2901.00,1748.00,2921.00,2919.00,2798.00,2822.00,2877.00,2909.00,2910.00,2916.00,2820.00,2613.00,,2915.00,2916.00,2805.00,2924.00,2763.00,2858.00,2909.00,2911.00,2918.00,2902.00,2899.00,2385.00,2901.00,2915.00,2914.00,2906.00,2900.00,2916.00,2841.00,2841.00,2882.00,2916.00
EDMUND BERNARD BRUYERE,203.00,205.00,145.00,204.00,206.00,199.00,196.00,202.00,204.00,202.00,205.00,197.00,174.00,204.00,,204.00,196.00,205.00,204.00,205.00,206.00,205.00,204.00,203.00,205.00,180.00,196.00,203.00,205.00,205.00,204.00,205.00,204.00,205.00,201.00,206.00
GREGG A. IVERSON,778.00,760.00,556.00,781.00,783.00,678.00,761.00,778.00,783.00,779.00,782.00,749.00,658.00,777.00,780.00,,674.00,784.00,772.00,782.00,767.00,782.00,778.00,779.00,782.00,553.00,756.00,783.00,763.00,778.00,783.00,781.00,749.00,780.00,782.00,784.00
JACKIE CHERRYHOMES,17838.00,17760.00,9253.00,17847.00,17853.00,17276.00,17026.00,17819.00,17849.00,17845.00,17850.00,17536.00,13290.00,17785.00,17847.00,17805.00,,17846.00,17791.00,17842.00,17827.00,17856.00,17845.00,17841.00,17854.00,11777.00,17595.00,17836.00,17823.00,17841.00,17829.00,17848.00,17513.00,17840.00,17842.00,17849.00
"JAMES ""JIMMY"" L. STROUD, JR.",298.00,307.00,267.00,305.00,307.00,297.00,293.00,294.00,307.00,306.00,307.00,295.00,261.00,302.00,309.00,305.00,261.00,,298.00,305.00,306.00,308.00,307.00,302.00,306.00,247.00,300.00,296.00,307.00,308.00,302.00,310.00,308.00,307.00,307.00,309.00
JAMES EVERETT,1669.00,1655.00,1002.00,1672.00,1671.00,1615.00,1619.00,1657.00,1671.00,1667.00,1676.00,1627.00,1430.00,1483.00,1676.00,1673.00,1573.00,1671.00,,1647.00,1672.00,1676.00,1666.00,1669.00,1648.00,1340.00,1659.00,1677.00,1669.00,1668.00,1655.00,1664.00,1627.00,1640.00,1658.00,1674.00
JAYMIE KELLY,999.00,990.00,642.00,1005.00,1006.00,988.00,983.00,992.00,1005.00,1007.00,1009.00,984.00,897.00,815.00,1008.00,1003.00,961.00,1005.00,980.00,,1005.00,1005.00,1009.00,988.00,997.00,890.00,1004.00,999.00,1004.00,1001.00,1000.00,1009.00,983.00,974.00,986.00,1009.00
JEFFREY ALAN WAGNER,799.00,784.00,624.00,808.00,809.00,763.00,779.00,800.00,809.00,808.00,811.00,797.00,736.00,801.00,812.00,787.00,685.00,807.00,810.00,812.00,,810.00,808.00,807.00,809.00,529.00,808.00,807.00,774.00,809.00,803.00,811.00,783.00,803.00,807.00,811.00
JOHN CHARLES WILSON,209.00,213.00,163.00,213.00,213.00,208.00,196.00,203.00,208.00,207.00,212.00,209.00,187.00,195.00,213.00,213.00,209.00,212.00,210.00,207.00,210.00,,209.00,211.00,209.00,176.00,207.00,210.00,209.00,209.00,212.00,214.00,212.00,189.00,212.00,213.00
JOHN LESLIE HARTWIG,515.00,520.00,489.00,520.00,520.00,501.00,337.00,516.00,511.00,509.00,523.00,468.00,493.00,514.00,523.00,521.00,507.00,523.00,518.00,521.00,521.00,520.00,,522.00,514.00,487.00,492.00,520.00,519.00,470.00,433.00,511.00,516.00,522.00,519.00,522.00
JOSHUA REA,538.00,537.00,419.00,539.00,544.00,531.00,526.00,532.00,545.00,542.00,535.00,519.00,477.00,524.00,547.00,538.00,505.00,541.00,528.00,512.00,543.00,544.00,546.00,,543.00,473.00,528.00,524.00,541.00,543.00,531.00,546.00,534.00,533.00,536.00,545.00
KURTIS W. HANNA,840.00,847.00,668.00,854.00,854.00,823.00,729.00,776.00,805.00,828.00,853.00,830.00,793.00,788.00,857.00,857.00,846.00,855.00,826.00,838.00,854.00,855.00,854.00,855.00,,757.00,842.00,855.00,850.00,852.00,833.00,858.00,836.00,839.00,839.00,851.00
MARK ANDREW,40791.00,40731.00,24972.00,40829.00,40832.00,39693.00,39316.00,40782.00,40829.00,40828.00,40843.00,40394.00,34324.00,40585.00,40824.00,40810.00,38465.00,40830.00,40749.00,40797.00,40761.00,40838.00,40839.00,40817.00,40808.00,,40687.00,40820.00,40780.00,40808.00,40789.00,40834.00,40333.00,40778.00,40810.00,40821.00
MARK V ANDERSON,2825.00,2824.00,2080.00,2825.00,2840.00,2714.00,2402.00,2830.00,2799.00,2793.00,2835.00,2663.00,2469.00,2825.00,2838.00,2837.00,2660.00,2836.00,2825.00,2832.00,2840.00,2841.00,2823.00,2830.00,2832.00,2696.00,,2824.00,2839.00,2831.00,2755.00,2828.00,2804.00,2834.00,2830.00,2841.00
MERRILL ANDERSON,490.00,494.00,427.00,502.00,503.00,482.00,443.00,501.00,503.00,495.00,497.00,462.00,452.00,490.00,499.00,498.00,452.00,499.00,492.00,496.00,502.00,504.00,499.00,479.00,499.00,442.00,479.00,,502.00,501.00,485.00,505.00,492.00,500.00,498.00,505.00
MIKE GOULD,1075.00,993.00,813.00,1087.00,1092.00,1005.00,1050.00,1079.00,1092.00,1091.00,1096.00,1056.00,1002.00,1078.00,1095.00,1079.00,1006.00,1090.00,1091.00,1087.00,1059.00,1094.00,1094.00,1087.00,1088.00,706.00,1081.00,1094.00,,1081.00,1090.00,1094.00,1046.00,1083.00,1090.00,1092.00
NEAL BAXTER,965.00,961.00,749.00,961.00,968.00,938.00,691.00,955.00,940.00,946.00,968.00,897.00,861.00,933.00,966.00,964.00,936.00,967.00,960.00,963.00,963.00,968.00,921.00,966.00,960.00,817.00,941.00,963.00,963.00,,860.00,949.00,952.00,967.00,959.00,969.00
OLE SAVIOR,2049.00,2050.00,1949.00,2041.00,2055.00,1970.00,1217.00,2013.00,1972.00,1988.00,2051.00,1853.00,1923.00,2046.00,2050.00,2051.00,2012.00,2054.00,2051.00,2050.00,2053.00,2048.00,2029.00,2053.00,2046.00,1946.00,1999.00,2046.00,2050.00,2015.00,,2043.00,2040.00,2054.00,2051.00,2053.00
RAHN V. WORKCUFF,331.00,337.00,289.00,335.00,337.00,330.00,251.00,337.00,328.00,329.00,338.00,309.00,306.00,323.00,338.00,337.00,323.00,337.00,328.00,336.00,337.00,336.00,321.00,337.00,336.00,308.00,324.00,336.00,335.00,320.00,289.00,,331.00,337.00,337.00,338.00
STEPHANIE WOODRUFF,5703.00,5544.00,2973.00,5713.00,5724.00,5373.00,5244.00,5710.00,5725.00,5719.00,5725.00,5577.00,4610.00,5643.00,5723.00,5707.00,5233.00,5723.00,5700.00,5706.00,5701.00,5726.00,5723.00,5720.00,5721.00,4474.00,5679.00,5720.00,5664.00,5717.00,5717.00,5724.00,,5714.00,5708.00,5723.00
TONY LANE,856.00,856.00,580.00,866.00,867.00,840.00,850.00,852.00,867.00,865.00,866.00,843.00,786.00,747.00,867.00,865.00,838.00,863.00,811.00,836.00,860.00,860.00,865.00,861.00,854.00,706.00,861.00,862.00,861.00,863.00,867.00,865.00,847.00,,857.00,866.00
TROY BENJEGERDES,687.00,681.00,422.00,688.00,685.00,664.00,654.00,675.00,683.00,687.00,686.00,665.00,614.00,637.00,680.00,687.00,667.00,686.00,668.00,668.00,690.00,687.00,686.00,684.00,678.00,581.00,683.00,680.00,683.00,684.00,681.00,689.00,646.00,667.00,,689.00
writeIns,640.00,638.00,388.00,640.00,641.00,613.00,515.00,627.00,634.00,636.00,643.00,614.00,533.00,625.00,643.00,642.00,605.00,643.00,639.00,637.00,638.00,642.00,642.00,643.00,639.00,494.00,635.00,642.00,640.00,640.00,623.00,643.00,631.00,642.00,641.00,
