ballotID,rank1,rank2,rank3,duplicates,exhausted,exhausted_by_abstention,exhausted_by_overvote,exhausted_by_rank_limit,exhausted_by_skipvote,first_round_overvote_bool,fully_ranked,modified_fully_ranked,overvote,ranked_multiple_bool,ranked_single_bool,skipped,undervote,irregular_bool
152287,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152294,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152296,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152297,"Arford, Poppy",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152325,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152327,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152331,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152343,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152344,"Arford, Poppy",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152346,"Arford, Poppy",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152351,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152355,"Wilson, Katherine E.",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152357,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152373,"Arford, Poppy",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152374,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
152382,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152398,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
152412,"Arford, Poppy",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152416,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152418,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152427,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152430,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152433,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152437,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152441,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152442,"Perreault, Corinne Ann",skipped,skipped,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
152451,"Wilson, Katherine E.","Perreault, Corinne Ann",skipped,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
152454,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152457,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152459,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152460,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152464,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152483,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152484,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152493,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
152495,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152504,"Wilson, Katherine E.",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152506,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152515,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152516,"Wilson, Katherine E.",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152530,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152531,"Wilson, Katherine E.","Perreault, Corinne Ann",skipped,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
152534,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152545,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152553,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
152559,"Perreault, Corinne Ann",skipped,skipped,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
152564,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152567,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152571,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152573,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
152574,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
