Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-12 P-09,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-05,Will Jaeger,Andrew Johnson,Andrew Johnson,1
MINNEAPOLIS W-12 P-05,Harrison Bullard,Harrison Bullard,Harrison Bullard,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-11,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Harrison Bullard,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-08,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-06,Harrison Bullard,Andrew Johnson,Harrison Bullard,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-13,Will Jaeger,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-08,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,UWI,Andrew Johnson,UWI,1
MINNEAPOLIS W-12 P-02,Will Jaeger,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Will Jaeger,undervote,1
