break_on_overvote,break_on_repeated_skipvotes,candidate_map,contest,county,date,idparser,master_lookup,multi_winner_rounds,num_winners,office,parser,path,place,rcv_type,state,state_code,year
True,False,,2016 BerkeleyMayor,001,11/8/2016,,,False,1,Mayor,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyMayor/ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2016
True,False,,Burlington Mayor 2009,,3/3/2009,,,False,1,Mayor,<function prm at 0x000002546E0403A8>,Ballot_Images/Burlington/2009 Burlington Mayor/2009 Burlington.chp,Burlington,<class 'scripts.rcv_variants.rcv_single_winner'>,VT,,2009
True,False,,Burlington Mayor 2006,,3/7/2006,,,False,1,Mayor,<function burlington2006 at 0x000002546E040438>,Ballot_Images/Burlington/Burlington Mayor 2006.txt,Burlington,<class 'scripts.rcv_variants.rcv_single_winner'>,VT,,2006
False,False,,Cambridge City Council 2009,,11/3/2009,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2009/Council/Final/council.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2009
False,False,,Cambridge City Council 2015,,11/3/2015,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2015/council2015/council2015.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2015
False,False,,Cambridge School Committee 2015,,11/3/2015,,,False,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2015/school2015/school2015.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2015
False,False,,Cambridge City Council 2003,,11/4/2003,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2003/Council/Final/council.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2003
False,False,,Cambridge School Committee 2003,,11/4/2003,,,False,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2003/School/Final/school.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2003
False,False,,Cambridge City Council 2013,,11/5/2013,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2013/Council/Final/council.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2013
False,False,,Cambridge School Committee 2013,,11/5/2013,,,False,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2013/School/Final/school.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2013
False,False,,Cambridge City Council 2001,,11/6/2001,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2001/Council - Wednesday/council.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2001
False,False,,Cambridge City Council 2007,,11/6/2007,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2007/Council/Final/council.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2007
False,False,,Cambridge School Committee 2007,,11/6/2007,,,False,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2007/School/Final/school.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2007
False,False,,Cambridge City Council 2017,,11/7/2017,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2017/2017/City Council/council 2017 FINAL Order Test.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2017
False,False,,Cambridge School Committee 2017,,11/7/2017,,,False,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2017/2017/School Committee/school 2017 FINAL Order Test.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2017
False,False,,Cambridge City Council 2005,,11/8/2005,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2005/Council/Wednesday/council.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2005
False,False,,Cambridge School Committee 2005,,11/8/2005,,,False,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2005/School/Wednesday/school.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2005
False,False,,Cambridge City Council 2011,,11/8/2011,,,False,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2011/Council/Final/council.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2011
False,False,,Cambridge School Committee 2011,,11/8/2011,,,False,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2011/School/Final/school.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2011
False,False,,Cambridge City Council 2019,,11/15/2019,,,True,9,City Council,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2019/City Council/council 2019 Final.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2019
False,False,,Cambridge School Committee 2019,,11/15/2019,,,True,6,School Committee,<function prm at 0x000002546E0403A8>,Ballot_Images/Cambridge/2019/School Committee/school.chp,Cambridge,<class 'scripts.rcv_variants.stv_whole_ballot'>,MA,,2019
True,True,,Eastpointe City Council 2019,,11/5/2019,,,True,2,City Council,<function ep at 0x000002546E040CA8>,Ballot_Images/Eastpointe/Eastpointe CVR Cleaned.csv,Eastpointe,<class 'scripts.rcv_variants.stv_fractional_ballot'>,MI,,2019
