ranks,ballotID,rank1,rank2,rank3
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY']",21085,SEAN SULLIVAN,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY
"['SEAN SULLIVAN', 'NYEISHA DEWITT', 'LARRY LIONEL YOUNG, JR.']",21086,SEAN SULLIVAN,NYEISHA DEWITT,"LARRY LIONEL YOUNG, JR."
"['ALEX MILLER-COLE', 'SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY']",21087,ALEX MILLER-COLE,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY
"['ALEX MILLER-COLE', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",21088,ALEX MILLER-COLE,NYEISHA DEWITT,SEAN SULLIVAN
"['skipped', 'skipped', 'skipped']",21089,skipped,skipped,skipped
"['SEAN SULLIVAN', 'skipped', 'skipped']",21090,SEAN SULLIVAN,skipped,skipped
"['NYEISHA DEWITT', 'skipped', 'skipped']",21091,NYEISHA DEWITT,skipped,skipped
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",21092,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN
"['SEAN SULLIVAN', 'SEAN SULLIVAN', 'DERRICK MUHAMMAD']",21093,SEAN SULLIVAN,SEAN SULLIVAN,DERRICK MUHAMMAD
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",21094,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN
"['ALEX MILLER-COLE', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21095,ALEX MILLER-COLE,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY', 'SEAN SULLIVAN']",21096,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN
"['LYNETTE GIBSON-MCELHANEY', 'SEAN SULLIVAN', 'ALEX MILLER-COLE']",21097,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN,ALEX MILLER-COLE
"['NYEISHA DEWITT', 'DERRICK MUHAMMAD', 'LARRY LIONEL YOUNG, JR.']",21098,NYEISHA DEWITT,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR."
"['NYEISHA DEWITT', 'DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY']",21099,NYEISHA DEWITT,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY
"['ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT']",21100,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT
"['LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE', 'NYEISHA DEWITT']",21101,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE,NYEISHA DEWITT
"['ALEX MILLER-COLE', 'ALEX MILLER-COLE', 'ALEX MILLER-COLE']",21102,ALEX MILLER-COLE,ALEX MILLER-COLE,ALEX MILLER-COLE
"['LYNETTE GIBSON-MCELHANEY', 'LARRY LIONEL YOUNG, JR.', 'DERRICK MUHAMMAD']",21103,LYNETTE GIBSON-MCELHANEY,"LARRY LIONEL YOUNG, JR.",DERRICK MUHAMMAD
"['SEAN SULLIVAN', 'SEAN SULLIVAN', 'SEAN SULLIVAN']",21104,SEAN SULLIVAN,SEAN SULLIVAN,SEAN SULLIVAN
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'DERRICK MUHAMMAD']",21105,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,DERRICK MUHAMMAD
"['LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE', 'NYEISHA DEWITT']",21106,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE,NYEISHA DEWITT
"['skipped', 'skipped', 'skipped']",21107,skipped,skipped,skipped
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LARRY LIONEL YOUNG, JR.']",21108,DERRICK MUHAMMAD,NYEISHA DEWITT,"LARRY LIONEL YOUNG, JR."
"['LYNETTE GIBSON-MCELHANEY', 'SEAN SULLIVAN', 'ALEX MILLER-COLE']",21109,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN,ALEX MILLER-COLE
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD']",21110,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD
"['SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT']",21111,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT
"['ALEX MILLER-COLE', 'SEAN SULLIVAN', 'LARRY LIONEL YOUNG, JR.']",21112,ALEX MILLER-COLE,SEAN SULLIVAN,"LARRY LIONEL YOUNG, JR."
"['SEAN SULLIVAN', 'skipped', 'skipped']",21113,SEAN SULLIVAN,skipped,skipped
"['ALEX MILLER-COLE', 'SEAN SULLIVAN', 'SEAN SULLIVAN']",21114,ALEX MILLER-COLE,SEAN SULLIVAN,SEAN SULLIVAN
"['LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD', 'NYEISHA DEWITT']",21115,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD,NYEISHA DEWITT
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'DERRICK MUHAMMAD']",21116,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'DERRICK MUHAMMAD', 'DERRICK MUHAMMAD']",21117,DERRICK MUHAMMAD,DERRICK MUHAMMAD,DERRICK MUHAMMAD
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'DERRICK MUHAMMAD']",21118,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY']",21119,DERRICK MUHAMMAD,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY
"['ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY', 'skipped']",21120,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY,skipped
"['LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD', 'LARRY LIONEL YOUNG, JR.']",21121,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR."
"['LYNETTE GIBSON-MCELHANEY', 'writein', 'writein']",21122,LYNETTE GIBSON-MCELHANEY,writein,writein
"['ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT']",21123,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT
"['LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE', 'NYEISHA DEWITT']",21124,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE,NYEISHA DEWITT
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'skipped']",21125,SEAN SULLIVAN,ALEX MILLER-COLE,skipped
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21126,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['ALEX MILLER-COLE', 'ALEX MILLER-COLE', 'ALEX MILLER-COLE']",21127,ALEX MILLER-COLE,ALEX MILLER-COLE,ALEX MILLER-COLE
"['DERRICK MUHAMMAD', 'DERRICK MUHAMMAD', 'DERRICK MUHAMMAD']",21128,DERRICK MUHAMMAD,DERRICK MUHAMMAD,DERRICK MUHAMMAD
"['NYEISHA DEWITT', 'ALEX MILLER-COLE', 'SEAN SULLIVAN']",21129,NYEISHA DEWITT,ALEX MILLER-COLE,SEAN SULLIVAN
"['DERRICK MUHAMMAD', 'SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY']",21130,DERRICK MUHAMMAD,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY
"['ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD']",21131,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'LARRY LIONEL YOUNG, JR.']",21132,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,"LARRY LIONEL YOUNG, JR."
"['SEAN SULLIVAN', 'NYEISHA DEWITT', 'ALEX MILLER-COLE']",21133,SEAN SULLIVAN,NYEISHA DEWITT,ALEX MILLER-COLE
"['NYEISHA DEWITT', 'skipped', 'skipped']",21134,NYEISHA DEWITT,skipped,skipped
"['NYEISHA DEWITT', 'ALEX MILLER-COLE', 'NYEISHA DEWITT']",21135,NYEISHA DEWITT,ALEX MILLER-COLE,NYEISHA DEWITT
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'skipped']",21136,DERRICK MUHAMMAD,NYEISHA DEWITT,skipped
"['SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD']",21137,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT']",21138,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT
"['skipped', 'skipped', 'skipped']",21139,skipped,skipped,skipped
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21140,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'LARRY LIONEL YOUNG, JR.']",21141,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,"LARRY LIONEL YOUNG, JR."
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",21142,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN
"['ALEX MILLER-COLE', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21143,ALEX MILLER-COLE,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['skipped', 'skipped', 'skipped']",21144,skipped,skipped,skipped
"['LYNETTE GIBSON-MCELHANEY', 'SEAN SULLIVAN', 'LARRY LIONEL YOUNG, JR.']",21145,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN,"LARRY LIONEL YOUNG, JR."
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",21146,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN
"['NYEISHA DEWITT', 'ALEX MILLER-COLE', 'DERRICK MUHAMMAD']",21147,NYEISHA DEWITT,ALEX MILLER-COLE,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21148,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['NYEISHA DEWITT', 'NYEISHA DEWITT', 'NYEISHA DEWITT']",21149,NYEISHA DEWITT,NYEISHA DEWITT,NYEISHA DEWITT
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21150,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21151,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21152,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['DERRICK MUHAMMAD', 'SEAN SULLIVAN', 'LARRY LIONEL YOUNG, JR.']",21153,DERRICK MUHAMMAD,SEAN SULLIVAN,"LARRY LIONEL YOUNG, JR."
"['LYNETTE GIBSON-MCELHANEY', 'SEAN SULLIVAN', 'NYEISHA DEWITT']",21154,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN,NYEISHA DEWITT
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'DERRICK MUHAMMAD']",21155,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21156,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY', 'skipped']",21157,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY,skipped
"['ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT']",21158,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT
"['skipped', 'skipped', 'skipped']",21159,skipped,skipped,skipped
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'skipped']",21160,SEAN SULLIVAN,ALEX MILLER-COLE,skipped
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD']",21161,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21162,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['ALEX MILLER-COLE', 'SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY']",21163,ALEX MILLER-COLE,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",21164,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN
"['LYNETTE GIBSON-MCELHANEY', 'LYNETTE GIBSON-MCELHANEY', 'LARRY LIONEL YOUNG, JR.']",21165,LYNETTE GIBSON-MCELHANEY,LYNETTE GIBSON-MCELHANEY,"LARRY LIONEL YOUNG, JR."
"['writein', 'writein', 'writein']",21166,writein,writein,writein
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",21167,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN
"['SEAN SULLIVAN', 'NYEISHA DEWITT', 'ALEX MILLER-COLE']",21168,SEAN SULLIVAN,NYEISHA DEWITT,ALEX MILLER-COLE
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD']",21169,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD
"['LARRY LIONEL YOUNG, JR.', 'LARRY LIONEL YOUNG, JR.', 'LARRY LIONEL YOUNG, JR.']",21170,"LARRY LIONEL YOUNG, JR.","LARRY LIONEL YOUNG, JR.","LARRY LIONEL YOUNG, JR."
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'SEAN SULLIVAN']",21171,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN
"['skipped', 'skipped', 'skipped']",21172,skipped,skipped,skipped
"['SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD']",21173,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21174,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT', 'ALEX MILLER-COLE']",21175,LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,ALEX MILLER-COLE
"['LARRY LIONEL YOUNG, JR.', 'LYNETTE GIBSON-MCELHANEY', 'NYEISHA DEWITT']",21176,"LARRY LIONEL YOUNG, JR.",LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT
"['LYNETTE GIBSON-MCELHANEY', 'LYNETTE GIBSON-MCELHANEY', 'LYNETTE GIBSON-MCELHANEY']",21177,LYNETTE GIBSON-MCELHANEY,LYNETTE GIBSON-MCELHANEY,LYNETTE GIBSON-MCELHANEY
"['LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE', 'LARRY LIONEL YOUNG, JR.']",21178,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE,"LARRY LIONEL YOUNG, JR."
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'LARRY LIONEL YOUNG, JR.']",21179,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,"LARRY LIONEL YOUNG, JR."
"['LARRY LIONEL YOUNG, JR.', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21180,"LARRY LIONEL YOUNG, JR.",NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['NYEISHA DEWITT', 'NYEISHA DEWITT', 'NYEISHA DEWITT']",21181,NYEISHA DEWITT,NYEISHA DEWITT,NYEISHA DEWITT
"['skipped', 'skipped', 'skipped']",21182,skipped,skipped,skipped
"['NYEISHA DEWITT', 'DERRICK MUHAMMAD', 'ALEX MILLER-COLE']",21183,NYEISHA DEWITT,DERRICK MUHAMMAD,ALEX MILLER-COLE
