ranks,ballotID,rank1,rank2,rank3
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6527,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6528,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['skipped', 'skipped', 'skipped']",6529,skipped,skipped,skipped
"['BENJAMIN LANG', 'RICHARD FUENTES', 'JUMOKE HINTON HODGE']",6530,BENJAMIN LANG,RICHARD FUENTES,JUMOKE HINTON HODGE
"['skipped', 'skipped', 'skipped']",6531,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6532,skipped,skipped,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6533,RICHARD FUENTES,skipped,skipped
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6534,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6535,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6536,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'skipped']",6537,JUMOKE HINTON HODGE,RICHARD FUENTES,skipped
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6538,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['skipped', 'skipped', 'skipped']",6539,skipped,skipped,skipped
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6540,JUMOKE HINTON HODGE,skipped,skipped
"['skipped', 'skipped', 'skipped']",6541,skipped,skipped,skipped
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6542,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['BENJAMIN LANG', 'RICHARD FUENTES', 'JUMOKE HINTON HODGE']",6543,BENJAMIN LANG,RICHARD FUENTES,JUMOKE HINTON HODGE
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6544,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6545,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6546,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6547,JUMOKE HINTON HODGE,skipped,skipped
"['skipped', 'skipped', 'skipped']",6548,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6549,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6550,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6551,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6552,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6553,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6554,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6555,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6556,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6557,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6558,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6559,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6560,skipped,skipped,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6561,RICHARD FUENTES,skipped,skipped
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6562,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6563,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['RICHARD FUENTES', 'BENJAMIN LANG', 'skipped']",6564,RICHARD FUENTES,BENJAMIN LANG,skipped
