ranks,ballotID,rank1,rank2,rank3,rank4
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3827,Sarah A. Lucido,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3828,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3829,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'Larry Edwards', 'Mary Hall-Rayford']",3830,Mary Hall-Rayford,Larry Edwards,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped']",3831,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3832,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",3833,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3834,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'skipped', 'skipped']",3835,Larry Edwards,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3836,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3837,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford']",3838,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3839,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3840,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
