ranks,ballotID,rank1,rank2,rank3,rank4
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'skipped']",624,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",625,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['skipped', 'skipped', 'skipped', 'skipped']",626,skipped,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",627,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",628,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",629,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",630,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Harvey Curley', 'Harvey Curley', 'Harvey Curley']",631,Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",632,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",633,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",634,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",635,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",636,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['skipped', 'skipped', 'skipped', 'skipped']",637,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",638,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",639,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",640,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",641,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",642,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Harvey Curley', 'Mary Hall-Rayford', 'skipped', 'skipped']",643,Harvey Curley,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",644,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",645,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",646,Mary Hall-Rayford,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",647,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['skipped', 'skipped', 'skipped', 'skipped']",648,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",649,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",650,Sarah A. Lucido,skipped,skipped,skipped
"['Larry Edwards', 'Larry Edwards', 'Larry Edwards', 'Larry Edwards']",651,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",652,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",653,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",654,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",655,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",656,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",657,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",658,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",659,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",660,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Harvey Curley', 'Harvey Curley', 'Sarah A. Lucido']",661,Harvey Curley,Harvey Curley,Harvey Curley,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",662,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",663,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",664,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido']",665,Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",666,Sarah A. Lucido,skipped,skipped,skipped
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",667,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",668,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",669,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",670,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Harvey Curley', 'Harvey Curley', 'Harvey Curley']",671,Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",672,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",673,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",674,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",675,Sarah A. Lucido,skipped,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'skipped', 'skipped']",676,Larry Edwards,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",677,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",678,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",679,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",680,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",681,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",682,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",683,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",684,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",685,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",686,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",687,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'skipped', 'skipped']",688,Harvey Curley,Larry Edwards,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",689,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'skipped']",690,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",691,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",692,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",693,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",694,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",695,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",696,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",697,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['skipped', 'Harvey Curley', 'Harvey Curley', 'Harvey Curley']",698,skipped,Harvey Curley,Harvey Curley,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",699,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",700,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",701,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",702,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",703,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",704,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",705,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",706,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",707,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",708,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'skipped']",709,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",710,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'writein']",711,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,writein
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",712,Harvey Curley,skipped,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",713,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",714,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",715,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Harvey Curley', 'Harvey Curley', 'Harvey Curley', 'Harvey Curley']",716,Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
"['Harvey Curley', 'Harvey Curley', 'skipped', 'skipped']",717,Harvey Curley,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",718,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",719,Mary Hall-Rayford,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",720,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'skipped']",721,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",722,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",723,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",724,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",725,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",726,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Harvey Curley', 'Mary Hall-Rayford', 'skipped', 'skipped']",727,Harvey Curley,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",728,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['overvote', 'overvote', 'overvote', 'overvote']",729,overvote,overvote,overvote,overvote
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",730,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",731,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",732,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",733,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",734,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford']",735,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",736,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",737,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",738,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",739,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",740,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",741,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",742,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",743,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",744,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",745,Larry Edwards,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",746,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",747,Sarah A. Lucido,skipped,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",748,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",749,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",750,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'writein']",751,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,writein
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",752,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",753,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",754,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",755,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",756,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",757,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",758,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",759,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",760,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",761,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",762,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",763,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",764,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido']",765,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",766,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",767,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",768,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",769,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",770,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",771,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",772,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",773,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido']",774,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
"['skipped', 'skipped', 'skipped', 'skipped']",775,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",776,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",777,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'skipped', 'skipped']",778,Harvey Curley,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",779,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['skipped', 'skipped', 'skipped', 'skipped']",780,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'skipped']",781,Sarah A. Lucido,Larry Edwards,Harvey Curley,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",782,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford']",783,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",784,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",785,Sarah A. Lucido,skipped,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'skipped', 'skipped']",786,Larry Edwards,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'skipped', 'skipped']",787,Larry Edwards,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",788,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",789,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",790,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'skipped', 'skipped']",791,Harvey Curley,Larry Edwards,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'skipped', 'skipped']",792,Harvey Curley,Larry Edwards,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",793,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",794,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",795,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",796,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['skipped', 'skipped', 'skipped', 'skipped']",797,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",798,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",799,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
