ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18
72,writein,"Cheung, Leland","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
73,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
76,"Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
77,"Toomey, Jr., Timothy J.","Maher, David P.","Ward, Larry W.","Nelson, Matthew P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
78,"Cheung, Leland","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
79,"Simmons, E. Denise","Cheung, Leland","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,"Simmons, E. Denise","Reeves, Kenneth E.","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.",writein,writein,writein,writein,skipped,skipped
81,"Reeves, Kenneth E.",writein,"Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
83,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,"Toomey, Jr., Timothy J.","Moree, Gregg J.","Reeves, Kenneth E.","Pascual, Jamake","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,"Maher, David P.","Toomey, Jr., Timothy J.","Ward, Larry W.","vanBeuzekom, Minka Y.","Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
87,"Maher, David P.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.","Moree, Gregg J.","Davis, Henrietta",skipped,"Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
88,"Maher, David P.","Toomey, Jr., Timothy J.","Simmons, E. Denise",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
89,"Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.","Stohlman, Jr., Thomas J.","Ward, Larry W.",skipped,"Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
90,"Maher, David P.","Seidel, Sam","Simmons, E. Denise","vanBeuzekom, Minka Y.","Ward, Larry W.","Cheung, Leland","Davis, Henrietta",overvote,"Kelley, Craig A.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.",skipped,skipped,skipped,skipped,skipped
91,"Kelley, Craig A.","Stohlman, Jr., Thomas J.","Nelson, Matthew P.","Mello, Gary W.","Pascual, Jamake","vanBeuzekom, Minka Y.","Williamson, James M.","Maher, David P.","Cheung, Leland","Toomey, Jr., Timothy J.","Marquardt, Charles J.",writein,writein,writein,writein,writein,writein,writein
92,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
93,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
94,"Ward, Larry W.","Maher, David P.","Toomey, Jr., Timothy J.","Cheung, Leland","Mello, Gary W.","Reeves, Kenneth E.",writein,"Seidel, Sam","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Maher, David P.","Toomey, Jr., Timothy J.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,"Marquardt, Charles J.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
97,"Cheung, Leland","Maher, David P.","Simmons, E. Denise","Pascual, Jamake","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
98,"Maher, David P.","Toomey, Jr., Timothy J.","Ward, Larry W.","Marquardt, Charles J.","Seidel, Sam","Cheung, Leland","Reeves, Kenneth E.","Mello, Gary W.","Nelson, Matthew P.","Simmons, E. Denise",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
99,"Maher, David P.","Davis, Henrietta","Decker, Marjorie C.","Cheung, Leland","Toomey, Jr., Timothy J.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
100,"Maher, David P.","Toomey, Jr., Timothy J.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
101,"Cheung, Leland","Toomey, Jr., Timothy J.","Marquardt, Charles J.","Mello, Gary W.","Nelson, Matthew P.","Moree, Gregg J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
102,"Maher, David P.","Davis, Henrietta","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
103,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
105,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,"Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,"Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
109,"Maher, David P.","Decker, Marjorie C.","Cheung, Leland","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
110,"Maher, David P.","Decker, Marjorie C.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Mello, Gary W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
111,"Simmons, E. Denise","Maher, David P.","Moree, Gregg J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Cheung, Leland","Toomey, Jr., Timothy J.","Kelley, Craig A.",skipped,"Maher, David P.","Seidel, Sam","Reeves, Kenneth E.","Marquardt, Charles J.","Pascual, Jamake","Williamson, James M.","vanBeuzekom, Minka Y.","Ward, Larry W.","Stohlman, Jr., Thomas J.","Nelson, Matthew P.","Moree, Gregg J."
113,"Maher, David P.","Cheung, Leland","Simmons, E. Denise","Toomey, Jr., Timothy J.","Decker, Marjorie C.",overvote,"Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
114,"Ward, Larry W.","Simmons, E. Denise","Cheung, Leland","Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.","Seidel, Sam","Kelley, Craig A.","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
115,"Marquardt, Charles J.","Kelley, Craig A.","Cheung, Leland","Decker, Marjorie C.",writein,"Stohlman, Jr., Thomas J.","Davis, Henrietta","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
116,"Maher, David P.","Cheung, Leland","Toomey, Jr., Timothy J.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
117,"Toomey, Jr., Timothy J.","Maher, David P.","Marquardt, Charles J.","Nelson, Matthew P.","vanBeuzekom, Minka Y.","Williamson, James M.",skipped,"Mello, Gary W.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
118,"vanBeuzekom, Minka Y.","Davis, Henrietta","Seidel, Sam","Nelson, Matthew P.","Ward, Larry W.","Decker, Marjorie C.","Stohlman, Jr., Thomas J.","Cheung, Leland","Mello, Gary W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
119,"Kelley, Craig A.","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
120,"Nelson, Matthew P.","Maher, David P.","Toomey, Jr., Timothy J.","Kelley, Craig A.","Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
121,"Simmons, E. Denise","Pascual, Jamake","vanBeuzekom, Minka Y.","Davis, Henrietta","Cheung, Leland","Marquardt, Charles J.","Ward, Larry W.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
122,"Maher, David P.","Seidel, Sam","Simmons, E. Denise","Toomey, Jr., Timothy J.","Davis, Henrietta","vanBeuzekom, Minka Y.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
123,"Maher, David P.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
