ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8
59,writein,writein,writein,writein,skipped,skipped,skipped,skipped
60,"Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.","Fantini, Alfred B.","Craig, Christopher","Walser, Nancy",skipped,skipped
61,"Walser, Nancy","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
62,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
63,"Grassi, Joseph G.","Harding, Richard, Jr.","Walser, Nancy","Fantini, Alfred B.","Price, Alan C.",skipped,skipped,skipped
64,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
65,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
66,overvote,"Craig, Christopher",overvote,overvote,skipped,skipped,skipped,skipped
67,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
68,"Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher",writein,skipped,skipped,skipped,skipped
69,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
70,"Grassi, Joseph G.",writein,skipped,skipped,skipped,skipped,skipped,skipped
71,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
72,"Fantini, Alfred B.",writein,skipped,skipped,skipped,skipped,skipped,skipped
73,"Grassi, Joseph G.","McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Fantini, Alfred B.","Craig, Christopher",writein,writein
74,"Harding, Richard, Jr.","Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher",writein,skipped,skipped,skipped
75,"Grassi, Joseph G.","McGovern, Marc C.","Fantini, Alfred B.",writein,writein,writein,writein,writein
76,writein,"Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
77,writein,"Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
78,writein,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
79,writein,"Craig, Christopher","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
80,writein,"Harding, Richard, Jr.","Price, Alan C.","Lummis, Ben",skipped,skipped,skipped,skipped
81,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
83,"Price, Alan C.","Craig, Christopher","Grassi, Joseph G.","Lummis, Ben",writein,writein,writein,writein
84,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,"Harding, Richard, Jr.","Fantini, Alfred B.",writein,skipped,skipped,skipped,skipped,skipped
86,"McGovern, Marc C.","Price, Alan C.","Lummis, Ben","Harding, Richard, Jr.",writein,skipped,skipped,skipped
87,"Walser, Nancy","Harding, Richard, Jr.","Lummis, Ben",writein,skipped,skipped,skipped,skipped
88,"McGovern, Marc C.","Lummis, Ben",writein,"Craig, Christopher","Harding, Richard, Jr.",skipped,skipped,skipped
89,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Craig, Christopher",writein,writein,skipped,skipped
90,"Harding, Richard, Jr.","Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Grassi, Joseph G.",writein,skipped
91,"Fantini, Alfred B.","Price, Alan C.","Walser, Nancy","Grassi, Joseph G.",writein,writein,skipped,skipped
92,writein,"Walser, Nancy","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G."
93,writein,"Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.","Craig, Christopher","Price, Alan C.",skipped
94,"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
96,"Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.",skipped,skipped
97,"Price, Alan C.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
98,"McGovern, Marc C.","Craig, Christopher","Lummis, Ben",writein,skipped,skipped,skipped,skipped
99,"Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.",writein,skipped,skipped,skipped,skipped
100,"Walser, Nancy",writein,skipped,skipped,skipped,skipped,skipped,skipped
101,"Harding, Richard, Jr.",writein,"Grassi, Joseph G.","Walser, Nancy","Lummis, Ben","Fantini, Alfred B.","McGovern, Marc C.","Price, Alan C."
102,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
103,overvote,skipped,overvote,overvote,skipped,skipped,skipped,skipped
104,"Lummis, Ben","McGovern, Marc C.","Grassi, Joseph G.","Fantini, Alfred B.","Walser, Nancy",skipped,skipped,skipped
105,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,writein,"Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.","Craig, Christopher",skipped
109,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
110,overvote,overvote,overvote,skipped,skipped,skipped,skipped,skipped
111,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,overvote,writein,writein,skipped,skipped,skipped,skipped,skipped
113,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
114,"Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
115,"McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
116,"Harding, Richard, Jr.","Grassi, Joseph G.",writein,writein,writein,writein,skipped,skipped
117,"Harding, Richard, Jr.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Lummis, Ben","Price, Alan C.","Walser, Nancy",writein
118,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
119,"Price, Alan C.","Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
120,"Price, Alan C.","Walser, Nancy",writein,skipped,skipped,skipped,skipped,skipped
121,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
122,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
123,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
124,writein,"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher","McGovern, Marc C."
125,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
126,writein,writein,writein,writein,skipped,skipped,skipped,skipped
127,writein,writein,writein,skipped,skipped,skipped,skipped,skipped
128,writein,writein,writein,writein,skipped,skipped,skipped,skipped
129,writein,"Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped
130,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
131,"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
132,"Grassi, Joseph G.","Harding, Richard, Jr.",writein,skipped,skipped,skipped,skipped,skipped
133,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped
134,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",writein,skipped,skipped
135,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","McGovern, Marc C.","Craig, Christopher","Lummis, Ben"
136,"Grassi, Joseph G.","Fantini, Alfred B.","Lummis, Ben","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped
137,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
138,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped
139,"Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
140,"Walser, Nancy","Price, Alan C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Craig, Christopher","Lummis, Ben","McGovern, Marc C."
141,"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped
142,"Fantini, Alfred B.","Harding, Richard, Jr.","Grassi, Joseph G.","Craig, Christopher",skipped,skipped,skipped,skipped
143,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
144,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
145,"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
146,"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
147,"Lummis, Ben","McGovern, Marc C.","Craig, Christopher","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B."
148,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
149,"Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G."
150,"Fantini, Alfred B.","Harding, Richard, Jr.",writein,skipped,skipped,skipped,skipped,skipped
151,"McGovern, Marc C.","Harding, Richard, Jr.",writein,writein,skipped,skipped,skipped,skipped
152,"Craig, Christopher","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped
153,"Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Lummis, Ben","McGovern, Marc C.","Craig, Christopher"
154,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped
155,"Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Price, Alan C.","Walser, Nancy","McGovern, Marc C.","Craig, Christopher"
156,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
157,"Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.",writein,writein,writein,writein,writein
158,"Fantini, Alfred B.","Grassi, Joseph G.","Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped
159,writein,"Lummis, Ben","Walser, Nancy","Craig, Christopher","McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.",skipped
160,writein,writein,writein,writein,skipped,skipped,skipped,skipped
161,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
162,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
163,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
164,overvote,skipped,skipped,writein,skipped,skipped,skipped,skipped
165,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
166,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
167,"Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
168,"Grassi, Joseph G.","Price, Alan C.","Craig, Christopher","Walser, Nancy","Harding, Richard, Jr.","Fantini, Alfred B.",skipped,skipped
169,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
170,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
171,"Craig, Christopher","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
172,"Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped
173,"Lummis, Ben","McGovern, Marc C.","Craig, Christopher","Price, Alan C.",skipped,skipped,skipped,skipped
174,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
175,"Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped
176,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","Craig, Christopher",skipped,skipped,skipped
177,"Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.",writein,"Price, Alan C.","Craig, Christopher",skipped
178,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped
179,"Lummis, Ben","McGovern, Marc C.","Craig, Christopher",writein,writein,writein,writein,writein
180,"Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
181,"Walser, Nancy","Price, Alan C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
182,writein,writein,writein,skipped,skipped,skipped,skipped,skipped
183,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
184,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
185,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
186,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
187,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
188,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
189,"Harding, Richard, Jr.","Craig, Christopher","McGovern, Marc C.",writein,skipped,skipped,skipped,skipped
190,"Harding, Richard, Jr.",writein,skipped,skipped,skipped,skipped,skipped,skipped
191,"Harding, Richard, Jr.","Walser, Nancy",writein,skipped,skipped,skipped,skipped,skipped
192,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
193,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",writein,"Lummis, Ben"
194,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
195,writein,"Walser, Nancy","Lummis, Ben","Craig, Christopher","McGovern, Marc C.",skipped,skipped,skipped
196,writein,"Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
197,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
198,overvote,"Lummis, Ben","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped,skipped
199,"Harding, Richard, Jr.","McGovern, Marc C.","Grassi, Joseph G.",writein,skipped,skipped,skipped,skipped
200,"McGovern, Marc C.","Craig, Christopher","Lummis, Ben","Harding, Richard, Jr.",writein,skipped,skipped,skipped
201,"Price, Alan C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
202,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
203,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
204,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
205,"McGovern, Marc C.","Lummis, Ben","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
206,writein,writein,writein,writein,skipped,skipped,skipped,skipped
207,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
208,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
209,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
210,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
211,"Fantini, Alfred B.",writein,skipped,skipped,skipped,skipped,skipped,skipped
212,"McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.","Craig, Christopher",writein,skipped,skipped
213,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
214,"Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
215,"Lummis, Ben","McGovern, Marc C.",writein,writein,writein,skipped,skipped,skipped
216,"Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
217,"McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
218,"Lummis, Ben","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,skipped
219,overvote,"Lummis, Ben","Price, Alan C.","Craig, Christopher","Grassi, Joseph G.",writein,"Harding, Richard, Jr.",writein
220,"Grassi, Joseph G.","Harding, Richard, Jr.","Walser, Nancy","Price, Alan C.",writein,writein,skipped,skipped
221,"McGovern, Marc C.","Walser, Nancy",writein,"Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped
222,"Craig, Christopher","Walser, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
223,"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
224,"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Price, Alan C.","Fantini, Alfred B.",writein,skipped,skipped
225,"McGovern, Marc C.","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
226,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
227,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
228,writein,writein,writein,skipped,skipped,skipped,skipped,skipped
229,"Walser, Nancy","Craig, Christopher","Fantini, Alfred B.","Harding, Richard, Jr.","Lummis, Ben","Price, Alan C.",writein,skipped
230,"Harding, Richard, Jr.","Lummis, Ben",writein,skipped,skipped,skipped,skipped,skipped
231,"Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
232,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben",writein,writein,skipped,skipped
233,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
234,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
235,"McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.","Fantini, Alfred B.",writein,skipped,skipped,skipped
236,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
237,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
238,"Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
239,"McGovern, Marc C.","Lummis, Ben",writein,writein,skipped,skipped,skipped,skipped
240,"Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,writein
241,"Walser, Nancy","Grassi, Joseph G.","McGovern, Marc C.",writein,"Craig, Christopher",skipped,skipped,skipped
242,"Fantini, Alfred B.","McGovern, Marc C.",writein,skipped,skipped,skipped,skipped,skipped
243,"McGovern, Marc C.","Price, Alan C.","Craig, Christopher","Harding, Richard, Jr.","Lummis, Ben",writein,writein,writein
244,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped
245,"McGovern, Marc C.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped
246,"McGovern, Marc C.","Lummis, Ben","Craig, Christopher","Harding, Richard, Jr.","Price, Alan C.",writein,writein,skipped
247,"Fantini, Alfred B.","Grassi, Joseph G.",writein,"Lummis, Ben",skipped,skipped,skipped,skipped
248,"Fantini, Alfred B.","Walser, Nancy","Price, Alan C.","McGovern, Marc C.",skipped,skipped,skipped,skipped
249,overvote,writein,writein,skipped,skipped,skipped,skipped,skipped
250,"Walser, Nancy",writein,skipped,skipped,skipped,skipped,skipped,skipped
251,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
252,"Grassi, Joseph G.",writein,skipped,skipped,skipped,skipped,skipped,skipped
253,"McGovern, Marc C.","Lummis, Ben","Price, Alan C.","Harding, Richard, Jr.",writein,skipped,skipped,skipped
254,"Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","McGovern, Marc C.","Lummis, Ben",writein,skipped,skipped
255,"Walser, Nancy",writein,"McGovern, Marc C.","Lummis, Ben","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G."
256,"Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.",writein,skipped,skipped,skipped,skipped
257,"Fantini, Alfred B.","Lummis, Ben",writein,writein,writein,writein,writein,writein
258,"Fantini, Alfred B.","Lummis, Ben",writein,writein,writein,writein,writein,writein
259,"Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped
260,"Walser, Nancy","Fantini, Alfred B.","Lummis, Ben","Price, Alan C.",skipped,"Grassi, Joseph G.",skipped,skipped
261,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
262,"Craig, Christopher","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
263,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","Craig, Christopher",writein,writein
264,"Price, Alan C.","Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped
265,"Walser, Nancy","Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","Craig, Christopher","McGovern, Marc C.","Price, Alan C."
266,"Harding, Richard, Jr.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
267,"Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Craig, Christopher",skipped,skipped
268,writein,writein,writein,writein,writein,writein,skipped,skipped
269,writein,writein,skipped,skipped,skipped,skipped,skipped,skipped
270,writein,"Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Walser, Nancy","Price, Alan C.","McGovern, Marc C.","Craig, Christopher"
271,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
