ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['Peter N. Ives', 'Alan Webber', 'Kate I. Noble', 'skipped', 'skipped']",52,Peter N. Ives,Alan Webber,Kate I. Noble,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Kate I. Noble', 'Peter N. Ives', 'skipped']",53,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,skipped
"['Kate I. Noble', 'Joseph M. Maestas', 'Alan Webber', 'Peter N. Ives', 'Ronald S. Trujillo']",54,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",55,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Peter N. Ives', 'Kate I. Noble', 'Ronald S. Trujillo', 'Alan Webber', 'Joseph M. Maestas']",56,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo,Alan Webber,Joseph M. Maestas
"['Kate I. Noble', 'Joseph M. Maestas', 'Alan Webber', 'Peter N. Ives', 'Ronald S. Trujillo']",57,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Ronald S. Trujillo', 'skipped', 'skipped', 'skipped']",58,Alan Webber,Ronald S. Trujillo,skipped,skipped,skipped
"['Alan Webber', 'Peter N. Ives', 'Kate I. Noble', 'Ronald S. Trujillo', 'Joseph M. Maestas']",59,Alan Webber,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas
"['Kate I. Noble', 'Peter N. Ives', 'Alan Webber', 'Joseph M. Maestas', 'Ronald S. Trujillo']",60,Kate I. Noble,Peter N. Ives,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'skipped']",61,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,skipped
"['Alan Webber', 'Peter N. Ives', 'Kate I. Noble', 'Joseph M. Maestas', 'Ronald S. Trujillo']",62,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'skipped', 'skipped', 'skipped']",63,Alan Webber,Kate I. Noble,skipped,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo', 'Kate I. Noble']",64,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Kate I. Noble
"['Ronald S. Trujillo', 'Peter N. Ives', 'Kate I. Noble', 'Joseph M. Maestas', 'Alan Webber']",65,Ronald S. Trujillo,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,Alan Webber
"['Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo', 'Kate I. Noble']",66,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",67,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Ronald S. Trujillo', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives']",68,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Joseph M. Maestas,Peter N. Ives
"['Kate I. Noble', 'Joseph M. Maestas', 'Alan Webber', 'Ronald S. Trujillo', 'Peter N. Ives']",69,Kate I. Noble,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo,Peter N. Ives
"['Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'skipped', 'skipped']",70,Alan Webber,Peter N. Ives,Joseph M. Maestas,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Ronald S. Trujillo', 'skipped', 'skipped']",71,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,skipped,skipped
"['Ronald S. Trujillo', 'Peter N. Ives', 'skipped', 'skipped', 'skipped']",72,Ronald S. Trujillo,Peter N. Ives,skipped,skipped,skipped
"['Joseph M. Maestas', 'Ronald S. Trujillo', 'Peter N. Ives', 'Alan Webber', 'Kate I. Noble']",73,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives,Alan Webber,Kate I. Noble
"['Joseph M. Maestas', 'Kate I. Noble', 'Alan Webber', 'Ronald S. Trujillo', 'Peter N. Ives']",74,Joseph M. Maestas,Kate I. Noble,Alan Webber,Ronald S. Trujillo,Peter N. Ives
"['Kate I. Noble', 'Alan Webber', 'Ronald S. Trujillo', 'skipped', 'skipped']",75,Kate I. Noble,Alan Webber,Ronald S. Trujillo,skipped,skipped
"['Kate I. Noble', 'Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",76,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'skipped']",77,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,skipped
"['Kate I. Noble', 'Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'skipped']",78,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,skipped
"['Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo', 'skipped']",79,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,skipped
"['Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Kate I. Noble', 'Ronald S. Trujillo']",80,Alan Webber,Peter N. Ives,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'skipped', 'skipped']",81,Alan Webber,Kate I. Noble,Joseph M. Maestas,skipped,skipped
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'skipped', 'skipped']",82,Alan Webber,Kate I. Noble,Joseph M. Maestas,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Kate I. Noble', 'Ronald S. Trujillo']",83,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",84,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Ronald S. Trujillo', 'Joseph M. Maestas', 'Alan Webber', 'Peter N. Ives', 'Kate I. Noble']",85,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber,Peter N. Ives,Kate I. Noble
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",86,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Kate I. Noble', 'Alan Webber', 'Peter N. Ives', 'skipped', 'skipped']",87,Kate I. Noble,Alan Webber,Peter N. Ives,skipped,skipped
"['Alan Webber', 'Kate I. Noble', 'Ronald S. Trujillo', 'Joseph M. Maestas', 'Peter N. Ives']",88,Alan Webber,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives
"['Peter N. Ives', 'Kate I. Noble', 'skipped', 'skipped', 'skipped']",89,Peter N. Ives,Kate I. Noble,skipped,skipped,skipped
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",90,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Ronald S. Trujillo', 'Alan Webber', 'skipped', 'skipped', 'skipped']",91,Ronald S. Trujillo,Alan Webber,skipped,skipped,skipped
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",92,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Kate I. Noble', 'Ronald S. Trujillo']",93,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo
"['Ronald S. Trujillo', 'Joseph M. Maestas', 'Peter N. Ives', 'Kate I. Noble', 'Alan Webber']",94,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Alan Webber
"['Kate I. Noble', 'Joseph M. Maestas', 'Alan Webber', 'Peter N. Ives', 'skipped']",95,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,skipped
"['Kate I. Noble', 'Alan Webber', 'Peter N. Ives', 'skipped', 'skipped']",96,Kate I. Noble,Alan Webber,Peter N. Ives,skipped,skipped
"['Ronald S. Trujillo', 'Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'Joseph M. Maestas']",97,Ronald S. Trujillo,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas
"['Joseph M. Maestas', 'Alan Webber', 'skipped', 'skipped', 'skipped']",98,Joseph M. Maestas,Alan Webber,skipped,skipped,skipped
"['Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Kate I. Noble', 'Ronald S. Trujillo']",99,Alan Webber,Peter N. Ives,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'skipped']",100,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,skipped
"['Joseph M. Maestas', 'Alan Webber', 'Peter N. Ives', 'Ronald S. Trujillo', 'Kate I. Noble']",101,Joseph M. Maestas,Alan Webber,Peter N. Ives,Ronald S. Trujillo,Kate I. Noble
"['Alan Webber', 'Joseph M. Maestas', 'Kate I. Noble', 'skipped', 'skipped']",102,Alan Webber,Joseph M. Maestas,Kate I. Noble,skipped,skipped
"['Ronald S. Trujillo', 'Peter N. Ives', 'Joseph M. Maestas', 'skipped', 'skipped']",103,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo', 'Kate I. Noble']",104,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Kate I. Noble
"['Alan Webber', 'Peter N. Ives', 'Kate I. Noble', 'Joseph M. Maestas', 'Ronald S. Trujillo']",105,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo', 'Kate I. Noble']",106,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble
"['Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'skipped', 'skipped']",107,Alan Webber,Kate I. Noble,Peter N. Ives,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Kate I. Noble', 'Peter N. Ives', 'Ronald S. Trujillo']",108,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'skipped', 'skipped', 'skipped']",109,Alan Webber,Kate I. Noble,skipped,skipped,skipped
"['Kate I. Noble', 'Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",110,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'skipped', 'skipped', 'skipped']",111,Alan Webber,Kate I. Noble,skipped,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Kate I. Noble', 'Ronald S. Trujillo']",112,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo
"['Kate I. Noble', 'Alan Webber', 'skipped', 'skipped', 'skipped']",113,Kate I. Noble,Alan Webber,skipped,skipped,skipped
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",114,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Joseph M. Maestas', 'Ronald S. Trujillo', 'Kate I. Noble', 'Peter N. Ives']",115,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble,Peter N. Ives
"['Joseph M. Maestas', 'Kate I. Noble', 'Peter N. Ives', 'skipped', 'skipped']",116,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,skipped,skipped
"['Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",117,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'Ronald S. Trujillo', 'Peter N. Ives']",118,Kate I. Noble,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo', 'Kate I. Noble']",119,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Kate I. Noble
"['Peter N. Ives', 'Kate I. Noble', 'Alan Webber', 'Ronald S. Trujillo', 'Joseph M. Maestas']",120,Peter N. Ives,Kate I. Noble,Alan Webber,Ronald S. Trujillo,Joseph M. Maestas
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'skipped']",121,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,skipped
"['Alan Webber', 'Peter N. Ives', 'skipped', 'skipped', 'skipped']",122,Alan Webber,Peter N. Ives,skipped,skipped,skipped
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Kate I. Noble', 'Ronald S. Trujillo']",123,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo
"['Alan Webber', 'Joseph M. Maestas', 'Kate I. Noble', 'Ronald S. Trujillo', 'Peter N. Ives']",124,Alan Webber,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo,Peter N. Ives
"['Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",125,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",126,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'skipped']",127,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,skipped
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",128,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",129,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",130,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",131,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Ronald S. Trujillo', 'Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives']",132,Ronald S. Trujillo,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'Ronald S. Trujillo', 'Peter N. Ives']",133,Kate I. Noble,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
"['Alan Webber', 'Joseph M. Maestas', 'Kate I. Noble', 'Peter N. Ives', 'Ronald S. Trujillo']",134,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
"['Ronald S. Trujillo', 'Alan Webber', 'Peter N. Ives', 'Kate I. Noble', 'Joseph M. Maestas']",135,Ronald S. Trujillo,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",136,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",137,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Peter N. Ives', 'Ronald S. Trujillo', 'Joseph M. Maestas', 'Alan Webber', 'Kate I. Noble']",138,Peter N. Ives,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber,Kate I. Noble
"['Ronald S. Trujillo', 'Joseph M. Maestas', 'skipped', 'skipped', 'skipped']",139,Ronald S. Trujillo,Joseph M. Maestas,skipped,skipped,skipped
"['Alan Webber', 'Kate I. Noble', 'Joseph M. Maestas', 'Peter N. Ives', 'Ronald S. Trujillo']",140,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
"['Kate I. Noble', 'Alan Webber', 'Peter N. Ives', 'Joseph M. Maestas', 'Ronald S. Trujillo']",141,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
"['Alan Webber', 'Joseph M. Maestas', 'Peter N. Ives', 'Kate I. Noble', 'Ronald S. Trujillo']",142,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo
"['Alan Webber', 'Ronald S. Trujillo', 'Peter N. Ives', 'Joseph M. Maestas', 'Kate I. Noble']",143,Alan Webber,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas,Kate I. Noble
"['Ronald S. Trujillo', 'Joseph M. Maestas', 'Alan Webber', 'Peter N. Ives', 'Kate I. Noble']",144,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber,Peter N. Ives,Kate I. Noble
"['Kate I. Noble', 'Alan Webber', 'Joseph M. Maestas', 'skipped', 'skipped']",145,Kate I. Noble,Alan Webber,Joseph M. Maestas,skipped,skipped
"['Joseph M. Maestas', 'Alan Webber', 'Kate I. Noble', 'Peter N. Ives', 'Ronald S. Trujillo']",146,Joseph M. Maestas,Alan Webber,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
