ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['C04', 'C02', 'C03', 'skipped', 'skipped']",138,C04,C02,C03,skipped,skipped
"['C05', 'C04', 'C02', 'C03', 'C01']",139,C05,C04,C02,C03,C01
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",140,C04,skipped,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",141,C04,C03,skipped,skipped,skipped
"['C04', 'C03', 'C02', 'C05', 'C01']",142,C04,C03,C02,C05,C01
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",143,C02,skipped,skipped,skipped,skipped
"['C04', 'C01', 'C02', 'skipped', 'skipped']",144,C04,C01,C02,skipped,skipped
"['C03', 'C02', 'C04', 'skipped', 'skipped']",145,C03,C02,C04,skipped,skipped
"['C04', 'C01', 'C02', 'C03', 'skipped']",146,C04,C01,C02,C03,skipped
"['C02', 'C03', 'C04', 'C05', 'C06']",147,C02,C03,C04,C05,C06
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",148,C03,skipped,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",149,C03,C04,skipped,skipped,skipped
"['C02', 'C04', 'C06', 'skipped', 'skipped']",150,C02,C04,C06,skipped,skipped
"['C02', 'C06', 'C01', 'skipped', 'skipped']",151,C02,C06,C01,skipped,skipped
"['C02', 'C01', 'skipped', 'skipped', 'skipped']",152,C02,C01,skipped,skipped,skipped
"['C02', 'C01', 'skipped', 'skipped', 'skipped']",153,C02,C01,skipped,skipped,skipped
"['C02', 'C03', 'C04', 'skipped', 'skipped']",154,C02,C03,C04,skipped,skipped
"['C04', 'C02', 'skipped', 'skipped', 'skipped']",155,C04,C02,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'C05', 'C01']",156,C03,C04,C02,C05,C01
"['C02', 'C05', 'C01', 'C04', 'C03']",157,C02,C05,C01,C04,C03
"['C03', 'C02', 'C04', 'skipped', 'skipped']",158,C03,C02,C04,skipped,skipped
"['C04', 'C03', 'C01', 'skipped', 'skipped']",159,C04,C03,C01,skipped,skipped
"['C04', 'C02', 'C03', 'skipped', 'skipped']",160,C04,C02,C03,skipped,skipped
"['C04', 'C02', 'C03', 'C01', 'C05']",161,C04,C02,C03,C01,C05
"['C03', 'C04', 'C06', 'C02', 'C01']",162,C03,C04,C06,C02,C01
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",163,C04,C03,skipped,skipped,skipped
"['C04', 'C02', 'skipped', 'skipped', 'skipped']",164,C04,C02,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",165,C04,C03,skipped,skipped,skipped
"['C04', 'C02', 'skipped', 'skipped', 'skipped']",166,C04,C02,skipped,skipped,skipped
"['C03', 'C02', 'skipped', 'skipped', 'skipped']",167,C03,C02,skipped,skipped,skipped
"['C02', 'C03', 'C01', 'skipped', 'skipped']",168,C02,C03,C01,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",169,C04,skipped,skipped,skipped,skipped
"['C02', 'C01', 'skipped', 'skipped', 'skipped']",170,C02,C01,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",171,C03,skipped,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",172,C04,C03,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",173,C04,skipped,skipped,skipped,skipped
"['C03', 'C01', 'skipped', 'skipped', 'skipped']",174,C03,C01,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",175,C03,C04,skipped,skipped,skipped
"['C03', 'C05', 'skipped', 'skipped', 'skipped']",176,C03,C05,skipped,skipped,skipped
"['C03', 'C02', 'skipped', 'skipped', 'skipped']",177,C03,C02,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",178,C04,skipped,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'skipped', 'skipped']",179,C03,C04,C02,skipped,skipped
"['C03', 'C04', 'C05', 'C01', 'C02']",180,C03,C04,C05,C01,C02
"['C03', 'C02', 'C04', 'skipped', 'skipped']",181,C03,C02,C04,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",182,C04,skipped,skipped,skipped,skipped
"['C04', 'C02', 'C03', 'skipped', 'skipped']",183,C04,C02,C03,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",184,C04,skipped,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",185,C04,skipped,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",186,C04,skipped,skipped,skipped,skipped
"['C04', 'C02', 'C03', 'C01', 'C05']",187,C04,C02,C03,C01,C05
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",188,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",189,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'skipped', 'skipped']",190,C03,C04,C02,skipped,skipped
"['C03', 'C04', 'C05', 'C02', 'C01']",191,C03,C04,C05,C02,C01
"['C02', 'C01', 'C04', 'skipped', 'skipped']",192,C02,C01,C04,skipped,skipped
"['C03', 'C02', 'C04', 'skipped', 'skipped']",193,C03,C02,C04,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",194,C03,C04,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",195,C04,C03,skipped,skipped,skipped
"['C04', 'C01', 'C05', 'C03', 'C02']",196,C04,C01,C05,C03,C02
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",197,C03,C04,skipped,skipped,skipped
"['C02', 'C06', 'C05', 'C01', 'C04']",198,C02,C06,C05,C01,C04
"['C02', 'C04', 'skipped', 'skipped', 'skipped']",199,C02,C04,skipped,skipped,skipped
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",200,C02,skipped,skipped,skipped,skipped
"['C03', 'C02', 'C04', 'C01', 'C05']",201,C03,C02,C04,C01,C05
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",202,C02,skipped,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",203,C03,C04,skipped,skipped,skipped
"['C04', 'C02', 'skipped', 'skipped', 'skipped']",204,C04,C02,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'C01', 'C05']",205,C03,C04,C02,C01,C05
"['C03', 'C04', 'C02', 'C05', 'C01']",206,C03,C04,C02,C05,C01
"['C04', 'C02', 'C01', 'skipped', 'skipped']",207,C04,C02,C01,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",208,C04,C03,skipped,skipped,skipped
"['C03', 'C02', 'C04', 'C05', 'C01']",209,C03,C02,C04,C05,C01
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",210,C03,C04,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",211,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'C05', 'skipped', 'skipped']",212,C03,C04,C05,skipped,skipped
"['C03', 'C01', 'C05', 'C02', 'C04']",213,C03,C01,C05,C02,C04
"['C02', 'C04', 'C03', 'C05', 'C01']",214,C02,C04,C03,C05,C01
"['C04', 'C03', 'C05', 'C01', 'C02']",215,C04,C03,C05,C01,C02
"['C02', 'C06', 'C04', 'C03', 'C01']",216,C02,C06,C04,C03,C01
"['C04', 'C02', 'C03', 'skipped', 'skipped']",217,C04,C02,C03,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",218,C04,C03,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",219,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",220,C03,C04,skipped,skipped,skipped
"['C04', 'C03', 'C02', 'skipped', 'skipped']",221,C04,C03,C02,skipped,skipped
"['C02', 'C03', 'skipped', 'skipped', 'skipped']",222,C02,C03,skipped,skipped,skipped
"['C04', 'C05', 'C01', 'C02', 'C03']",223,C04,C05,C01,C02,C03
"['C01', 'C02', 'skipped', 'skipped', 'skipped']",224,C01,C02,skipped,skipped,skipped
"['C01', 'C02', 'skipped', 'skipped', 'skipped']",225,C01,C02,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",226,C03,C04,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",227,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",228,C03,C04,skipped,skipped,skipped
"['C06', 'C04', 'skipped', 'skipped', 'skipped']",229,C06,C04,skipped,skipped,skipped
"['C06', 'C04', 'skipped', 'skipped', 'skipped']",230,C06,C04,skipped,skipped,skipped
"['C03', 'C04', 'C05', 'skipped', 'skipped']",231,C03,C04,C05,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",232,C04,skipped,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",233,C04,skipped,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",234,C03,C04,skipped,skipped,skipped
"['C04', 'C03', 'C01', 'C05', 'C02']",235,C04,C03,C01,C05,C02
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",236,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",237,C03,C04,skipped,skipped,skipped
"['C04', 'C03', 'C05', 'C01', 'C02']",238,C04,C03,C05,C01,C02
"['C03', 'C04', 'C02', 'C05', 'C01']",239,C03,C04,C02,C05,C01
"['C03', 'C04', 'C02', 'C05', 'C01']",240,C03,C04,C02,C05,C01
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",241,C02,skipped,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",242,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",243,C03,C04,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",244,C03,skipped,skipped,skipped,skipped
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",245,C02,skipped,skipped,skipped,skipped
