ranks,ballotID,rank1,rank2,rank3
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'skipped']",335,Jeremiah Ellison,Raeisha (RA) Williams,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",336,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Blong Yang', 'Blong Yang', 'Blong Yang']",337,Blong Yang,Blong Yang,Blong Yang
"['Raeisha (RA) Williams', 'Jeremiah Ellison', 'Blong Yang']",338,Raeisha (RA) Williams,Jeremiah Ellison,Blong Yang
"['Blong Yang', 'Blong Yang', 'Blong Yang']",339,Blong Yang,Blong Yang,Blong Yang
"['Blong Yang', 'Jeremiah Ellison', 'Blong Yang']",340,Blong Yang,Jeremiah Ellison,Blong Yang
"['Blong Yang', 'Blong Yang', 'Blong Yang']",341,Blong Yang,Blong Yang,Blong Yang
"['Blong Yang', 'Cathy Spann', 'Jeremiah Ellison']",342,Blong Yang,Cathy Spann,Jeremiah Ellison
"['Jeremiah Ellison', 'skipped', 'skipped']",343,Jeremiah Ellison,skipped,skipped
"['Cathy Spann', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",344,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams
"['Raeisha (RA) Williams', 'Blong Yang', 'skipped']",345,Raeisha (RA) Williams,Blong Yang,skipped
"['Blong Yang', 'Cathy Spann', 'Raeisha (RA) Williams']",346,Blong Yang,Cathy Spann,Raeisha (RA) Williams
"['Raeisha (RA) Williams', 'Jeremiah Ellison', 'skipped']",347,Raeisha (RA) Williams,Jeremiah Ellison,skipped
"['Blong Yang', 'Jeremiah Ellison', 'Cathy Spann']",348,Blong Yang,Jeremiah Ellison,Cathy Spann
"['Blong Yang', 'skipped', 'Jeremiah Ellison']",349,Blong Yang,skipped,Jeremiah Ellison
"['Blong Yang', 'skipped', 'skipped']",350,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",351,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
