ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
2146,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2147,"Grassi, Joseph G.","Lemily Wiggins, Gail","Tauber, Nancy","Nolan, Patricia M.","Schuster, Luc","Harding, Richard, Jr.",skipped,skipped,skipped
2148,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2149,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2150,"Fantini, Alfred B.","Nolan, Patricia M.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
2151,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
2152,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2153,"Grassi, Joseph G.","Harding, Richard, Jr.","Nolan, Patricia M.","Schuster, Luc","Fantini, Alfred B.",skipped,skipped,skipped,skipped
2154,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2155,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
2156,"McGovern, Marc C.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Schuster, Luc","Grassi, Joseph G.","Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped
2157,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
2158,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2159,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2160,"Fantini, Alfred B.","Grassi, Joseph G.","Malner, Stefan","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
2161,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2162,skipped,skipped,skipped,"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
