ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16
52,"Davis, Henrietta","Murphy, Brian","Simmons, E. Denise","Maher, David P.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,"Decker, Marjorie C.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,"Murphy, Brian","Ward, Larry W.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,"Moree, Gregg J.","Moore, M. Kevin","Galluccio, Anthony D.","Seidel, Sam","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,"Galluccio, Anthony D.","Simmons, E. Denise","Decker, Marjorie C.","Davis, Henrietta","Moore, M. Kevin","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Kelley, Craig A.","Seidel, Sam","Murphy, Brian","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Seidel, Sam","Ward, Larry W.","Murphy, Brian","Kelley, Craig A.","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"Kelley, Craig A.","Seidel, Sam","Davis, Henrietta","Janik, Jonathan S.","Maher, David P.","Simmons, E. Denise","Murphy, Brian","Moore, M. Kevin","Decker, Marjorie C.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped
61,"Kelley, Craig A.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,"Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Seidel, Sam","Murphy, Brian","Davis, Henrietta","Janik, Jonathan S.","Ward, Larry W.","Toomey, Timothy J., Jr.","Simmons, E. Denise","Sullivan, Edward J.","Podgers, Kathy","Moore, M. Kevin","Moree, Gregg J.","Reeves, Kenneth E.","Galluccio, Anthony D."
63,"Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
64,"Kelley, Craig A.","Seidel, Sam","Toomey, Timothy J., Jr.","Murphy, Brian","Janik, Jonathan S.","Decker, Marjorie C.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,"Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,"Seidel, Sam","Galluccio, Anthony D.","Davis, Henrietta","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,"Decker, Marjorie C.","Murphy, Brian","Simmons, E. Denise","Maher, David P.","Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Toomey, Timothy J., Jr.","Janik, Jonathan S.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped
68,"Kelley, Craig A.","Murphy, Brian","Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Seidel, Sam","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,"Kelley, Craig A.","Seidel, Sam","Davis, Henrietta","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,"Davis, Henrietta","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,"Reeves, Kenneth E.","Simmons, E. Denise","Ward, Larry W.","Davis, Henrietta","Decker, Marjorie C.","Moore, M. Kevin","Galluccio, Anthony D.","Kelley, Craig A.","Maher, David P.","Murphy, Brian","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped
72,"Simmons, E. Denise","Kelley, Craig A.","Ward, Larry W.","Decker, Marjorie C.","Murphy, Brian","Seidel, Sam","Davis, Henrietta","Janik, Jonathan S.","Reeves, Kenneth E.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped
73,"Seidel, Sam","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,"Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,"Janik, Jonathan S.","Murphy, Brian","Reeves, Kenneth E.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
76,"Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise","Decker, Marjorie C.","Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
77,"Kelley, Craig A.","Simmons, E. Denise","Davis, Henrietta","Ward, Larry W.","Podgers, Kathy","Seidel, Sam","Decker, Marjorie C.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
78,"Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Murphy, Brian","Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Toomey, Timothy J., Jr.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped
79,"Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,"Toomey, Timothy J., Jr.","Seidel, Sam","Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Janik, Jonathan S.","Simmons, E. Denise","Ward, Larry W.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
81,"Murphy, Brian","Kelley, Craig A.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,"Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Maher, David P.","Podgers, Kathy","Reeves, Kenneth E.","Sullivan, Edward J.","Davis, Henrietta","Seidel, Sam","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped
83,"Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,"Maher, David P.","Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.","Reeves, Kenneth E.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,"Maher, David P.","Sullivan, Edward J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,"Simmons, E. Denise","Decker, Marjorie C.","Kelley, Craig A.","Ward, Larry W.","Murphy, Brian","Seidel, Sam","Davis, Henrietta","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
87,"Murphy, Brian","Davis, Henrietta","Ward, Larry W.","Kelley, Craig A.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Janik, Jonathan S.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped
88,"Decker, Marjorie C.","Davis, Henrietta","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
