ranks,ballotID,rank1,rank2,rank3
"['STEPHEN H. CASSIDY', 'STEPHEN H. CASSIDY', 'STEPHEN H. CASSIDY']",22735,STEPHEN H. CASSIDY,STEPHEN H. CASSIDY,STEPHEN H. CASSIDY
"['STEPHEN H. CASSIDY', 'SARA M. MESTAS', 'JOYCE RUTLEDGE STAROSCIAK']",22736,STEPHEN H. CASSIDY,SARA M. MESTAS,JOYCE RUTLEDGE STAROSCIAK
"['SARA M. MESTAS', 'JOYCE RUTLEDGE STAROSCIAK', ""ANTHONY B. ''TONY'' SANTOS""]",22737,SARA M. MESTAS,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS
"[""ANTHONY B. ''TONY'' SANTOS"", 'STEPHEN H. CASSIDY', 'SARA M. MESTAS']",22738,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,SARA M. MESTAS
"['STEPHEN H. CASSIDY', 'JOYCE RUTLEDGE STAROSCIAK', 'SARA M. MESTAS']",22739,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS
"[""ANTHONY B. ''TONY'' SANTOS"", 'JOHN R. PALAU', 'SARA M. MESTAS']",22740,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,SARA M. MESTAS
"['STEPHEN H. CASSIDY', 'skipped', 'skipped']",22741,STEPHEN H. CASSIDY,skipped,skipped
"['STEPHEN H. CASSIDY', 'JOHN R. PALAU', ""ANTHONY B. ''TONY'' SANTOS""]",22742,STEPHEN H. CASSIDY,JOHN R. PALAU,ANTHONY B. ''TONY'' SANTOS
"['JOYCE RUTLEDGE STAROSCIAK', 'STEPHEN H. CASSIDY', ""ANTHONY B. ''TONY'' SANTOS""]",22743,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS
"['JOYCE RUTLEDGE STAROSCIAK', 'skipped', 'skipped']",22744,JOYCE RUTLEDGE STAROSCIAK,skipped,skipped
"[""ANTHONY B. ''TONY'' SANTOS"", 'JOYCE RUTLEDGE STAROSCIAK', 'writein']",22745,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,writein
"['STEPHEN H. CASSIDY', ""ANTHONY B. ''TONY'' SANTOS"", 'JOYCE RUTLEDGE STAROSCIAK']",22746,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK
"[""ANTHONY B. ''TONY'' SANTOS"", 'skipped', 'skipped']",22747,ANTHONY B. ''TONY'' SANTOS,skipped,skipped
"['JOYCE RUTLEDGE STAROSCIAK', 'STEPHEN H. CASSIDY', 'JOHN R. PALAU']",22748,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,JOHN R. PALAU
"['JOYCE RUTLEDGE STAROSCIAK', 'SARA M. MESTAS', 'JOHN R. PALAU']",22749,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,JOHN R. PALAU
"['JOYCE RUTLEDGE STAROSCIAK', 'STEPHEN H. CASSIDY', 'SARA M. MESTAS']",22750,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,SARA M. MESTAS
"['STEPHEN H. CASSIDY', 'STEPHEN H. CASSIDY', 'STEPHEN H. CASSIDY']",22751,STEPHEN H. CASSIDY,STEPHEN H. CASSIDY,STEPHEN H. CASSIDY
"['SARA M. MESTAS', 'JOHN R. PALAU', 'writein']",22752,SARA M. MESTAS,JOHN R. PALAU,writein
"['STEPHEN H. CASSIDY', ""ANTHONY B. ''TONY'' SANTOS"", 'JOHN R. PALAU']",22753,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU
"['JOYCE RUTLEDGE STAROSCIAK', ""ANTHONY B. ''TONY'' SANTOS"", 'SARA M. MESTAS']",22754,JOYCE RUTLEDGE STAROSCIAK,ANTHONY B. ''TONY'' SANTOS,SARA M. MESTAS
"['SARA M. MESTAS', 'JOYCE RUTLEDGE STAROSCIAK', 'JOYCE RUTLEDGE STAROSCIAK']",22755,SARA M. MESTAS,JOYCE RUTLEDGE STAROSCIAK,JOYCE RUTLEDGE STAROSCIAK
"['JOYCE RUTLEDGE STAROSCIAK', 'SARA M. MESTAS', 'STEPHEN H. CASSIDY']",22756,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS,STEPHEN H. CASSIDY
"['STEPHEN H. CASSIDY', 'JOHN R. PALAU', 'SARA M. MESTAS']",22757,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS
"['STEPHEN H. CASSIDY', ""ANTHONY B. ''TONY'' SANTOS"", 'JOYCE RUTLEDGE STAROSCIAK']",22758,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK
"['JOYCE RUTLEDGE STAROSCIAK', 'JOHN R. PALAU', ""ANTHONY B. ''TONY'' SANTOS""]",22759,JOYCE RUTLEDGE STAROSCIAK,JOHN R. PALAU,ANTHONY B. ''TONY'' SANTOS
"[""ANTHONY B. ''TONY'' SANTOS"", 'STEPHEN H. CASSIDY', 'JOYCE RUTLEDGE STAROSCIAK']",22760,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK
"[""ANTHONY B. ''TONY'' SANTOS"", 'JOYCE RUTLEDGE STAROSCIAK', 'STEPHEN H. CASSIDY']",22761,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY
