ranks,ballotID,rank1,rank2,rank3
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",34721,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['BEN MATRANGA', 'JOEL ENGARDIO', 'skipped']",34722,BEN MATRANGA,JOEL ENGARDIO,skipped
"['JOHN FARRELL', 'NORMAN YEE', 'JOEL ENGARDIO']",34723,JOHN FARRELL,NORMAN YEE,JOEL ENGARDIO
"['NORMAN YEE', 'MIKE YOUNG', 'JOHN FARRELL']",34724,NORMAN YEE,MIKE YOUNG,JOHN FARRELL
"['JOEL ENGARDIO', 'BEN MATRANGA', 'MIKE YOUNG']",34725,JOEL ENGARDIO,BEN MATRANGA,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",34726,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'MIKE YOUNG', 'JOHN FARRELL']",34727,BEN MATRANGA,MIKE YOUNG,JOHN FARRELL
"['BEN MATRANGA', 'JOEL ENGARDIO', 'skipped']",34728,BEN MATRANGA,JOEL ENGARDIO,skipped
"['NORMAN YEE', 'JOEL ENGARDIO', 'BEN MATRANGA']",34729,NORMAN YEE,JOEL ENGARDIO,BEN MATRANGA
"['MIKE YOUNG', 'JOEL ENGARDIO', 'BEN MATRANGA']",34730,MIKE YOUNG,JOEL ENGARDIO,BEN MATRANGA
"['BEN MATRANGA', 'JOEL ENGARDIO', 'MIKE YOUNG']",34731,BEN MATRANGA,JOEL ENGARDIO,MIKE YOUNG
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",34732,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['JOEL ENGARDIO', 'BEN MATRANGA', 'skipped']",34733,JOEL ENGARDIO,BEN MATRANGA,skipped
"['BEN MATRANGA', 'JOEL ENGARDIO', 'JOHN FARRELL']",34734,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL
"['BEN MATRANGA', 'JOEL ENGARDIO', 'JOHN FARRELL']",34735,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL
"['NORMAN YEE', 'skipped', 'skipped']",34736,NORMAN YEE,skipped,skipped
