ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18
11,"Simmons, Denise","Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
12,"Gordon, Jesse A.","Simmons, Denise","Seidel, Sam","Hall, Robert Lee, Sr.","Galluccio, Anthony D.","Adkins, Lawrence J.","Green, Andre Lerone","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Condit, James E., III",skipped,skipped,skipped,skipped
13,"Seidel, Sam","Galluccio, Anthony D.","Decker, Marjorie C.","Davis, Henrietta","Sullivan, Michael A.","Simmons, Denise","Toomey, Timothy J., Jr.","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
14,"Davis, Henrietta","Decker, Marjorie C.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
15,"Galluccio, Anthony D.","Kelley, Craig A.","Davis, Henrietta","Toomey, Timothy J., Jr.","Simmons, Denise","Decker, Marjorie C.","Gordon, Jesse A.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
16,"Davis, Henrietta","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,"Decker, Marjorie C.","Galluccio, Anthony D.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,"Seidel, Sam","Simmons, Denise","Davis, Henrietta","Decker, Marjorie C.","Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
19,"Hall, Robert Lee, Sr.","Hees, Bill","Reeves, Kenneth E.","Condit, James E., III","Decker, Marjorie C.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
20,"Sullivan, Michael A.","Gordon, Jesse A.","Kelley, Craig A.","Murphy, Brian","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Davis, Henrietta","Seidel, Sam","Condit, James E., III","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
21,"Davis, Henrietta","Galluccio, Anthony D.","Simmons, Denise","Reeves, Kenneth E.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Maher, David P.","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
22,"Davis, Henrietta","Kelley, Craig A.","Reeves, Kenneth E.","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,"Murphy, Brian","Seidel, Sam","Davis, Henrietta","Sullivan, Michael A.","Decker, Marjorie C.","Simmons, Denise","Hees, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
24,"Murphy, Brian","Seidel, Sam","Davis, Henrietta","Decker, Marjorie C.","Sullivan, Michael A.","Simmons, Denise","Kelley, Craig A.","Gordon, Jesse A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,"Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
26,"Kelley, Craig A.","Seidel, Sam","Galluccio, Anthony D.","Sullivan, Michael A.","Decker, Marjorie C.","Murphy, Brian","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,"Murphy, Brian","Seidel, Sam","Decker, Marjorie C.","Davis, Henrietta","Adkins, Lawrence J.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
28,"Kelley, Craig A.","Seidel, Sam","Gordon, Jesse A.","Green, Andre Lerone","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
29,"Kelley, Craig A.","Seidel, Sam","Gordon, Jesse A.","Green, Andre Lerone","Murphy, Brian","Hall, Robert Lee, Sr.","Hees, Bill","LaTremouille, Robert J.","Maher, David P.","Reeves, Kenneth E.","Galluccio, Anthony D.","Simmons, Denise","Decker, Marjorie C.","Adkins, Lawrence J.","Toomey, Timothy J., Jr.","Condit, James E., III","Davis, Henrietta","Sullivan, Michael A."
30,"Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
31,"Seidel, Sam","Kelley, Craig A.","Galluccio, Anthony D.","Simmons, Denise","Sullivan, Michael A.","Maher, David P.","Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,"Toomey, Timothy J., Jr.","Sullivan, Michael A.","Maher, David P.","Galluccio, Anthony D.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Decker, Marjorie C.","Davis, Henrietta","Adkins, Lawrence J.","Sullivan, Michael A.","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
34,"Decker, Marjorie C.","Kelley, Craig A.","Galluccio, Anthony D.","Hees, Bill","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
35,"Davis, Henrietta","Simmons, Denise","Seidel, Sam","Murphy, Brian","Gordon, Jesse A.","Decker, Marjorie C.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,"Toomey, Timothy J., Jr.","Sullivan, Michael A.","Galluccio, Anthony D.","Murphy, Brian","Kelley, Craig A.","Condit, James E., III","Gordon, Jesse A.","LaTremouille, Robert J.","Adkins, Lawrence J.","Hall, Robert Lee, Sr.","Seidel, Sam","Hees, Bill","Davis, Henrietta","Green, Andre Lerone","Maher, David P.","Decker, Marjorie C.","Simmons, Denise","Reeves, Kenneth E."
37,"Decker, Marjorie C.","Murphy, Brian","Kelley, Craig A.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,"Murphy, Brian","Decker, Marjorie C.","Galluccio, Anthony D.","Seidel, Sam","Davis, Henrietta","Reeves, Kenneth E.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,"Reeves, Kenneth E.","Murphy, Brian","Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Simmons, Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,"Galluccio, Anthony D.","Simmons, Denise","Sullivan, Michael A.","Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,"Kelley, Craig A.","Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Hees, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,"Reeves, Kenneth E.","Murphy, Brian","Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Kelley, Craig A.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Simmons, Denise","Hall, Robert Lee, Sr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,"Galluccio, Anthony D.","Sullivan, Michael A.","Murphy, Brian","Simmons, Denise","LaTremouille, Robert J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,"Gordon, Jesse A.","Simmons, Denise","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,"Decker, Marjorie C.","Simmons, Denise","Seidel, Sam","Gordon, Jesse A.","Kelley, Craig A.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,"Decker, Marjorie C.","Reeves, Kenneth E.","Seidel, Sam","Davis, Henrietta","Gordon, Jesse A.","Green, Andre Lerone",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,"Kelley, Craig A.","Galluccio, Anthony D.","Seidel, Sam","Gordon, Jesse A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,"Simmons, Denise","Galluccio, Anthony D.","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,"Simmons, Denise","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,"Murphy, Brian","Davis, Henrietta","Gordon, Jesse A.","Seidel, Sam","Decker, Marjorie C.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,"Decker, Marjorie C.","Green, Andre Lerone","Simmons, Denise","Reeves, Kenneth E.","Galluccio, Anthony D.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
52,"Murphy, Brian","Decker, Marjorie C.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,"Kelley, Craig A.","Maher, David P.","Galluccio, Anthony D.","Green, Andre Lerone","Murphy, Brian","Davis, Henrietta","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,"Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Murphy, Brian","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Gordon, Jesse A.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,"Simmons, Denise","Decker, Marjorie C.","Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,"Reeves, Kenneth E.","Davis, Henrietta","Maher, David P.","Simmons, Denise","Murphy, Brian","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Seidel, Sam","LaTremouille, Robert J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Condit, James E., III","LaTremouille, Robert J.","Hall, Robert Lee, Sr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Murphy, Brian","Davis, Henrietta","Toomey, Timothy J., Jr.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Decker, Marjorie C.","Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,"Seidel, Sam","Murphy, Brian","Gordon, Jesse A.","Davis, Henrietta","Decker, Marjorie C.","Simmons, Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"LaTremouille, Robert J.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
61,"Davis, Henrietta","Gordon, Jesse A.","Simmons, Denise","Adkins, Lawrence J.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,"Gordon, Jesse A.","Seidel, Sam","Adkins, Lawrence J.","Simmons, Denise","Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
63,"Kelley, Craig A.","Seidel, Sam","Gordon, Jesse A.","Murphy, Brian","Decker, Marjorie C.","Galluccio, Anthony D.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
64,"Murphy, Brian","Davis, Henrietta","Seidel, Sam","Gordon, Jesse A.","Simmons, Denise","Decker, Marjorie C.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,"Simmons, Denise","Kelley, Craig A.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,"Kelley, Craig A.","Maher, David P.","Seidel, Sam","Gordon, Jesse A.","Davis, Henrietta","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,"Murphy, Brian","Seidel, Sam","Sullivan, Michael A.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
68,"Kelley, Craig A.","Gordon, Jesse A.","Murphy, Brian","Decker, Marjorie C.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,"Davis, Henrietta","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,"Galluccio, Anthony D.","Kelley, Craig A.","Murphy, Brian","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,"Murphy, Brian","Seidel, Sam","Sullivan, Michael A.","Davis, Henrietta","Decker, Marjorie C.","Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
72,"Kelley, Craig A.","Seidel, Sam","Galluccio, Anthony D.","Murphy, Brian","Gordon, Jesse A.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
73,"Sullivan, Michael A.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Maher, David P.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,"Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,"Murphy, Brian","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
76,"Decker, Marjorie C.","Simmons, Denise","Davis, Henrietta","Reeves, Kenneth E.","Seidel, Sam","Toomey, Timothy J., Jr.","Gordon, Jesse A.","Murphy, Brian","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
77,"Reeves, Kenneth E.","Simmons, Denise","Decker, Marjorie C.","Adkins, Lawrence J.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
78,"Hees, Bill","Green, Andre Lerone","Condit, James E., III","Adkins, Lawrence J.","Maher, David P.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
79,"Sullivan, Michael A.","Murphy, Brian","Reeves, Kenneth E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,"Kelley, Craig A.","Seidel, Sam","Gordon, Jesse A.","Murphy, Brian","Decker, Marjorie C.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
81,"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,"Seidel, Sam","Murphy, Brian","Kelley, Craig A.","Sullivan, Michael A.","Decker, Marjorie C.","Simmons, Denise","Galluccio, Anthony D.","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
83,"Seidel, Sam","Murphy, Brian","Kelley, Craig A.","Sullivan, Michael A.","Decker, Marjorie C.","Simmons, Denise","Galluccio, Anthony D.","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,"Gordon, Jesse A.","Reeves, Kenneth E.","Seidel, Sam","Galluccio, Anthony D.","Kelley, Craig A.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,"Murphy, Brian","Simmons, Denise","Decker, Marjorie C.","Kelley, Craig A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,"Kelley, Craig A.","Simmons, Denise","Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
87,"Seidel, Sam","Gordon, Jesse A.","Kelley, Craig A.","Murphy, Brian","Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
88,"Murphy, Brian","Davis, Henrietta","Toomey, Timothy J., Jr.","Green, Andre Lerone","Sullivan, Michael A.","Adkins, Lawrence J.","LaTremouille, Robert J.","Condit, James E., III","Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
89,"Kelley, Craig A.","Sullivan, Michael A.","Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.","Simmons, Denise","Galluccio, Anthony D.","Maher, David P.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
90,"Murphy, Brian","Reeves, Kenneth E.","Simmons, Denise","Gordon, Jesse A.","Green, Andre Lerone",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
91,"Decker, Marjorie C.","Galluccio, Anthony D.","Davis, Henrietta","Gordon, Jesse A.","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Murphy, Brian","Green, Andre Lerone","Maher, David P.","LaTremouille, Robert J.","Toomey, Timothy J., Jr.","Hall, Robert Lee, Sr.","Condit, James E., III",skipped,skipped,skipped
92,"Kelley, Craig A.","Maher, David P.","Sullivan, Michael A.","Galluccio, Anthony D.","Green, Andre Lerone",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
93,"Maher, David P.","Simmons, Denise","Sullivan, Michael A.","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
94,"Kelley, Craig A.","Seidel, Sam","Decker, Marjorie C.","Simmons, Denise","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Seidel, Sam","Kelley, Craig A.","Decker, Marjorie C.","Simmons, Denise","Murphy, Brian","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,"Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
97,"Reeves, Kenneth E.","Murphy, Brian","Simmons, Denise","Gordon, Jesse A.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
98,"Maher, David P.","Sullivan, Michael A.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
99,"Davis, Henrietta","Seidel, Sam","Murphy, Brian","Maher, David P.","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
100,"Davis, Henrietta","Murphy, Brian","Seidel, Sam","Maher, David P.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
101,"Green, Andre Lerone","Hees, Bill","Sullivan, Michael A.","Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
102,"Kelley, Craig A.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
103,"Decker, Marjorie C.","Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,"Decker, Marjorie C.","Sullivan, Michael A.","Davis, Henrietta","Kelley, Craig A.","LaTremouille, Robert J.","Hees, Bill","Green, Andre Lerone","Gordon, Jesse A.","Condit, James E., III","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
105,"Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,"Sullivan, Michael A.","Reeves, Kenneth E.","Kelley, Craig A.","Murphy, Brian","Decker, Marjorie C.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,"Kelley, Craig A.","Murphy, Brian","Davis, Henrietta","Seidel, Sam","Simmons, Denise","Adkins, Lawrence J.","Gordon, Jesse A.","Green, Andre Lerone","LaTremouille, Robert J.","Reeves, Kenneth E.","Sullivan, Michael A.","Hees, Bill","Galluccio, Anthony D.","Decker, Marjorie C.","Maher, David P.","Hall, Robert Lee, Sr.","Condit, James E., III","Toomey, Timothy J., Jr."
109,"Galluccio, Anthony D.","Reeves, Kenneth E.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
110,"Seidel, Sam","Kelley, Craig A.","Gordon, Jesse A.","Murphy, Brian","Sullivan, Michael A.","Davis, Henrietta","Toomey, Timothy J., Jr.","Simmons, Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
111,"Kelley, Craig A.","Murphy, Brian","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,"Galluccio, Anthony D.","Sullivan, Michael A.","Condit, James E., III","Adkins, Lawrence J.","LaTremouille, Robert J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
113,"Decker, Marjorie C.","Seidel, Sam","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
114,"Simmons, Denise","Adkins, Lawrence J.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
115,"Seidel, Sam","Kelley, Craig A.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
116,"Decker, Marjorie C.","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
117,"Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
