ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12
20,"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
21,"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.","Fantini, Alfred B.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped
22,"Bowman, Manikka L.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Kimbrough, Laurance V.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped
24,"Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,"Nolan, Patricia M.","Fantini, Alfred B.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
26,"Nolan, Patricia M.","Fantini, Alfred B.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,"Bowman, Manikka L.","Weinstein, David J.","Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran A.","Fantini, Alfred B.","Kadete, Elechi M.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","MacArthur, William",skipped
28,"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.","Bowman, Manikka L.","Weinstein, David J.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped
29,"Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Fantini, Alfred B.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped
30,"Cronin, Fran A.","Crutchfield, Jake W.","Weinstein, David J.","Mitros, Piotr Flawiusz","MacArthur, William","Kimbrough, Laurance V.","Kadete, Elechi M.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B."
31,"Cronin, Fran A.","Dexter, Emily R.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
32,"Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L."
34,"Kadete, Elechi M.","Nolan, Patricia M.","Bowman, Manikka L.","Crutchfield, Jake W.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
35,"Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,"Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,"Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped
38,"Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","Crutchfield, Jake W.","Weinstein, David J.","MacArthur, William","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped
39,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,"Fantini, Alfred B.","Kelly, Kathleen M.","MacArthur, William","Kimbrough, Laurance V.","Weinstein, David J.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
41,"Fantini, Alfred B.","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Cronin, Fran A.","Crutchfield, Jake W.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J."
43,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,"Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,"MacArthur, William","Kelly, Kathleen M.","Fantini, Alfred B.","Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.","Kimbrough, Laurance V."
46,"Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,"Kimbrough, Laurance V.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,"Nolan, Patricia M.","Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Weinstein, David J.","Kimbrough, Laurance V.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped
49,"Kimbrough, Laurance V.","Bowman, Manikka L.","Kadete, Elechi M.","Dexter, Emily R.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,"Nolan, Patricia M.","Cronin, Fran A.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
52,"Bowman, Manikka L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,"Fantini, Alfred B.","Bowman, Manikka L.","Kimbrough, Laurance V.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,"Crutchfield, Jake W.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,"Crutchfield, Jake W.","MacArthur, William","Nolan, Patricia M.","Bowman, Manikka L.","Kadete, Elechi M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped
57,"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"Crutchfield, Jake W.","Dexter, Emily R.","Cronin, Fran A.","Kimbrough, Laurance V.","Weinstein, David J.","Kelly, Kathleen M.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped
61,"Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,"Bowman, Manikka L.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
63,"Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
64,"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,"Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,"Dexter, Emily R.","Crutchfield, Jake W.","Bowman, Manikka L.","Nolan, Patricia M.","MacArthur, William","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
68,"Nolan, Patricia M.","Mitros, Piotr Flawiusz","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,"Dexter, Emily R.","Kadete, Elechi M.","Mitros, Piotr Flawiusz","Cronin, Fran A.","Crutchfield, Jake W.","Weinstein, David J.","Nolan, Patricia M.","Bowman, Manikka L.","MacArthur, William","Kimbrough, Laurance V.","Fantini, Alfred B.","Kelly, Kathleen M."
71,"Dexter, Emily R.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
72,"Bowman, Manikka L.","Mitros, Piotr Flawiusz","Weinstein, David J.","Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
73,"Dexter, Emily R.","Nolan, Patricia M.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Mitros, Piotr Flawiusz","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
76,"MacArthur, William","Nolan, Patricia M.","Dexter, Emily R.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped
77,"Cronin, Fran A.","Dexter, Emily R.","Kimbrough, Laurance V.","Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
78,"Dexter, Emily R.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
79,"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Kadete, Elechi M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped
80,"MacArthur, William","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.","Fantini, Alfred B.","Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped
81,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
83,"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,"Kadete, Elechi M.","Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Bowman, Manikka L.","Kelly, Kathleen M.","Cronin, Fran A.","Weinstein, David J.","MacArthur, William","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Kimbrough, Laurance V."
85,"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
87,"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
88,"Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
89,"Dexter, Emily R.","Bowman, Manikka L.","Kelly, Kathleen M.","MacArthur, William","Kadete, Elechi M.","Cronin, Fran A.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped
90,"Cronin, Fran A.","Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
91,"Nolan, Patricia M.","Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Weinstein, David J.","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
92,"Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W."
93,"Bowman, Manikka L.","Mitros, Piotr Flawiusz","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
94,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,"Kimbrough, Laurance V.","Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
97,"Dexter, Emily R.","Mitros, Piotr Flawiusz","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
98,"Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
99,"Kimbrough, Laurance V.","Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped
100,"Kelly, Kathleen M.","Fantini, Alfred B.","MacArthur, William","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
101,"Kelly, Kathleen M.","Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Weinstein, David J.","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Crutchfield, Jake W."
102,"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Kadete, Elechi M.","Weinstein, David J.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Crutchfield, Jake W."
103,"Cronin, Fran A.","Fantini, Alfred B.","Bowman, Manikka L.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,"Cronin, Fran A.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
105,"Kelly, Kathleen M.","Bowman, Manikka L.","Nolan, Patricia M.","Kadete, Elechi M.","Dexter, Emily R.","Fantini, Alfred B.","Crutchfield, Jake W.","Mitros, Piotr Flawiusz","MacArthur, William","Cronin, Fran A.","Kimbrough, Laurance V.",skipped
106,"Crutchfield, Jake W.","Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,"Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped
109,"Crutchfield, Jake W.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
110,"Dexter, Emily R.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
111,"Bowman, Manikka L.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,"Crutchfield, Jake W.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
113,"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
114,"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
115,"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
116,"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
117,"Bowman, Manikka L.","Kelly, Kathleen M.","Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
118,"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
119,"Kelly, Kathleen M.","Nolan, Patricia M.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
120,"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Cronin, Fran A.","Fantini, Alfred B.","Weinstein, David J.","Crutchfield, Jake W."
121,"Kimbrough, Laurance V.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
122,"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
123,"Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
124,"Dexter, Emily R.","Weinstein, David J.","Kimbrough, Laurance V.","Nolan, Patricia M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
125,"Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Fantini, Alfred B.","Kelly, Kathleen M.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped
126,"Weinstein, David J.","Dexter, Emily R.","Crutchfield, Jake W.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
127,"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
128,"Bowman, Manikka L.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
129,"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
130,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
131,"Fantini, Alfred B.","Dexter, Emily R.","Kelly, Kathleen M.","Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
132,"Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.","Kelly, Kathleen M.","Crutchfield, Jake W.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
133,"Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
134,"Nolan, Patricia M.","Kelly, Kathleen M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
135,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
136,"MacArthur, William","Kadete, Elechi M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
137,"Bowman, Manikka L.","Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
138,"Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
139,"Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
140,"Kelly, Kathleen M.","Kimbrough, Laurance V.","Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped
141,"Fantini, Alfred B.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
142,"Kimbrough, Laurance V.","MacArthur, William","Fantini, Alfred B.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
143,"Kadete, Elechi M.","Weinstein, David J.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Dexter, Emily R.","Kelly, Kathleen M.","Fantini, Alfred B.","Kimbrough, Laurance V."
144,"Cronin, Fran A.","Bowman, Manikka L.","Kimbrough, Laurance V.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
145,"MacArthur, William","Dexter, Emily R.","Cronin, Fran A.","Kelly, Kathleen M.","Crutchfield, Jake W.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
146,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
147,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
148,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
149,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
150,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
151,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
152,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
153,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
154,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
155,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
156,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
157,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
158,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
159,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
160,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
161,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
162,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
163,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
164,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
165,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
166,"MacArthur, William",Write-In 01,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
167,"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
168,"Cronin, Fran A.",Write-In 01,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
