ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
88,"Bowman, Manikka L.","Nolan, Patricia M.","Cisternino, Pia","Dexter, Emily R.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
89,"Dexter, Emily R.","Kelly, Kathleen M.","Cronin, Fran Albin","Fantini, Alfred B.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
90,"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
91,"Kadete, Elechi M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
92,"Kelly, Kathleen M.","Nolan, Patricia M.","Kadete, Elechi M.","Fantini, Alfred B.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped
93,"Nolan, Patricia M.","Dexter, Emily R.","Bowman, Manikka L.","Kelly, Kathleen M.","Cisternino, Pia","Kadete, Elechi M.","Crutchfield, Jake W.","Harding, Jr., Richard","Cronin, Fran Albin",skipped,skipped
94,"Crutchfield, Jake W.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Kelly, Kathleen M.","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,"Weinstein, David J.","Crutchfield, Jake W.","Bowman, Manikka L.","Cronin, Fran Albin","Dexter, Emily R.","Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped
97,"Bowman, Manikka L.","Kadete, Elechi M.","Crutchfield, Jake W.","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
98,"Bowman, Manikka L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
99,"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
100,"Bowman, Manikka L.","Cronin, Fran Albin","Weinstein, David J.","Nolan, Patricia M.","Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped
101,"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
102,"Nolan, Patricia M.","Fantini, Alfred B.","Kadete, Elechi M.","Cronin, Fran Albin","Harding, Jr., Richard","Kelly, Kathleen M.","Crutchfield, Jake W.","Weinstein, David J.","Bowman, Manikka L.","Dexter, Emily R.","Cisternino, Pia"
103,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,"Cronin, Fran Albin","Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Crutchfield, Jake W.","Kadete, Elechi M.","Nolan, Patricia M.","Dexter, Emily R."
105,"Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Weinstein, David J.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped
106,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,"Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
109,"Fantini, Alfred B.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
110,"Harding, Jr., Richard","Nolan, Patricia M.","Fantini, Alfred B.","Kadete, Elechi M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.",skipped
