ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8
104,"Lummis, Ben","Schuster, Luc","McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Nolan, Patricia M."
105,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,"McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped
107,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
108,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Harding, Richard, Jr.","Fantini, Alfred B.","Walser, Nancy","Grassi, Joseph G.","Lummis, Ben"
109,"Lummis, Ben","Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped
110,"Schuster, Luc","Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped
111,"Nolan, Patricia M.","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
112,"Nolan, Patricia M.","Schuster, Luc","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
113,"Schuster, Luc","Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
114,"Harding, Richard, Jr.","Lummis, Ben","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
115,"Lummis, Ben","Walser, Nancy","Schuster, Luc","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
116,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
117,"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.",skipped,skipped
118,"Walser, Nancy","Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben"
119,"Lummis, Ben","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
120,"Nolan, Patricia M.","Schuster, Luc","Grassi, Joseph G.","McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped
121,"McGovern, Marc C.","Nolan, Patricia M.","Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped
122,"Nolan, Patricia M.","Schuster, Luc","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy",skipped,skipped
123,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
124,"McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Grassi, Joseph G.",skipped,skipped,skipped,skipped
125,"Nolan, Patricia M.","Walser, Nancy","Schuster, Luc",skipped,skipped,skipped,skipped,skipped
126,"McGovern, Marc C.","Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.","Nolan, Patricia M.",skipped,skipped,skipped
127,"Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped
128,"Grassi, Joseph G.","Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
129,"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
130,"Lummis, Ben","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped
131,"Schuster, Luc","Walser, Nancy","Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped
132,"Walser, Nancy","Schuster, Luc","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Harding, Richard, Jr.",skipped,skipped
133,"Nolan, Patricia M.","Lummis, Ben","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped
134,"Schuster, Luc","Walser, Nancy","Nolan, Patricia M.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped
135,"Lummis, Ben","Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped
136,"Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
137,"Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
138,"Schuster, Luc","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
139,"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Schuster, Luc",skipped,skipped,skipped,skipped
140,"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped
141,"Schuster, Luc","Walser, Nancy","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped
142,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
143,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
144,"McGovern, Marc C.","Nolan, Patricia M.","Harding, Richard, Jr.","Lummis, Ben","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.",skipped
145,"Schuster, Luc","Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M.","Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Lummis, Ben"
146,"McGovern, Marc C.","Walser, Nancy","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
147,"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
148,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
149,"Walser, Nancy","Lummis, Ben","Grassi, Joseph G.","Nolan, Patricia M.",skipped,skipped,skipped,skipped
150,"Schuster, Luc","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
151,"Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
152,"Lummis, Ben","Walser, Nancy","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
153,"Nolan, Patricia M.","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Fantini, Alfred B.",skipped
154,"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
155,"Harding, Richard, Jr.","Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped
156,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
157,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
158,"Fantini, Alfred B.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
159,"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped
160,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
161,"Fantini, Alfred B.","Grassi, Joseph G.","Schuster, Luc","Nolan, Patricia M.",skipped,skipped,skipped,skipped
162,"Nolan, Patricia M.","Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Schuster, Luc",skipped,skipped,skipped
163,"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped
164,"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped
165,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
166,"Schuster, Luc","Harding, Richard, Jr.","Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Grassi, Joseph G.","Fantini, Alfred B."
167,"Fantini, Alfred B.","Grassi, Joseph G.","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped
168,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped
169,"Harding, Richard, Jr.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
170,"Nolan, Patricia M.","Schuster, Luc","Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy","Lummis, Ben",skipped,skipped
171,"Walser, Nancy","Harding, Richard, Jr.","Schuster, Luc","Nolan, Patricia M.",skipped,skipped,skipped,skipped
172,"Nolan, Patricia M.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
173,"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
174,"Walser, Nancy","Harding, Richard, Jr.","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped
175,"Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
176,"Schuster, Luc","McGovern, Marc C.","Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped
177,"Schuster, Luc","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
178,"Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
179,"McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Grassi, Joseph G.","Fantini, Alfred B.","Lummis, Ben","Walser, Nancy",skipped
180,"Nolan, Patricia M.","McGovern, Marc C.","Lummis, Ben","Schuster, Luc","Harding, Richard, Jr.","Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B."
181,"Lummis, Ben","Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
182,"Lummis, Ben","Schuster, Luc","Walser, Nancy","McGovern, Marc C.","Nolan, Patricia M.","Harding, Richard, Jr.",skipped,skipped
183,"Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
184,"Schuster, Luc","Nolan, Patricia M.","Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped
185,"Grassi, Joseph G.","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
186,"Nolan, Patricia M.","Schuster, Luc","Lummis, Ben","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped
187,"Walser, Nancy","Nolan, Patricia M.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
188,"Lummis, Ben","Schuster, Luc","Nolan, Patricia M.","Walser, Nancy",skipped,skipped,skipped,skipped
189,"Schuster, Luc","Walser, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
190,"Schuster, Luc","Lummis, Ben","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
191,"Schuster, Luc","Walser, Nancy","Harding, Richard, Jr.","Lummis, Ben","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped
192,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
193,"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Grassi, Joseph G.","Schuster, Luc",skipped,skipped
194,"Walser, Nancy","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
195,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
196,"Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
197,"Schuster, Luc","Nolan, Patricia M.","Walser, Nancy","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped
198,"Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
199,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
200,"Nolan, Patricia M.","Walser, Nancy","McGovern, Marc C.","Schuster, Luc",skipped,skipped,skipped,skipped
201,"Walser, Nancy","Nolan, Patricia M.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped
202,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
203,"McGovern, Marc C.","Nolan, Patricia M.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
204,"Schuster, Luc","Nolan, Patricia M.","Harding, Richard, Jr.","Grassi, Joseph G.","McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Fantini, Alfred B."
205,"Walser, Nancy","McGovern, Marc C.","Schuster, Luc","Lummis, Ben","Harding, Richard, Jr.","Nolan, Patricia M.","Grassi, Joseph G.",skipped
206,"Lummis, Ben","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
207,"McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
208,"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
209,"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
210,"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.","Walser, Nancy","Grassi, Joseph G.",skipped,skipped,skipped
211,"Lummis, Ben","Fantini, Alfred B.","Schuster, Luc","McGovern, Marc C.",skipped,skipped,skipped,skipped
212,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped
213,"McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped
214,"Lummis, Ben","Schuster, Luc","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
215,"Schuster, Luc","McGovern, Marc C.","Lummis, Ben","Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped
216,"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Nolan, Patricia M.","Lummis, Ben",skipped,skipped,skipped
217,"Nolan, Patricia M.","Walser, Nancy","Lummis, Ben","Schuster, Luc",skipped,skipped,skipped,skipped
218,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
219,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
220,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
221,"Schuster, Luc","McGovern, Marc C.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
222,"Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.","Schuster, Luc",skipped,skipped
223,"Fantini, Alfred B.","Nolan, Patricia M.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
224,"Nolan, Patricia M.","Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
225,"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Harding, Richard, Jr.","Schuster, Luc","Lummis, Ben",skipped,skipped
226,"Schuster, Luc","Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Harding, Richard, Jr.",skipped,skipped
227,"Nolan, Patricia M.","Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.","Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Schuster, Luc"
228,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
229,"Schuster, Luc","McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy","Nolan, Patricia M.","Lummis, Ben","Fantini, Alfred B.","Grassi, Joseph G."
230,"Walser, Nancy","Schuster, Luc","Lummis, Ben","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped
231,"Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
