ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19
13,"Pitkin, John","Galluccio, Anthony D.","Decker, Marjorie C.","Maher, David P.","Reeves, Kenneth E.","Simmons, Denise","Davis, Henrietta","King, Ethridge A.","Iskovitz, Steve","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
14,"Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Pitkin, John","Iskovitz, Steve","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
15,"Maher, David P.","Murphy, Brian","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
16,"Maher, David P.","Galluccio, Anthony D.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,"Galluccio, Anthony D.","Davis, Henrietta","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,"Davis, Henrietta","King, Ethridge A.","Pitkin, John","Murphy, Brian","Horowitz, Jacob","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
19,"Davis, Henrietta","Horowitz, Jacob","Galluccio, Anthony D.","Murphy, Brian","Pitkin, John","King, Ethridge A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
20,"Maher, David P.","Toomey, Timothy J., Jr.","Simmons, Denise","Galluccio, Anthony D.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
21,"Maher, David P.","Decker, Marjorie C.","Galluccio, Anthony D.","Reeves, Kenneth E.","Davis, Henrietta","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
22,"Galluccio, Anthony D.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,"Reeves, Kenneth E.","Maher, David P.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Decker, Marjorie C.","Galluccio, Anthony D.","Murphy, Brian","King, Ethridge A.","Horowitz, Jacob","Jens, Steven E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
24,"Davis, Henrietta","Simmons, Denise","Decker, Marjorie C.","Murphy, Brian","Horowitz, Jacob","Hall, Robert L.","Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,"Galluccio, Anthony D.","Maher, David P.","Decker, Marjorie C.","Hall, Robert L.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
26,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Jens, Steven E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,"Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
28,"Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
29,"Simmons, Denise","Decker, Marjorie C.","Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
30,"Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
31,"Davis, Henrietta","Murphy, Brian","Reeves, Kenneth E.","Pitkin, John","Simmons, Denise","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Galluccio, Anthony D.","Murphy, Brian","Jens, Steven E.","Reeves, Kenneth E.","Simmons, Denise","Iskovitz, Steve","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
34,"Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
35,"Davis, Henrietta","Murphy, Brian","Pitkin, John","Decker, Marjorie C.","Simmons, Denise","King, Ethridge A.","Horowitz, Jacob","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Dixon, Vincent Lawrence",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,"Davis, Henrietta","Simmons, Denise","King, Ethridge A.","Murphy, Brian","Horowitz, Jacob","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,"Pitkin, John","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Murphy, Brian","Maher, David P.","Sullivan, Michael A.","Simmons, Denise","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,"Murphy, Brian","King, Ethridge A.","Simmons, Denise","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,"Reeves, Kenneth E.","Galluccio, Anthony D.","Simmons, Denise","Toomey, Timothy J., Jr.","Sullivan, Michael A.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,"Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,"Sullivan, Michael A.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Dixon, Vincent Lawrence","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,"Reeves, Kenneth E.","King, Ethridge A.","Murphy, Brian","Galluccio, Anthony D.","Dixon, Vincent Lawrence","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,"Jens, Steven E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,"Murphy, Brian","Simmons, Denise","Davis, Henrietta","Reeves, Kenneth E.","Decker, Marjorie C.","Galluccio, Anthony D.","Pitkin, John","King, Ethridge A.","Horowitz, Jacob","Iskovitz, Steve",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,"Davis, Henrietta","King, Ethridge A.","Pitkin, John","Simmons, Denise","Murphy, Brian","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,"Decker, Marjorie C.","Murphy, Brian","Condit, James E., III","Williamson, James M.","Simmons, Denise","Peixoto, Helder","Iskovitz, Steve","Dixon, Vincent Lawrence",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,"Decker, Marjorie C.","King, Ethridge A.","Peixoto, Helder","Galluccio, Anthony D.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,"Murphy, Brian","King, Ethridge A.","Simmons, Denise","Horowitz, Jacob","Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,"Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,"Murphy, Brian","Decker, Marjorie C.","Simmons, Denise","Pitkin, John","Davis, Henrietta","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,"Murphy, Brian","Decker, Marjorie C.","Simmons, Denise","Davis, Henrietta","Pitkin, John","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
52,"Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,"Galluccio, Anthony D.","Davis, Henrietta","Reeves, Kenneth E.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,"Galluccio, Anthony D.","Simmons, Denise","Maher, David P.","Murphy, Brian","Decker, Marjorie C.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,"Decker, Marjorie C.","Davis, Henrietta","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,"Sullivan, Michael A.","Galluccio, Anthony D.","Hall, Robert L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Simmons, Denise","Murphy, Brian","Williamson, James M.","Decker, Marjorie C.","Davis, Henrietta","Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Pitkin, John","Sullivan, Michael A.","King, Ethridge A.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,"Simmons, Denise","Decker, Marjorie C.","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"Iskovitz, Steve","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
61,"Simmons, Denise","Davis, Henrietta","Pitkin, John","Horowitz, Jacob","Murphy, Brian","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,"Pitkin, John","King, Ethridge A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
63,"Decker, Marjorie C.","Davis, Henrietta","Sullivan, Michael A.",skipped,"King, Ethridge A.","Reeves, Kenneth E.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
64,"Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","King, Ethridge A.","Simmons, Denise","Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,"Murphy, Brian","Galluccio, Anthony D.","Davis, Henrietta","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Iskovitz, Steve",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
68,"Maher, David P.",overvote,"Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,"Pitkin, John","Murphy, Brian","King, Ethridge A.","Horowitz, Jacob","Simmons, Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,"Murphy, Brian","Pitkin, John","King, Ethridge A.","Simmons, Denise","Davis, Henrietta","Horowitz, Jacob","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,"Galluccio, Anthony D.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
72,"Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.","Horowitz, Jacob","Simmons, Denise",skipped,"Maher, David P.","Dixon, Vincent Lawrence",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
73,"Davis, Henrietta","Murphy, Brian","Reeves, Kenneth E.","Pitkin, John","King, Ethridge A.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,"Galluccio, Anthony D.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,"Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Maher, David P.","Condit, James E., III",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
76,"Galluccio, Anthony D.","Davis, Henrietta","Toomey, Timothy J., Jr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
77,"Sullivan, Michael A.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
78,"Galluccio, Anthony D.","King, Ethridge A.","Murphy, Brian","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
79,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,"Galluccio, Anthony D.","Maher, David P.","Pitkin, John","Simmons, Denise","Decker, Marjorie C.","Horowitz, Jacob","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
81,"Reeves, Kenneth E.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,"Decker, Marjorie C.","King, Ethridge A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
83,"King, Ethridge A.","Simmons, Denise","Davis, Henrietta","Galluccio, Anthony D.","Peixoto, Helder",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,"Reeves, Kenneth E.","Galluccio, Anthony D.","Davis, Henrietta","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,"Iskovitz, Steve","Murphy, Brian","Simmons, Denise","Reeves, Kenneth E.","Pitkin, John","Decker, Marjorie C.","Davis, Henrietta","Galluccio, Anthony D.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,"Iskovitz, Steve","Horowitz, Jacob","King, Ethridge A.","Murphy, Brian","Pitkin, John","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
87,"Davis, Henrietta","Simmons, Denise","King, Ethridge A.","Horowitz, Jacob","Pitkin, John","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
88,"Pitkin, John","Murphy, Brian","Simmons, Denise","Davis, Henrietta","Decker, Marjorie C.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
89,"Galluccio, Anthony D.","Decker, Marjorie C.","Reeves, Kenneth E.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
90,"Decker, Marjorie C.","Pitkin, John","Murphy, Brian","Toomey, Timothy J., Jr.","Simmons, Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
91,"Murphy, Brian","Pitkin, John","Simmons, Denise","King, Ethridge A.","Decker, Marjorie C.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
92,"Davis, Henrietta","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
93,"Dixon, Vincent Lawrence","Hall, Robert L.","Iskovitz, Steve","King, Ethridge A.","Murphy, Brian","Pitkin, John","Simmons, Denise","Williamson, James M.","Condit, James E., III",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
94,"Horowitz, Jacob","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Pitkin, John","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,"Davis, Henrietta","Pitkin, John","Galluccio, Anthony D.","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
97,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
98,"Pitkin, John","King, Ethridge A.","Simmons, Denise","Sullivan, Michael A.","Dixon, Vincent Lawrence","Williamson, James M.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
99,"Galluccio, Anthony D.","Davis, Henrietta","Simmons, Denise","Horowitz, Jacob","King, Ethridge A.","Murphy, Brian","Pitkin, John","Maher, David P.","Peixoto, Helder","Decker, Marjorie C.","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
100,"Reeves, Kenneth E.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
101,"Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Condit, James E., III","Simmons, Denise","Sullivan, Michael A.","Hall, Robert L.","Murphy, Brian","Iskovitz, Steve","Peixoto, Helder",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
102,"Simmons, Denise","Decker, Marjorie C.","Murphy, Brian","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
103,"Murphy, Brian","Iskovitz, Steve","Galluccio, Anthony D.","King, Ethridge A.","Decker, Marjorie C.","Hall, Robert L.","Reeves, Kenneth E.","Simmons, Denise","Davis, Henrietta","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,"Davis, Henrietta","Simmons, Denise","Murphy, Brian","Horowitz, Jacob","Hall, Robert L.","Decker, Marjorie C.","Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
105,"Pitkin, John","Toomey, Timothy J., Jr.","Peixoto, Helder","King, Ethridge A.","Decker, Marjorie C.","Galluccio, Anthony D.","Horowitz, Jacob","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,"Pitkin, John","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,"Maher, David P.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,"Decker, Marjorie C.","Murphy, Brian","Davis, Henrietta","Reeves, Kenneth E.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
109,"Hall, Robert L.","Sullivan, Michael A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
110,"Sullivan, Michael A.","Murphy, Brian","Condit, James E., III","Davis, Henrietta","Pitkin, John","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
111,"Davis, Henrietta","Decker, Marjorie C.","Pitkin, John","Toomey, Timothy J., Jr.","Simmons, Denise","Maher, David P.","Murphy, Brian","Galluccio, Anthony D.","Condit, James E., III",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,overvote,overvote,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
113,"Sullivan, Michael A.","Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
114,"Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Reeves, Kenneth E.","Hall, Robert L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
115,"Davis, Henrietta","Reeves, Kenneth E.","Simmons, Denise","Toomey, Timothy J., Jr.","Maher, David P.","Galluccio, Anthony D.","Pitkin, John","Sullivan, Michael A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
116,"Murphy, Brian","Davis, Henrietta","Galluccio, Anthony D.","Reeves, Kenneth E.","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
117,"Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
118,"Murphy, Brian","Jens, Steven E.","Simmons, Denise","Davis, Henrietta","Horowitz, Jacob","Pitkin, John","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
119,"Reeves, Kenneth E.","Simmons, Denise","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
120,"Maher, David P.","Galluccio, Anthony D.","Iskovitz, Steve",skipped,"Dixon, Vincent Lawrence",skipped,"Hall, Robert L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
