ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['DOUG WELTON', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",566,DOUG WELTON,SCOTT PINKHAM,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",567,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'skipped', 'skipped', 'BRIAN V. HULET', 'LINDA CARTER']",568,DOUG WELTON,skipped,skipped,BRIAN V. HULET,LINDA CARTER
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'skipped', 'skipped']",569,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,skipped,skipped
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",570,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",571,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'skipped', 'skipped', 'skipped']",572,LINDA CARTER,BRIAN V. HULET,skipped,skipped,skipped
"['SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER']",573,SCOTT PINKHAM,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,LINDA CARTER
"['BRIAN V. HULET', 'LINDA CARTER', 'skipped', 'skipped', 'skipped']",574,BRIAN V. HULET,LINDA CARTER,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped', 'skipped']",575,skipped,skipped,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped', 'skipped']",576,skipped,skipped,skipped,skipped,skipped
"['SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER']",577,SCOTT PINKHAM,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,LINDA CARTER
"['DOUG WELTON', 'skipped', 'skipped', 'skipped', 'skipped']",578,DOUG WELTON,skipped,skipped,skipped,skipped
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",579,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",580,DOUG WELTON,SCOTT PINKHAM,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",581,BRIAN V. HULET,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",582,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER']",583,CARY KENNETH STOCKWELL,SCOTT PINKHAM,DOUG WELTON,BRIAN V. HULET,LINDA CARTER
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",584,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM', 'BRIAN V. HULET']",585,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM,BRIAN V. HULET
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",586,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER', 'DOUG WELTON']",587,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER,DOUG WELTON
"['DOUG WELTON', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",588,DOUG WELTON,SCOTT PINKHAM,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER
"['BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'DOUG WELTON']",589,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM,DOUG WELTON
"['BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'DOUG WELTON']",590,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM,DOUG WELTON
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",591,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",592,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'LINDA CARTER', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL']",593,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM,BRIAN V. HULET,CARY KENNETH STOCKWELL
"['LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET']",594,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,BRIAN V. HULET
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",595,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'skipped', 'skipped']",596,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,skipped,skipped
"['DOUG WELTON', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",597,DOUG WELTON,SCOTT PINKHAM,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",598,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['LINDA CARTER', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL']",599,LINDA CARTER,SCOTT PINKHAM,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",600,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",601,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'skipped', 'skipped', 'skipped']",602,LINDA CARTER,BRIAN V. HULET,skipped,skipped,skipped
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",603,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",604,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",605,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'skipped', 'skipped', 'skipped']",606,DOUG WELTON,BRIAN V. HULET,skipped,skipped,skipped
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",607,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",608,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER']",609,CARY KENNETH STOCKWELL,SCOTT PINKHAM,BRIAN V. HULET,DOUG WELTON,LINDA CARTER
"['CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER']",610,CARY KENNETH STOCKWELL,SCOTT PINKHAM,BRIAN V. HULET,DOUG WELTON,LINDA CARTER
