ballotID,rank1,rank2,rank3,rank4
3147,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3148,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3149,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3150,Sarah A. Lucido,Larry Edwards,skipped,skipped
3151,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3152,Larry Edwards,skipped,skipped,skipped
3153,Harvey Curley,Sarah A. Lucido,skipped,skipped
3154,Sarah A. Lucido,Harvey Curley,skipped,skipped
3155,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3156,Harvey Curley,Sarah A. Lucido,skipped,skipped
3157,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3158,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3159,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3160,Sarah A. Lucido,Larry Edwards,skipped,skipped
3161,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3162,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3163,Harvey Curley,Sarah A. Lucido,skipped,skipped
3164,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3165,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3166,Sarah A. Lucido,Harvey Curley,skipped,skipped
3167,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
3168,Harvey Curley,Sarah A. Lucido,skipped,skipped
3169,Harvey Curley,skipped,skipped,skipped
3170,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3171,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3172,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Mary Hall-Rayford
3173,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3174,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
3175,Harvey Curley,Sarah A. Lucido,skipped,skipped
3176,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3177,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3178,Sarah A. Lucido,Harvey Curley,skipped,skipped
3179,Harvey Curley,Harvey Curley,Larry Edwards,Larry Edwards
3180,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
3181,Sarah A. Lucido,Harvey Curley,skipped,skipped
3182,Sarah A. Lucido,Harvey Curley,skipped,skipped
3183,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3184,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3185,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
3186,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
3187,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3188,Sarah A. Lucido,Larry Edwards,skipped,skipped
3189,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
3190,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3191,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
3192,Harvey Curley,Sarah A. Lucido,skipped,skipped
3193,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3194,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,skipped
3195,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3196,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3197,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3198,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped
3199,Mary Hall-Rayford,Harvey Curley,skipped,skipped
3200,Sarah A. Lucido,Larry Edwards,skipped,skipped
3201,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3202,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3203,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3204,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3205,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3206,Sarah A. Lucido,skipped,skipped,skipped
3207,Sarah A. Lucido,Harvey Curley,skipped,skipped
3208,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3209,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
3210,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
3211,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3212,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3213,Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
3214,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
3215,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3216,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3217,Mary Hall-Rayford,Larry Edwards,skipped,skipped
3218,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
3219,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3220,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
3221,Larry Edwards,Sarah A. Lucido,skipped,skipped
3222,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3223,Sarah A. Lucido,Harvey Curley,skipped,skipped
3224,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3225,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,skipped
3226,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3227,Sarah A. Lucido,skipped,skipped,skipped
3228,Sarah A. Lucido,Harvey Curley,skipped,skipped
3229,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,skipped
3230,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3231,Sarah A. Lucido,Larry Edwards,skipped,skipped
3232,Harvey Curley,skipped,skipped,skipped
3233,Sarah A. Lucido,skipped,skipped,skipped
3234,Sarah A. Lucido,Larry Edwards,skipped,skipped
3235,Sarah A. Lucido,Harvey Curley,skipped,skipped
3236,Harvey Curley,Sarah A. Lucido,skipped,skipped
3237,Larry Edwards,Sarah A. Lucido,skipped,skipped
3238,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3239,Mary Hall-Rayford,Larry Edwards,skipped,skipped
