ranks,ballotID,rank1,rank2,rank3
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3446,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3447,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3448,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3449,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3450,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3451,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3452,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3453,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3454,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3455,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3456,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3457,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3458,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3459,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'skipped']",3460,LARRY E. REID,MARCIE HODGE,skipped
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3461,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3462,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['skipped', 'skipped', 'skipped']",3463,skipped,skipped,skipped
"['LARRY E. REID', 'skipped', 'skipped']",3464,LARRY E. REID,skipped,skipped
"['MARCIE HODGE', 'skipped', 'skipped']",3465,MARCIE HODGE,skipped,skipped
"['MARCIE HODGE', 'NEHANDA IMARA', 'MARCIE HODGE']",3466,MARCIE HODGE,NEHANDA IMARA,MARCIE HODGE
"['MARCIE HODGE', 'skipped', 'skipped']",3467,MARCIE HODGE,skipped,skipped
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3468,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'skipped']",3469,LARRY E. REID,MARCIE HODGE,skipped
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3470,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3471,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'skipped', 'skipped']",3472,LARRY E. REID,skipped,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3473,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3474,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3475,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3476,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3477,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['skipped', 'skipped', 'skipped']",3478,skipped,skipped,skipped
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3479,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3480,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'MARCIE HODGE']",3481,LARRY E. REID,LARRY E. REID,MARCIE HODGE
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3482,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3483,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3484,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3485,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['skipped', 'skipped', 'skipped']",3486,skipped,skipped,skipped
