ranks,ballotID,rank1,rank2,rank3
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6866,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'skipped', 'skipped']",6867,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'skipped', 'skipped']",6868,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6869,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6870,skipped,skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6871,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['VICTOR AGUILAR', 'skipped', 'skipped']",6872,VICTOR AGUILAR,skipped,skipped
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6873,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['skipped', 'skipped', 'skipped']",6874,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6875,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6876,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6877,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6878,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['skipped', 'skipped', 'skipped']",6879,skipped,skipped,skipped
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6880,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['ALLEN SCHOENFELD', 'ALLEN SCHOENFELD', 'skipped']",6881,ALLEN SCHOENFELD,ALLEN SCHOENFELD,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6882,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6883,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6884,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6885,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'ALLEN SCHOENFELD', 'ALLEN SCHOENFELD']",6886,ALLEN SCHOENFELD,ALLEN SCHOENFELD,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6887,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['VICTOR AGUILAR', 'LEE THOMAS', 'VICTOR AGUILAR']",6888,VICTOR AGUILAR,LEE THOMAS,VICTOR AGUILAR
"['VICTOR AGUILAR', 'skipped', 'skipped']",6889,VICTOR AGUILAR,skipped,skipped
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6890,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['VICTOR AGUILAR', 'skipped', 'skipped']",6891,VICTOR AGUILAR,skipped,skipped
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6892,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6893,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6894,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['skipped', 'skipped', 'skipped']",6895,skipped,skipped,skipped
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'VICTOR AGUILAR']",6896,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
"['LEE THOMAS', 'skipped', 'skipped']",6897,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6898,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['skipped', 'skipped', 'skipped']",6899,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6900,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6901,skipped,skipped,skipped
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6902,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6903,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6904,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6905,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6906,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['skipped', 'skipped', 'skipped']",6907,skipped,skipped,skipped
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",6908,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6909,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6910,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6911,skipped,skipped,skipped
"['LEE THOMAS', 'skipped', 'skipped']",6912,LEE THOMAS,skipped,skipped
"['skipped', 'skipped', 'skipped']",6913,skipped,skipped,skipped
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6914,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['skipped', 'skipped', 'skipped']",6915,skipped,skipped,skipped
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6916,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6917,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'skipped', 'skipped']",6918,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'skipped']",6919,LEE THOMAS,VICTOR AGUILAR,skipped
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",6920,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['VICTOR AGUILAR', 'LEE THOMAS', 'skipped']",6921,VICTOR AGUILAR,LEE THOMAS,skipped
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6922,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6923,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6924,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'VICTOR AGUILAR']",6925,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6926,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6927,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['skipped', 'skipped', 'skipped']",6928,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6929,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6930,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'skipped']",6931,LEE THOMAS,VICTOR AGUILAR,skipped
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6932,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6933,skipped,skipped,skipped
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6934,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6935,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['LEE THOMAS', 'skipped', 'skipped']",6936,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'skipped', 'skipped']",6937,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6938,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6939,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['skipped', 'skipped', 'skipped']",6940,skipped,skipped,skipped
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6941,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'VICTOR AGUILAR']",6942,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
"['VICTOR AGUILAR', 'skipped', 'skipped']",6943,VICTOR AGUILAR,skipped,skipped
"['LEE THOMAS', 'skipped', 'skipped']",6944,LEE THOMAS,skipped,skipped
"['skipped', 'skipped', 'skipped']",6945,skipped,skipped,skipped
"['ALLEN SCHOENFELD', 'ALLEN SCHOENFELD', 'ALLEN SCHOENFELD']",6946,ALLEN SCHOENFELD,ALLEN SCHOENFELD,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6947,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6948,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6949,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'skipped', 'skipped']",6950,LEE THOMAS,skipped,skipped
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6951,ALLEN SCHOENFELD,LEE THOMAS,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6952,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6953,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6954,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6955,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6956,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6957,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6958,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6959,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6960,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6961,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'skipped']",6962,LEE THOMAS,VICTOR AGUILAR,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'skipped']",6963,LEE THOMAS,VICTOR AGUILAR,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6964,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6965,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'ALLEN SCHOENFELD', 'ALLEN SCHOENFELD']",6966,ALLEN SCHOENFELD,ALLEN SCHOENFELD,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6967,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6968,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6969,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6970,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6971,skipped,skipped,skipped
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6972,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6973,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6974,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'ALLEN SCHOENFELD', 'ALLEN SCHOENFELD']",6975,ALLEN SCHOENFELD,ALLEN SCHOENFELD,ALLEN SCHOENFELD
