ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
15,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
16,"Decker, Marjorie C.","Simmons, E. Denise","Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,"Sullivan, Edward J.","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,"Decker, Marjorie C.","Davis, Henrietta","Seidel, Sam","Kelley, Craig A.","Simmons, E. Denise","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
19,"Simmons, E. Denise","Seidel, Sam","Toomey, Jr., Timothy J.","Davis, Henrietta","Reeves, Kenneth E.","Decker, Marjorie C.","Cheung, Leland","Leavitt, Neal W.","Ward, Larry W.","Maher, David P.","Kelley, Craig A.","vanBeuzekom, Minka Y.","Marquardt, Charles J.","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped
20,"Decker, Marjorie C.","Kelley, Craig A.","Glick, Silvia P.","Flanagan, Mark F.","Maher, David P.","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Toomey, Jr., Timothy J.","Ward, Larry W.","Davis, Henrietta","Cheung, Leland","Leavitt, Neal W.","Marquardt, Charles J.","Podgers, Kathy","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Williamson, James M.","Adkins, Lawrence J."
21,"Davis, Henrietta","Maher, David P.","Cheung, Leland","Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Ward, Larry W.","Toomey, Jr., Timothy J.","Glick, Silvia P.","Leavitt, Neal W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
22,"Decker, Marjorie C.","Davis, Henrietta","Seidel, Sam","Cheung, Leland","Adkins, Lawrence J.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,"vanBeuzekom, Minka Y.","Davis, Henrietta","Seidel, Sam","Kelley, Craig A.","Ward, Larry W.","Marquardt, Charles J.","Stohlman, Jr., Thomas J.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
24,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,"vanBeuzekom, Minka Y.","Davis, Henrietta","Seidel, Sam","Williamson, James M.","Kelley, Craig A.","Marquardt, Charles J.","Stohlman, Jr., Thomas J.","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
26,"Seidel, Sam","Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise","Ward, Larry W.","Leavitt, Neal W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,"Decker, Marjorie C.","Simmons, E. Denise","Cheung, Leland","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
28,"Decker, Marjorie C.","Davis, Henrietta","Seidel, Sam","Leavitt, Neal W.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
29,"Seidel, Sam","Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
30,"Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
31,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Reeves, Kenneth E.","Davis, Henrietta","Decker, Marjorie C.","vanBeuzekom, Minka Y.","Simmons, E. Denise","Ward, Larry W.","Cheung, Leland","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
34,"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Cheung, Leland","Seidel, Sam","Stohlman, Jr., Thomas J.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
35,"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Sullivan, Edward J.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,"Decker, Marjorie C.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,"Decker, Marjorie C.","Toomey, Jr., Timothy J.","Sullivan, Edward J.","Simmons, E. Denise","Maher, David P.","Davis, Henrietta","Kelley, Craig A.","Seidel, Sam","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,"Decker, Marjorie C.","Simmons, E. Denise","Seidel, Sam","Maher, David P.","Kelley, Craig A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,"Decker, Marjorie C.","vanBeuzekom, Minka Y.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,"Decker, Marjorie C.","Kelley, Craig A.","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,"Decker, Marjorie C.","Kelley, Craig A.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,"Davis, Henrietta","Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,"Decker, Marjorie C.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,"vanBeuzekom, Minka Y.","Seidel, Sam","Davis, Henrietta","Cheung, Leland","Kelley, Craig A.","Glick, Silvia P.","Ward, Larry W.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,"Decker, Marjorie C.","Simmons, E. Denise","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,"Maher, David P.","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,"Reeves, Kenneth E.","Kelley, Craig A.","Decker, Marjorie C.","Seidel, Sam","Maher, David P.","Cheung, Leland","Simmons, E. Denise","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,"Maher, David P.","Moree, Gregg J.","Toomey, Jr., Timothy J.","Sullivan, Edward J.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,"Davis, Henrietta","Simmons, E. Denise","Maher, David P.","Reeves, Kenneth E.","vanBeuzekom, Minka Y.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,"Maher, David P.","Decker, Marjorie C.","Davis, Henrietta","Flanagan, Mark F.","Reeves, Kenneth E.","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Seidel, Sam"
52,"Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,"Cheung, Leland","Decker, Marjorie C.","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,"Ward, Larry W.","Leavitt, Neal W.","Decker, Marjorie C.","Seidel, Sam","Reeves, Kenneth E.","Davis, Henrietta","Maher, David P.","Cheung, Leland","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,"Seidel, Sam","Decker, Marjorie C.","Davis, Henrietta","vanBeuzekom, Minka Y.","Ward, Larry W.","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Maher, David P.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,"Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Seidel, Sam","Maher, David P.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Davis, Henrietta","Simmons, E. Denise","Decker, Marjorie C.","Cheung, Leland","Leavitt, Neal W.","Seidel, Sam","Stohlman, Jr., Thomas J.","Glick, Silvia P.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,"Seidel, Sam","Maher, David P.","Decker, Marjorie C.","Kelley, Craig A.","Davis, Henrietta","vanBeuzekom, Minka Y.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"Kelley, Craig A.","Marquardt, Charles J.","Davis, Henrietta","Decker, Marjorie C.","Seidel, Sam","Maher, David P.","Stohlman, Jr., Thomas J.","Cheung, Leland","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
61,"Kelley, Craig A.","Decker, Marjorie C.","Maher, David P.","Davis, Henrietta","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,"Davis, Henrietta","Seidel, Sam","Glick, Silvia P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
63,"Davis, Henrietta","Kelley, Craig A.","Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
64,"Kelley, Craig A.","Seidel, Sam","Simmons, E. Denise","Maher, David P.","Davis, Henrietta","Cheung, Leland","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,"Kelley, Craig A.","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,"Davis, Henrietta","Glick, Silvia P.","Podgers, Kathy","Simmons, E. Denise","vanBeuzekom, Minka Y.","Decker, Marjorie C.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,"Kelley, Craig A.","Ward, Larry W.","Cheung, Leland","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
68,"Stohlman, Jr., Thomas J.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,"Glick, Silvia P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,"Kelley, Craig A.","Seidel, Sam","Decker, Marjorie C.","Simmons, E. Denise","Ward, Larry W.","vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Leavitt, Neal W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,"Cheung, Leland","Decker, Marjorie C.","Simmons, E. Denise","Davis, Henrietta","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
72,"Reeves, Kenneth E.","Decker, Marjorie C.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Sullivan, Edward J.","Cheung, Leland","vanBeuzekom, Minka Y.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
73,"Decker, Marjorie C.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Davis, Henrietta","Maher, David P.","Simmons, E. Denise","Ward, Larry W.","Seidel, Sam","Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,"Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,"Davis, Henrietta","Decker, Marjorie C.","Stohlman, Jr., Thomas J.","Seidel, Sam","Simmons, E. Denise","Cheung, Leland","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
76,"Decker, Marjorie C.","Kelley, Craig A.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
77,"Decker, Marjorie C.","Kelley, Craig A.","Davis, Henrietta","Ward, Larry W.","Cheung, Leland","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Williamson, James M.","Adkins, Lawrence J.","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E."
78,"Decker, Marjorie C.","Toomey, Jr., Timothy J.","Sullivan, Edward J.","Simmons, E. Denise","Reeves, Kenneth E.","Maher, David P.","Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Ward, Larry W.","Moree, Gregg J.","Glick, Silvia P.","Flanagan, Mark F.","Leavitt, Neal W.","Williamson, James M.","vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Podgers, Kathy","Cheung, Leland","Adkins, Lawrence J."
79,"Cheung, Leland","Davis, Henrietta","Kelley, Craig A.","Seidel, Sam","Reeves, Kenneth E.","Glick, Silvia P.","Decker, Marjorie C.","Maher, David P.","Simmons, E. Denise","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,"Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","vanBeuzekom, Minka Y.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
81,"Seidel, Sam","Decker, Marjorie C.","Marquardt, Charles J.","Cheung, Leland","Sullivan, Edward J.","Moree, Gregg J.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,"Maher, David P.","Kelley, Craig A.","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
83,"Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,"Ward, Larry W.","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Leavitt, Neal W.","Cheung, Leland","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Reeves, Kenneth E.","Seidel, Sam","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,"Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
87,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
88,"Kelley, Craig A.","Cheung, Leland","Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.","Davis, Henrietta","Toomey, Jr., Timothy J.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
89,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
90,"Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
91,"Decker, Marjorie C.","Kelley, Craig A.","Seidel, Sam","Simmons, E. Denise","Toomey, Jr., Timothy J.","Maher, David P.","vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Podgers, Kathy","Moree, Gregg J.","Marquardt, Charles J.","Leavitt, Neal W.","Glick, Silvia P.","Flanagan, Mark F.","Cheung, Leland","Davis, Henrietta","Adkins, Lawrence J.","Williamson, James M.","Ward, Larry W.","Reeves, Kenneth E."
92,"Decker, Marjorie C.","Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
93,"Kelley, Craig A.","Ward, Larry W.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
94,"Simmons, E. Denise","Decker, Marjorie C.","Ward, Larry W.","Davis, Henrietta","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,"Marquardt, Charles J.","Ward, Larry W.","Kelley, Craig A.","vanBeuzekom, Minka Y.","Decker, Marjorie C.","Williamson, James M.","Stohlman, Jr., Thomas J.","Leavitt, Neal W.","Davis, Henrietta","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
97,"vanBeuzekom, Minka Y.","Decker, Marjorie C.","Maher, David P.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
98,"Davis, Henrietta","Decker, Marjorie C.","Maher, David P.","Simmons, E. Denise","vanBeuzekom, Minka Y.","Seidel, Sam","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
99,"vanBeuzekom, Minka Y.","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
100,"Stohlman, Jr., Thomas J.","Davis, Henrietta","Simmons, E. Denise","Cheung, Leland","Decker, Marjorie C.","Leavitt, Neal W.","Glick, Silvia P.","Reeves, Kenneth E.","Kelley, Craig A.","Toomey, Jr., Timothy J.","Ward, Larry W.","Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
101,"Kelley, Craig A.","Decker, Marjorie C.","Seidel, Sam","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
102,"Kelley, Craig A.","Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.","Simmons, E. Denise","Leavitt, Neal W.","Cheung, Leland","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
103,"Davis, Henrietta","Maher, David P.","Seidel, Sam","Toomey, Jr., Timothy J.","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,"Cheung, Leland","Kelley, Craig A.","Davis, Henrietta","Simmons, E. Denise",overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
105,"vanBeuzekom, Minka Y.","Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Ward, Larry W.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,"Davis, Henrietta","Kelley, Craig A.","Cheung, Leland","Reeves, Kenneth E.","Simmons, E. Denise","Leavitt, Neal W.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Glick, Silvia P.","Seidel, Sam","Maher, David P.","Decker, Marjorie C.","Adkins, Lawrence J.","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Marquardt, Charles J.","Flanagan, Mark F.","Moree, Gregg J.","Podgers, Kathy"
