Ballots with first choice:,Number of Ballots,"Benzan, Dennis A. ranked in top 3","Carlone, Dennis J. ranked in top 3","Cheung, Leland ranked in top 3","Connolly, Mike ranked in top 3","Courtney, Kim ranked in top 3","Davidson, Mariko ranked in top 3","Degoes, Jr., Plinio T. ranked in top 3","Devereux, Jan ranked in top 3","Dietrich, Xavier ranked in top 3","Kelley, Craig A. ranked in top 3","Levy, Ilan S. ranked in top 3","Maher, David P. ranked in top 3","Mahoney, Jr., Paul F. ranked in top 3","Mazen, Nadeem A. ranked in top 3","McGovern, Marc C. ranked in top 3","Mello, Gary W. ranked in top 3","Moree, Gregg J. ranked in top 3","Sanzone, John ranked in top 3","Simmons, E. Denise ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Waite, Romaine ranked in top 3","Williamson, James M. ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Levy, Ilan S.",153.0,5.88,13.73,9.15,24.18,7.19,15.69,1.96,14.38,3.92,4.58,100.0,3.92,4.58,14.38,3.27,7.84,0.65,0.65,5.88,11.76,8.5,2.61,15.03,0.65
"Maher, David P.",1637.0,16.43,4.28,18.63,2.57,0.61,1.34,0.18,6.66,0.43,14.05,1.1,100.0,10.69,7.45,26.94,0.61,1.04,0.43,23.64,33.54,0.98,0.49,4.34,0.06
"Mahoney, Jr., Paul F.",251.0,10.36,2.79,12.75,6.37,1.59,1.2,0.0,4.38,0.4,8.76,1.2,35.06,100.0,6.37,11.95,2.39,3.19,1.2,8.76,41.04,1.2,0.4,4.38,0.0
"Mazen, Nadeem A.",1929.0,7.93,16.54,11.09,15.97,2.02,32.3,0.78,11.04,0.31,6.48,1.61,6.84,0.98,100.0,10.89,1.71,1.04,1.61,10.47,4.2,19.75,1.61,9.07,0.26
"McGovern, Marc C.",1202.0,25.71,6.99,25.62,5.99,0.25,6.57,0.33,6.57,0.58,12.81,0.33,18.97,1.91,11.65,100.0,1.75,0.5,0.33,35.52,8.82,1.58,0.33,13.48,0.0
"Mello, Gary W.",117.0,5.98,11.97,12.82,10.26,8.55,9.4,2.56,4.27,8.55,11.97,7.69,13.68,7.69,7.69,5.98,100.0,11.11,9.4,1.71,8.55,3.42,4.27,7.69,0.0
"Moree, Gregg J.",77.0,11.69,3.9,16.88,3.9,0.0,3.9,1.3,3.9,0.0,6.49,0.0,16.88,3.9,12.99,10.39,3.9,100.0,9.09,24.68,12.99,2.6,2.6,5.19,0.0
"Sanzone, John",32.0,0.0,0.0,15.62,9.38,3.12,25.0,3.12,6.25,3.12,18.75,3.12,9.38,0.0,9.38,6.25,9.38,6.25,100.0,9.38,21.88,6.25,3.12,3.12,0.0
"Simmons, E. Denise",1710.0,33.8,6.2,22.05,5.15,1.17,3.8,0.41,3.57,0.88,9.71,0.99,16.78,1.29,10.35,20.35,0.53,1.23,0.7,100.0,18.54,4.91,1.17,10.41,0.18
"Toomey, Jr., Timothy J.",1415.0,14.98,3.96,12.86,8.98,0.99,2.12,0.28,0.78,0.21,9.4,4.1,33.71,7.7,4.17,12.86,1.2,0.99,1.2,21.27,100.0,1.27,0.92,3.96,0.35
"Waite, Romaine",273.0,14.65,14.29,8.42,13.19,1.47,23.81,2.2,12.45,0.73,6.59,1.83,2.93,1.47,37.0,8.79,0.0,0.0,0.73,16.85,3.3,100.0,1.47,10.26,0.37
"Williamson, James M.",72.0,12.5,8.33,9.72,13.89,1.39,1.39,2.78,5.56,0.0,11.11,16.67,9.72,0.0,12.5,9.72,26.39,1.39,4.17,6.94,5.56,9.72,100.0,16.67,0.0
"vanBeuzekom, Minka Y.",1014.0,9.76,17.55,22.49,14.99,2.27,11.44,0.89,13.21,0.79,14.89,2.37,7.69,1.18,19.82,13.31,1.48,1.18,0.89,14.0,3.75,3.65,1.68,100.0,0.1
writeIns,26.0,0.0,0.0,3.85,11.54,3.85,3.85,3.85,3.85,0.0,3.85,3.85,0.0,11.54,11.54,3.85,0.0,0.0,3.85,0.0,0.0,7.69,0.0,3.85,100.0
