contest_name,place,state,year,date,office,rcv_type,exhaust_on_overvote,exhaust_on_repeated_skipped_rankings,contest_rank_limit,number_of_winners,tabulation_num,unique_id,winner,number_of_candidates,number_of_rounds,final_round_winner_vote,final_round_winner_percent,final_round_active_votes,first_round_winner_vote,first_round_winner_percent,first_round_active_votes,first_round_winner_place,final_round_winner_votes_over_first_round_valid,winners_consensus_value,condorcet,come_from_behind,effective_ballot_length,first_round_overvote,ranked_single,ranked_multiple,ranked_3_or_more,total_fully_ranked,ranked_winner,includes_duplicate_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_ballots_with_overvote,total_undervote,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit
Burlington Mayor 2006,Burlington,VT,2006,3/7/2006,Mayor,rcv_single_winner,True,False,5,1,1,Burlington_03072006_Mayor_tab1,Bob Kiss,5,5,4761.0,54.43631374342556,8746.0,3809.0,38.954796481898136,9778.0,1,48.69093884229903,71.94722847208018,yes,no,0: 87; 1: 1807; 2: 3262; 3: 1768; 4: 338; 5: 2603,10.0,1807.0,7977.0,4717.0,2603.0,7439,0.0,0.0,32.0,9865.0,32.0,77.0,10.0,1032.0,2.0,0.0,1030.0,0.0
San Francisco Board of Supervisors District 10 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 10,rcv_single_winner,True,False,3,1,1,SanFrancisco_11072006_BoardofSupervisorsDistrict10_tab1,Sophie Maxwell,7,1,7997.0,55.837173579109056,14322.0,7997.0,55.837173579109056,14322.0,1,55.83717357910907,71.74277335567658,yes,no,0: 2381; 1: 5439; 2: 2118; 3: 6765,169.0,5439.0,8883.0,6765.0,6765.0,10275,0.0,464.0,698.0,16703.0,246.0,2212.0,169.0,0.0,0.0,0.0,0.0,0.0
San Francisco Board of Supervisors District 2 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 2,rcv_single_winner,True,False,3,1,1,SanFrancisco_11072006_BoardofSupervisorsDistrict2_tab1,Michela Alioto-Pier,2,1,16707.0,79.89956958393113,20910.0,16707.0,79.89956958393113,20910.0,1,79.89956958393113,86.78144428503109,yes,no,0: 5276; 1: 15741; 2: 5045; 3: 124,28.0,15741.0,5169.0,124.0,4993.0,18146,0.0,767.0,815.0,26186.0,49.0,5248.0,28.0,0.0,0.0,0.0,0.0,0.0
San Francisco Board of Supervisors District 4 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 4,rcv_single_winner,True,False,3,1,1,SanFrancisco_11072006_BoardofSupervisorsDistrict4_tab1,Ed Jew,6,6,8388.0,52.50704225352112,15975.0,5184.0,26.16331886544867,19814.0,1,42.3337034420107,52.9474109215706,yes,no,0: 2171; 1: 4828; 2: 2643; 3: 12343,201.0,4828.0,14986.0,12343.0,12343.0,10491,0.0,512.0,794.0,21985.0,301.0,1970.0,201.0,3839.0,42.0,0.0,2869.0,928.0
San Francisco Board of Supervisors District 6 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 6,rcv_single_winner,True,False,3,1,1,SanFrancisco_11072006_BoardofSupervisorsDistrict6_tab1,Chris Daly,8,5,8968.0,50.82171596962483,17646.0,8746.0,48.748676216487375,17941.0,1,49.98606543670922,60.71567917061479,yes,no,0: 1974; 1: 7835; 2: 2306; 3: 7800,165.0,7835.0,10106.0,7800.0,7800.0,10893,0.0,456.0,698.0,19915.0,258.0,1809.0,165.0,295.0,7.0,0.0,236.0,52.0
San Francisco Board of Supervisors District 8 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 8,rcv_single_winner,True,False,3,1,1,SanFrancisco_11072006_BoardofSupervisorsDistrict8_tab1,Bevan Dufty,3,1,20924.0,65.97509065111146,31715.0,20924.0,65.97509065111146,31715.0,1,65.97509065111146,84.49944821062589,yes,no,0: 3402; 1: 14619; 2: 8289; 3: 8807,43.0,14619.0,17096.0,8807.0,8807.0,26799,0.0,845.0,960.0,35117.0,118.0,3359.0,43.0,0.0,0.0,0.0,0.0,0.0
San Francisco Mayor 2007,San Francisco,CA,2007,11/6/2007,Mayor,rcv_single_winner,True,False,3,1,1,SanFrancisco_11062007_Mayor_tab1,Gavin Newsom,12,1,106395.0,73.5127478753541,144730.0,106395.0,73.5127478753541,144730.0,1,73.51274787535411,80.97630069785117,yes,no,0: 4735; 1: 78889; 2: 17360; 3: 48481,499.0,78889.0,65841.0,48481.0,48481.0,117197,0.0,2911.0,3717.0,149465.0,866.0,4236.0,499.0,0.0,0.0,0.0,0.0,0.0
Pierce County Assessor - Treasurer 2008,Pierce County,WA,2008,11/4/2008,County Assessor-Treasurer,rcv_single_winner,True,False,3,1,1,PierceCounty_11042008_CountyAssessorTreasurer_tab1,Dale Washam,6,6,98366.0,51.926538670664556,189433.0,65676.0,25.024481133333587,262447.0,1,37.480329361737795,42.75529916516478,yes,no,0: 50324; 1: 83260; 2: 28864; 3: 150323,363.0,83066.0,179627.0,150323.0,150323.0,112210,10933.0,724.0,12339.0,312771.0,825.0,49961.0,363.0,73014.0,237.0,0.0,47506.0,25271.0
"Pierce County Council, District 2 2008",Pierce County,WA,2008,11/4/2008,County Council District 2,rcv_single_winner,True,False,3,1,1,PierceCounty_11042008_CountyCouncilDistrict2_tab1,Joyce Mcdonald,3,3,21078.0,55.26191599811231,38142.0,19967.0,49.9175,40000.0,1,52.695,75.6225,yes,no,0: 3661; 1: 16090; 2: 6800; 3: 17110,31.0,16086.0,23931.0,17110.0,17110.0,30249,2227.0,86.0,2353.0,43661.0,57.0,3630.0,31.0,1858.0,2.0,0.0,1856.0,0.0
Pierce County Executive 2008,Pierce County,WA,2008,11/4/2008,County Executive Member,rcv_single_winner,True,False,3,1,1,PierceCounty_11042008_CountyExecutiveMember_tab1,Pat Mccarthy,4,4,136346.0,50.75454701121955,268638.0,79235.0,26.488306165839827,299132.0,2,45.58054638086196,58.19069842076408,yes,yes,0: 13639; 1: 91704; 2: 54245; 3: 153183,532.0,91567.0,207868.0,153183.0,153183.0,174067,19146.0,548.0,20711.0,312771.0,1226.0,13107.0,532.0,30494.0,186.0,0.0,30308.0,0.0
San Francisco Board of Supervisors District 1 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 1,rcv_single_winner,True,False,3,1,1,SanFrancisco_11042008_BoardofSupervisorsDistrict1_tab1,Eric Mar,9,9,13152.0,50.66841314481643,25957.0,11649.0,40.50980664904715,28756.0,1,45.73654193907358,59.98748087355682,yes,no,0: 2938; 1: 7208; 2: 4786; 3: 16762,242.0,7228.0,21640.0,16762.0,16762.0,17250,2311.0,131.0,2736.0,31694.0,332.0,2696.0,242.0,2799.0,18.0,0.0,861.0,1920.0
San Francisco Board of Supervisors District 11 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 11,rcv_single_winner,True,False,3,1,1,SanFrancisco_11042008_BoardofSupervisorsDistrict11_tab1,John Avalos,9,9,10225.0,52.932649997411595,19317.0,6964.0,28.22518542536375,24673.0,1,41.44206217322579,51.643496939974874,yes,no,0: 2236; 1: 5260; 2: 2926; 3: 16487,410.0,5321.0,19538.0,16487.0,16487.0,12742,3168.0,236.0,3856.0,26909.0,552.0,1826.0,410.0,5356.0,62.0,0.0,1742.0,3552.0
San Francisco Board of Supervisors District 3 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 3,rcv_single_winner,True,False,3,1,1,SanFrancisco_11042008_BoardofSupervisorsDistrict3_tab1,David Chiu,9,9,13582.0,59.37486338797814,22875.0,10270.0,37.76012942128097,27198.0,1,49.93749540407383,58.206485771012574,yes,no,0: 2888; 1: 4731; 2: 3513; 3: 18954,284.0,4759.0,22578.0,18954.0,18954.0,15831,1892.0,209.0,2409.0,30086.0,370.0,2604.0,284.0,4323.0,32.0,0.0,1373.0,2918.0
San Francisco Board of Supervisors District 4 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 4,rcv_single_winner,True,False,3,1,1,SanFrancisco_11042008_BoardofSupervisorsDistrict4_tab1,Carmen Chu,3,1,15405.0,52.32854376847039,29439.0,15405.0,52.32854376847039,29439.0,1,52.32854376847039,81.36145928869867,yes,no,0: 2189; 1: 9397; 2: 4711; 3: 15331,83.0,9388.0,20079.0,15331.0,15331.0,23952,4160.0,191.0,4451.0,31628.0,150.0,2106.0,83.0,0.0,0.0,0.0,0.0,0.0
San Francisco Board of Supervisors District 5 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 5,rcv_single_winner,True,False,3,1,1,SanFrancisco_11042008_BoardofSupervisorsDistrict5_tab1,Ross Mirkarimi,3,1,27564.0,77.29885863316413,35659.0,27564.0,77.29885863316413,35659.0,1,77.29885863316413,92.66945231217926,yes,no,0: 5516; 1: 14095; 2: 3674; 3: 17890,104.0,14078.0,21612.0,17890.0,17890.0,33045,4424.0,224.0,4784.0,41175.0,177.0,5412.0,104.0,0.0,0.0,0.0,0.0,0.0
San Francisco Board of Supervisors District 7 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 7,rcv_single_winner,True,False,3,1,1,SanFrancisco_11042008_BoardofSupervisorsDistrict7_tab1,Sean R. Elsbernd,3,1,22105.0,70.92892668057115,31165.0,22105.0,70.92892668057115,31165.0,1,70.92892668057115,91.12145034493824,yes,no,0: 5504; 1: 14040; 2: 2580; 3: 14545,53.0,14030.0,17166.0,14545.0,14545.0,28398,4672.0,234.0,4970.0,36669.0,102.0,5451.0,53.0,0.0,0.0,0.0,0.0,0.0
San Francisco Board of Supervisors District 9 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 9,rcv_single_winner,True,False,3,1,1,SanFrancisco_11042008_BoardofSupervisorsDistrict9_tab1,David Campos,7,7,12637.0,53.83402913862145,23474.0,9468.0,35.74718719323416,26486.0,1,47.711998791814544,73.14052707090538,yes,no,0: 2398; 1: 4083; 2: 2851; 3: 19552,313.0,4121.0,22521.0,19552.0,19552.0,19372,2161.0,170.0,2662.0,28884.0,407.0,2085.0,313.0,3012.0,39.0,0.0,1234.0,1739.0
Burlington Mayor 2009,Burlington,VT,2009,3/3/2009,Mayor,rcv_single_winner,True,False,5,1,1,Burlington_03032009_Mayor_tab1,Bob Kiss,5,5,4313.0,51.51080855129583,8373.0,2585.0,28.799019607843135,8976.0,2,48.05035650623886,54.87967914438503,no,yes,0: 8; 1: 1481; 2: 1914; 3: 1802; 4: 926; 5: 2853,4.0,1482.0,7498.0,5585.0,2853.0,6183,0.0,108.0,113.0,8984.0,6.0,4.0,4.0,603.0,1.0,0.0,602.0,0.0
Pierce County Auditor 2009,Pierce County,WA,2009,11/3/2009,County Auditor,rcv_single_winner,True,False,3,1,1,PierceCounty_11032009_CountyAuditor_tab1,Julie Anderson,3,2,76699.0,50.10321265726865,153082.0,76634.0,49.9153248918764,153528.0,1,49.9576624459382,82.55823042050962,yes,no,0: 6459; 1: 48485; 2: 25004; 3: 80039,193.0,48468.0,105143.0,80039.0,80039.0,126750,15635.0,361.0,16271.0,159987.0,366.0,6266.0,193.0,446.0,2.0,0.0,444.0,0.0
Minneapolis Mayor 2009,Minneapolis,MN,2009,11/6/2009,Mayor,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Mayor_tab1,R.T. Rybak,11,1,33234.0,73.59656310206611,45157.0,33234.0,73.59656310206611,45157.0,1,73.59656310206613,81.87434949177315,yes,no,0: 811; 1: 24236; 2: 6769; 3: 14152,0.0,24236.0,20921.0,14152.0,14152.0,36972,72.0,0.0,72.0,45968.0,0.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis Park District 1 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 1,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_PRBoardDistrict1_tab1,Liz Wielinski,3,1,4335.0,74.20403971242725,5842.0,4335.0,74.20403971242725,5842.0,1,74.20403971242725,84.64566929133859,yes,no,0: 1065; 1: 3852; 2: 634; 3: 1356,0.0,3852.0,1990.0,1356.0,1356.0,4945,17.0,0.0,17.0,6907.0,0.0,1065.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis Park District 2 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 2,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_PRBoardDistrict2_tab1,Jon Olson,2,1,2874.0,56.35294117647058,5100.0,2874.0,56.35294117647058,5100.0,1,56.35294117647058,72.74509803921568,yes,no,0: 844; 1: 3298; 2: 1708; 3: 94,0.0,3298.0,1802.0,94.0,1767.0,3710,14.0,0.0,14.0,5944.0,0.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis Park District 3 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 3,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_PRBoardDistrict3_tab1,Scott Vreeland,2,1,3430.0,72.42398648648648,4736.0,3430.0,72.42398648648648,4736.0,1,72.42398648648648,82.91807432432432,yes,no,0: 1424; 1: 3456; 2: 1211; 3: 69,0.0,3456.0,1280.0,69.0,1215.0,3927,25.0,0.0,25.0,6160.0,0.0,1424.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis Park District 4 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 4,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_PRBoardDistrict4_tab1,Anita Tabb,1,1,5012.0,97.45284853198521,5143.0,5012.0,97.45284853198521,5143.0,1,97.45284853198523,97.82228271436905,yes,no,0: 2246; 1: 5067; 2: 76,0.0,5067.0,76.0,0.0,5031.0,5031,45.0,0.0,45.0,7389.0,0.0,2246.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis Park District 5 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 5,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_PRBoardDistrict5_tab1,Carol Kummer,5,5,3620.0,52.53228849223625,6891.0,2964.0,37.76758409785933,7848.0,1,46.12640163098879,61.569826707441386,yes,no,0: 1534; 1: 3465; 2: 1870; 3: 2513,0.0,3465.0,4383.0,2513.0,2513.0,4832,16.0,0.0,16.0,9382.0,0.0,1534.0,0.0,957.0,0.0,0.0,893.0,64.0
Minneapolis Park District 6 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 6,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_PRBoardDistrict6_tab1,Brad Bourn,4,4,4300.0,55.08583141173455,7806.0,4023.0,48.156571702178596,8354.0,1,51.47234857553268,63.71797941106057,yes,no,0: 1832; 1: 4223; 2: 2007; 3: 2124,0.0,4223.0,4131.0,2124.0,2124.0,5323,18.0,0.0,18.0,10186.0,0.0,1832.0,0.0,548.0,0.0,0.0,548.0,0.0
Minneapolis City Council Ward 1 2009,Minneapolis,MN,2009,11/6/2009,Ward 1 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward1CityCouncil_tab1,Kevin Reich,5,1,1997.0,50.31494079113126,3969.0,1997.0,50.31494079113126,3969.0,1,50.31494079113127,70.29478458049887,yes,no,0: 47; 1: 1469; 2: 1045; 3: 1455,0.0,1469.0,2500.0,1455.0,1455.0,2790,8.0,0.0,8.0,4016.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 10 2009,Minneapolis,MN,2009,11/6/2009,Ward 10 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward10CityCouncil_tab1,Meg Tuthill,4,1,2405.0,72.24391709221987,3329.0,2405.0,72.24391709221987,3329.0,1,72.24391709221989,85.34094322619406,yes,no,0: 102; 1: 1482; 2: 872; 3: 975,0.0,1482.0,1847.0,975.0,975.0,2841,4.0,0.0,4.0,3431.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 11 2009,Minneapolis,MN,2009,11/6/2009,Ward 11 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward11CityCouncil_tab1,John Quincy,3,1,2551.0,63.61596009975061,4010.0,2551.0,63.61596009975061,4010.0,1,63.61596009975062,81.2219451371571,yes,no,0: 225; 1: 1867; 2: 1633; 3: 510,0.0,1867.0,2143.0,510.0,510.0,3257,12.0,1.0,13.0,4235.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 12 2009,Minneapolis,MN,2009,11/6/2009,Ward 12 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward12CityCouncil_tab1,Sandy Colvin Roy,4,1,3035.0,64.32810512929207,4718.0,3035.0,64.32810512929207,4718.0,1,64.32810512929207,77.74480712166172,yes,no,0: 100; 1: 2361; 2: 1133; 3: 1224,0.0,2361.0,2357.0,1224.0,1224.0,3668,9.0,0.0,9.0,4818.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 13 2009,Minneapolis,MN,2009,11/6/2009,Ward 13 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward13CityCouncil_tab1,Betsy Hodges,3,1,4141.0,69.23591372680153,5981.0,4141.0,69.23591372680153,5981.0,1,69.23591372680153,78.96672797191106,yes,no,0: 78; 1: 3427; 2: 1553; 3: 1001,0.0,3427.0,2554.0,1001.0,1001.0,4723,18.0,0.0,18.0,6059.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 2 2009,Minneapolis,MN,2009,11/6/2009,Ward 2 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward2CityCouncil_tab1,Cam Gordon,2,1,2260.0,84.04611379695054,2689.0,2260.0,84.04611379695054,2689.0,1,84.04611379695054,88.58311640014875,yes,no,0: 153; 1: 2214; 2: 449; 3: 26,0.0,2214.0,475.0,26.0,437.0,2382,16.0,0.0,16.0,2842.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 3 2009,Minneapolis,MN,2009,11/6/2009,Ward 3 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward3CityCouncil_tab1,Diane Hofstede,4,1,1465.0,65.93159315931592,2222.0,1465.0,65.93159315931592,2222.0,1,65.93159315931592,79.52295229522952,yes,no,0: 35; 1: 1062; 2: 519; 3: 641,0.0,1062.0,1160.0,641.0,641.0,1767,7.0,0.0,7.0,2257.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 4 2009,Minneapolis,MN,2009,11/6/2009,Ward 4 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward4CityCouncil_tab1,Barbara A. Johnson,4,3,1618.0,52.09272376046361,3106.0,1546.0,46.862685662321915,3299.0,1,49.04516520157623,66.7474992421946,yes,no,0: 23; 1: 1416; 2: 633; 3: 1250,0.0,1416.0,1883.0,1250.0,1250.0,2202,2.0,0.0,2.0,3322.0,0.0,23.0,0.0,193.0,0.0,0.0,193.0,0.0
