raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote,round_11_vote,round_12_vote,round_13_vote,round_14_vote,round_15_vote,round_16_vote,round_17_vote,round_18_vote,round_19_vote,round_20_vote,round_21_vote,round_22_vote,round_23_vote,round_24_vote,round_25_vote,round_26_vote,round_27_vote,round_28_vote,round_29_vote,round_30_vote,round_31_vote,round_32_vote,round_33_vote,round_34_vote,round_35_vote
SanFrancisco__2004__District2__SanFranciscoDistrict22004,Roger E. Schulke,,1.0,1957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District2__SanFranciscoDistrict22004,Steve Braccini,,1.0,5791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District2__SanFranciscoDistrict22004,Michela Alioto-pier,1.0,,21118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District2__SanFranciscoDistrict22004,Jay R. Shah,,1.0,1387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District3__SanFranciscoDistrict32004,Brian Murphy 0'flynn,,1.0,4604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District3__SanFranciscoDistrict32004,Eugene Chi-ching Wong,,1.0,3569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District3__SanFranciscoDistrict32004,Arron Peskin,1.0,,16177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District3__SanFranciscoDistrict32004,Sal Busalacchi,,1.0,1555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Bill Barnes,,16.0,1664.0,1670.0,1671.0,1674.0,1680.0,1690.0,1709.0,1719.0,1731.0,1751.0,1804.0,1871.0,1945.0,1977.0,2018.0,2142.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Julian Davis,,8.0,418.0,422.0,429.0,432.0,443.0,462.0,467.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Susan C. King,,14.0,977.0,980.0,984.0,989.0,1007.0,1034.0,1051.0,1072.0,1116.0,1147.0,1206.0,1237.0,1293.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Michael E. O'connor,,13.0,868.0,870.0,873.0,877.0,882.0,906.0,930.0,944.0,973.0,1012.0,1036.0,1079.0,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Phillip House,,2.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Francis Somesel,,6.0,368.0,368.0,370.0,372.0,379.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Joseph Blue,,11.0,802.0,805.0,807.0,812.0,814.0,819.0,842.0,851.0,860.0,876.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Lisa Feldstein,,20.0,3257.0,3265.0,3274.0,3278.0,3289.0,3309.0,3323.0,3381.0,3430.0,3484.0,3566.0,3671.0,3765.0,3851.0,4070.0,4313.0,4636.0,4759.0,5064.0,5628.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Patrick M. Ciocca,,3.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Vivian Wilder,,4.0,130.0,134.0,135.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Ross Mirkarimi,20.0,,9947.0,9950.0,9952.0,9961.0,9969.0,9996.0,10034.0,10094.0,10158.0,10261.0,10387.0,10472.0,10635.0,10766.0,10946.0,11262.0,11659.0,11921.0,12287.0,13211.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Rob Anderson,,5.0,336.0,341.0,342.0,344.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Phoenix Streets,,10.0,657.0,658.0,660.0,666.0,673.0,699.0,714.0,731.0,752.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,H. Brown,,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Tys Sniffen,,9.0,686.0,687.0,688.0,690.0,692.0,707.0,719.0,730.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Jim Siegel,,17.0,1540.0,1542.0,1543.0,1548.0,1551.0,1565.0,1608.0,1639.0,1657.0,1743.0,1763.0,1820.0,1866.0,2053.0,2111.0,2184.0,2242.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Emmett Gilman,,7.0,393.0,394.0,398.0,400.0,405.0,407.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Brett Wheeler,,12.0,832.0,833.0,835.0,839.0,845.0,871.0,881.0,896.0,929.0,951.0,995.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Nick Waugh,,19.0,3025.0,3025.0,3027.0,3030.0,3035.0,3053.0,3070.0,3090.0,3118.0,3187.0,3243.0,3296.0,3391.0,3441.0,3540.0,3732.0,3900.0,4063.0,5041.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Andrew Sullivan,,18.0,2477.0,2478.0,2479.0,2491.0,2494.0,2501.0,2550.0,2570.0,2580.0,2639.0,2663.0,2716.0,2771.0,2831.0,2870.0,2982.0,3068.0,3601.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Robert Haaland,,20.0,5124.0,5126.0,5130.0,5133.0,5146.0,5180.0,5192.0,5226.0,5254.0,5318.0,5384.0,5461.0,5538.0,5628.0,5740.0,5956.0,6319.0,6409.0,6636.0,7272.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District5__SanFranciscoDistrict52004,Dan Kalb,,15.0,1398.0,1400.0,1400.0,1402.0,1412.0,1430.0,1449.0,1466.0,1493.0,1540.0,1582.0,1610.0,1698.0,1739.0,1867.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Art Belenson,,3.0,510.0,517.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Michael Patrick Mallen,,6.0,975.0,1004.0,1017.0,1040.0,1066.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Christine Linnenbach,,12.0,6784.0,6817.0,6865.0,6962.0,7078.0,7231.0,7452.0,7782.0,8490.0,9160.0,9678.0,10491.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Milton `Rennie` O`Brien,,11.0,2372.0,2410.0,2481.0,2525.0,2588.0,2691.0,2847.0,3090.0,3300.0,3799.0,4383.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Gregory Corrales,,9.0,2560.0,2589.0,2618.0,2658.0,2721.0,2767.0,2878.0,2946.0,3110.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Sean R. Elsbernd,12.0,,10505.0,10547.0,10568.0,10667.0,10740.0,10884.0,11018.0,11198.0,11827.0,12446.0,13066.0,13834.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Sheela Kini,,2.0,349.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Vernon C. Grigg III,,8.0,2091.0,2104.0,2114.0,2151.0,2186.0,2252.0,2323.0,2451.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,David Parker,,1.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Isaac Wang,,10.0,2728.0,2757.0,2785.0,2813.0,2868.0,2926.0,3007.0,3110.0,3263.0,3533.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Svelana Kaff,,4.0,546.0,573.0,592.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Pat Lakey,,5.0,763.0,783.0,804.0,823.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District7__SanFranciscoDistrict72004,Shawn Reifsteck,,7.0,1108.0,1136.0,1187.0,1210.0,1236.0,1286.0,1388.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District9__SanFranciscoDistrict92004,James Boris Perez,,1.0,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District9__SanFranciscoDistrict92004,Tom Ammiano,1.0,,12592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District9__SanFranciscoDistrict92004,Miguel Bustos,,1.0,4346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District9__SanFranciscoDistrict92004,Lucrecia Bermudez,,1.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District9__SanFranciscoDistrict92004,Steve Zeltzer,,1.0,806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District9__SanFranciscoDistrict92004,Renee Saucedo,,1.0,5497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2004__District9__SanFranciscoDistrict92004,Write-In,,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__AssessorRecorder__SanFranciscoAssessorRecorder2005,Anthony Faber,,1.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__AssessorRecorder__SanFranciscoAssessorRecorder2005,Ronald Chun,,2.0,33294.0,33302.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__AssessorRecorder__SanFranciscoAssessorRecorder2005,Phil Ting,3.0,,94062.0,94064.0,110053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__AssessorRecorder__SanFranciscoAssessorRecorder2005,Gerardo Sandoval,,3.0,71850.0,71854.0,79261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__Treasurer__SanFranciscoTreasurer2005,Jose Cisneros,1.0,,108155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__Treasurer__SanFranciscoTreasurer2005,Calvin Louie,,1.0,43341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__Treasurer__SanFranciscoTreasurer2005,Manuel B. Valle,,1.0,8820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2005__Treasurer__SanFranciscoTreasurer2005,Isaac Wang,,1.0,16175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington__2006__Mayor__BurlingtonMayor2006,C03,5.0,,3809.0,3827.0,3857.0,3898.0,4761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington__2006__Mayor__BurlingtonMayor2006,C01,,3.0,119.0,128.0,136.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington__2006__Mayor__BurlingtonMayor2006,C04,,5.0,3106.0,3122.0,3135.0,3157.0,3985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington__2006__Mayor__BurlingtonMayor2006,C02,,4.0,2609.0,2618.0,2637.0,2675.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington__2006__Mayor__BurlingtonMayor2006,C06,,2.0,78.0,78.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington__2006__Mayor__BurlingtonMayor2006,C05,,1.0,57.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict10__SanFranciscoBoardofSupervisorsDistrict102006,Sophie Maxwell,1.0,,7997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict10__SanFranciscoBoardofSupervisorsDistrict102006,Espanola Jackson,,1.0,1483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict10__SanFranciscoBoardofSupervisorsDistrict102006,Dwayne Jusino,,1.0,1723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict10__SanFranciscoBoardofSupervisorsDistrict102006,Marie L. Harrison,,1.0,1166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict10__SanFranciscoBoardofSupervisorsDistrict102006,Rodney Hampton Jr.,,1.0,1196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict10__SanFranciscoBoardofSupervisorsDistrict102006,Charlie Walker,,1.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict10__SanFranciscoBoardofSupervisorsDistrict102006,Sala Chandler,,1.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict2__SanFranciscoBoardofSupervisorsDistrict22006,Michela Alioto-pier,1.0,,16707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict2__SanFranciscoBoardofSupervisorsDistrict22006,Write-In,,1.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict2__SanFranciscoBoardofSupervisorsDistrict22006,Vilma Guinto Peoro,,1.0,3487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict4__SanFranciscoBoardofSupervisorsDistrict42006,Ron Dudum,,6.0,5134.0,5134.0,5152.0,5521.0,6305.0,7587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict4__SanFranciscoBoardofSupervisorsDistrict42006,Houston Zheng,,2.0,234.0,234.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict4__SanFranciscoBoardofSupervisorsDistrict42006,Jaynry Mak,,5.0,4569.0,4569.0,4609.0,5012.0,5851.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict4__SanFranciscoBoardofSupervisorsDistrict42006,Write-In,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict4__SanFranciscoBoardofSupervisorsDistrict42006,Doug Chan,,4.0,3236.0,3236.0,3285.0,3414.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict4__SanFranciscoBoardofSupervisorsDistrict42006,Ed Jew,6.0,,5184.0,5184.0,5245.0,5441.0,6455.0,8388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict4__SanFranciscoBoardofSupervisorsDistrict42006,David Ferguson,,3.0,1455.0,1455.0,1490.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,Robert Jordan,,1.0,125.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,Chris Daly,5.0,,8746.0,8763.0,8803.0,8871.0,8968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,Matt Drake,,5.0,679.0,688.0,725.0,830.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,Rob Black,,5.0,7115.0,7134.0,7173.0,7215.0,7303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,Davy Jones,,5.0,389.0,402.0,421.0,463.0,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,"Manuel Jimenez, Jr.",,4.0,317.0,328.0,375.0,399.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,Viliam Dugovic,,3.0,340.0,348.0,358.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict6__SanFranciscoBoardofSupervisorsDistrict62006,George Dias,,2.0,230.0,231.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict8__SanFranciscoBoardofSupervisorsDistrict82006,Starchild,,1.0,1537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict8__SanFranciscoBoardofSupervisorsDistrict82006,Write-In,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict8__SanFranciscoBoardofSupervisorsDistrict82006,Bevan Dufty,1.0,,20924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2006__BoardofSupervisorsDistrict8__SanFranciscoBoardofSupervisorsDistrict82006,Alix Amelia Rosenthal,,1.0,9251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Harold M. Hoogasian,,1.0,8515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Josh Wolf,,1.0,1815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Gavin Newsom,1.0,,106395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Michael Powers,,1.0,533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Write-In Patrick Monette-Shaw,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Write-In Rodney Hauge,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Ahimsa Porter Sumchai,,1.0,3445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Write-In Robert Kully,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Write-In Robert McCullough,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Quintin Mecke,,1.0,9173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,George Davis,,1.0,666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Write-In Lea Sherman,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Write-In Kenneth Kahn,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,John Rinaldi,,1.0,2556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Grasshopper Alec Kaplan,,1.0,1465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,Lonnie S. Holmes,,1.0,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SanFrancisco__2007__Mayor__SanFranciscoMayor2007,H. Brown,,1.0,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
