Candidate 0000403PATRICIA KERNIGHAN                                0000001000003500
Candidate 0000404JENNIFER S. PAE                                   0000002000003500
Candidate 0000078Write-In                                          0000003000003510
Precinct  0000205302200                                            0000204000000000
Precinct  0000206302400                                            0000205000000000
Precinct  0000207302500                                            0000206000000000
Precinct  0000208302510                                            0000207000000000
Precinct  0000209302700                                            0000208000000000
Precinct  0000210303000                                            0000209000000000
Precinct  0000211303300                                            0000210000000000
Precinct  0000212303400                                            0000211000000000
Precinct  0000213303500                                            0000212000000000
Precinct  0000214303600                                            0000213000000000
Precinct  0000215303800                                            0000214000000000
Precinct  0000216304000                                            0000215000000000
Precinct  0000217304120                                            0000216000000000
Precinct  0000218304200                                            0000217000000000
Precinct  0000219304500                                            0000218000000000
Precinct  0000220304600                                            0000219000000000
Precinct  0000221304700                                            0000220000000000
Precinct  0000222304800                                            0000221000000000
Precinct  0000223304900                                            0000222000000000
Precinct  0000224305000                                            0000223000000000
Precinct  0000225305010                                            0000224000000000
Precinct  0000226305100                                            0000225000000000
Precinct  0000227305400                                            0000226000000000
Precinct  0000228305410                                            0000227000000000
Precinct  0000229305600                                            0000228000000000
Precinct  0000230305700                                            0000229000000000
Precinct  0000231310000                                            0000230000000000
Precinct  0000232310100                                            0000231000000000
Precinct  0000233310200                                            0000232000000000
Precinct  0000234310300                                            0000233000000000
Precinct  0000235310400                                            0000234000000000
Precinct  0000236310500                                            0000235000000000
Precinct  0000237310600                                            0000236000000000
Precinct  0000238310700                                            0000237000000000
Precinct  0000239310900                                            0000238000000000
Precinct  0000240311100                                            0000239000000000
Precinct  0000241311200                                            0000240000000000
Precinct  0000242311400                                            0000241000000000
Precinct  0000243311510                                            0000242000000000
Precinct  0000244311700                                            0000243000000000
Precinct  0000245323000                                            0000244000000000
Precinct  0000246323200                                            0000245000000000
Precinct  0000247325000                                            0000246000000000
Precinct  0000248325100                                            0000247000000000
Precinct  0000249325200                                            0000248000000000
Precinct  0000250325300                                            0000249000000000
Precinct  0000251325400                                            0000250000000000
Precinct  0000252325500                                            0000251000000000
Precinct  0000253325510                                            0000252000000000
Precinct  0000254325600                                            0000253000000000
Precinct  0000255325700                                            0000254000000000
Precinct  0000256325800                                            0000255000000000
Precinct  0000257333100                                            0000256000000000
Precinct  0000258333200                                            0000257000000000
Precinct  0000259333400                                            0000258000000000
Precinct  0000260333410                                            0000259000000000
Precinct  0000261333500                                            0000260000000000
Precinct  0000262333510                                            0000261000000000
Precinct  0000263333600                                            0000262000000000
Precinct  0000264333800                                            0000263000000000
Precinct  0000265333900                                            0000264000000000
Precinct  0000266334000                                            0000265000000000
Precinct  0000267334100                                            0000266000000000
Precinct  0000268334600                                            0000267000000000
Precinct  0000269334700                                            0000268000000000
Precinct  0000270335000                                            0000269000000000
Precinct  0000271335100                                            0000270000000000
Precinct  0000272335200                                            0000271000000000
