Candidate 0000025CHRIS CUNNIE                                      0000001000000200
Candidate 0000026DAVID WONG                                        0000002000000200
Candidate 0000027PAUL MIYAMOTO                                     0000003000000200
Candidate 0000028ROSS MIRKARIMI                                    0000004000000200
Candidate 0000002WRITE-IN                                          0000005000000210
Precinct  0000277Pct 3511                                          0000277000000000
Precinct  0000278Pct 3512                                          0000278000000000
Precinct  0000279Pct 3513/3514                                     0000279000000000
Precinct  0000280Pct 3515                                          0000280000000000
Precinct  0000281Pct 3516                                          0000281000000000
Precinct  0000282Pct 3517                                          0000282000000000
Precinct  0000283Pct 3518/3520                                     0000283000000000
Precinct  0000284Pct 3519                                          0000284000000000
Precinct  0000285Pct 3521                                          0000285000000000
Precinct  0000286Pct 3523/3522                                     0000286000000000
Precinct  0000287Pct 3525/3524                                     0000287000000000
Precinct  0000288Pct 3527/3526                                     0000288000000000
Precinct  0000289Pct 3528                                          0000289000000000
Precinct  0000290Pct 3529/3531                                     0000290000000000
Precinct  0000291Pct 3533/3532                                     0000291000000000
Precinct  0000292Pct 3534/3548                                     0000292000000000
Precinct  0000293Pct 3535                                          0000293000000000
Precinct  0000294Pct 3537/3536                                     0000294000000000
Precinct  0000295Pct 3539/3538                                     0000295000000000
Precinct  0000296Pct 3541                                          0000296000000000
Precinct  0000297Pct 3542                                          0000297000000000
Precinct  0000298Pct 3543                                          0000298000000000
Precinct  0000299Pct 3544/3545                                     0000299000000000
Precinct  0000300Pct 3547/3546                                     0000300000000000
Precinct  0000301Pct 3552/3549                                     0000301000000000
Precinct  0000302Pct 3553/3551                                     0000302000000000
Precinct  0000303Pct 3554                                          0000303000000000
Precinct  0000304Pct 3555 MB                                       0000304000000000
Precinct  0000305Pct 3601/3602                                     0000305000000000
Precinct  0000306Pct 3603                                          0000306000000000
Precinct  0000307Pct 3605/3604                                     0000307000000000
Precinct  0000308Pct 3606                                          0000308000000000
Precinct  0000309Pct 3607 MB                                       0000309000000000
Precinct  0000310Pct 3608                                          0000310000000000
Precinct  0000311Pct 3609                                          0000311000000000
Precinct  0000312Pct 3610/3612                                     0000312000000000
Precinct  0000313Pct 3614/3613                                     0000313000000000
Precinct  0000314Pct 3615                                          0000314000000000
Precinct  0000315Pct 3616                                          0000315000000000
Precinct  0000316Pct 3617/3618                                     0000316000000000
Precinct  0000317Pct 3621/3619                                     0000317000000000
Precinct  0000318Pct 3622/3623                                     0000318000000000
Precinct  0000319Pct 3624                                          0000319000000000
Precinct  0000320Pct 3625                                          0000320000000000
Precinct  0000321Pct 3626                                          0000321000000000
Precinct  0000322Pct 3627                                          0000322000000000
Precinct  0000323Pct 3628                                          0000323000000000
Precinct  0000324Pct 3629                                          0000324000000000
Precinct  0000325Pct 3630/3636                                     0000325000000000
Precinct  0000326Pct 3631                                          0000326000000000
Precinct  0000327Pct 3632                                          0000327000000000
Precinct  0000328Pct 3634/3633                                     0000328000000000
Precinct  0000329Pct 3635                                          0000329000000000
Precinct  0000330Pct 3637/3620                                     0000330000000000
Precinct  0000331Pct 3638                                          0000331000000000
Precinct  0000332Pct 3639                                          0000332000000000
Precinct  0000333Pct 3640                                          0000333000000000
Precinct  0000334Pct 3641                                          0000334000000000
Precinct  0000335Pct 3642                                          0000335000000000
Precinct  0000336Pct 3643                                          0000336000000000
Precinct  0000337Pct 3645                                          0000337000000000
Precinct  0000338Pct 3646                                          0000338000000000
Precinct  0000339Pct 3647                                          0000339000000000
Precinct  0000340Pct 3648                                          0000340000000000
Precinct  0000341Pct 3649/3644                                     0000341000000000
Precinct  0000342Pct 3650                                          0000342000000000
Precinct  0000343Pct 3651/3611                                     0000343000000000
