candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer
"Mello, Gary W.",0.852,135.0,4.0,0.877,139.0,2.0,0.89,141.0,1.0,0.896,142.0,0.0,0.897,142.0,7.0,0.942,149.0,6.0,0.981,155.0,-155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",4.973,788.0,41.0,5.232,829.0,5.0,5.263,834.0,11.0,5.333,845.0,0.0,5.338,845.0,3.0,5.362,848.0,2.0,5.379,850.0,4.0,5.415,854.0,11.0,5.494,865.0,0.0,5.494,865.0,53.0,5.853,918.0,36.0,6.14,954.0,84.0,6.734,1038.0,-1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Maher, David P.",10.641,1686.0,32.0,10.843,1718.0,35.0,11.063,1753.0,-168.0,10.003,1585.0,0.0,10.013,1585.0,0.0,10.023,1585.0,0.0,10.03,1585.0,0.0,10.051,1585.0,0.0,10.067,1585.0,0.0,10.067,1585.0,0.0,10.106,1585.0,0.0,10.201,1585.0,0.0,10.283,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.824,1585.0,
"Reeves, Kenneth E.",6.393,1013.0,18.0,6.507,1031.0,11.0,6.576,1042.0,20.0,6.702,1062.0,1.0,6.716,1063.0,4.0,6.747,1067.0,3.0,6.771,1070.0,11.0,6.855,1081.0,8.0,6.917,1089.0,0.0,6.917,1089.0,17.0,7.052,1106.0,25.0,7.279,1131.0,54.0,7.688,1185.0,93.0,8.399,1278.0,27.0,8.576,1305.0,6.0,8.615,1311.0,2.0,8.629,1313.0,365.0,11.459,1678.0,
"Cheung, Leland",12.73,2017.0,-432.0,10.003,1585.0,0.0,10.003,1585.0,0.0,10.003,1585.0,0.0,10.013,1585.0,0.0,10.023,1585.0,0.0,10.03,1585.0,0.0,10.051,1585.0,0.0,10.067,1585.0,0.0,10.067,1585.0,0.0,10.106,1585.0,0.0,10.201,1585.0,0.0,10.283,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.824,1585.0,
"Nelson, Matthew P.",3.421,542.0,11.0,3.49,553.0,5.0,3.522,558.0,3.0,3.541,561.0,1.0,3.55,562.0,4.0,3.579,566.0,5.0,3.613,571.0,10.0,3.684,581.0,11.0,3.76,592.0,0.0,3.76,592.0,17.0,3.883,609.0,65.0,4.338,674.0,-674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",10.76,1705.0,23.0,10.906,1728.0,-143.0,10.003,1585.0,0.0,10.003,1585.0,0.0,10.013,1585.0,0.0,10.023,1585.0,0.0,10.03,1585.0,0.0,10.051,1585.0,0.0,10.067,1585.0,0.0,10.067,1585.0,0.0,10.106,1585.0,0.0,10.201,1585.0,0.0,10.283,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.416,1585.0,0.0,10.824,1585.0,
"Pascual, Jamake",0.398,63.0,1.0,0.404,64.0,1.0,0.41,65.0,2.0,0.423,67.0,0.0,0.423,67.0,1.0,0.43,68.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"vanBeuzekom, Minka Y.",6.551,1038.0,50.0,6.867,1088.0,4.0,6.892,1092.0,7.0,6.936,1099.0,1.0,6.949,1100.0,5.0,6.987,1105.0,2.0,7.005,1107.0,18.0,7.134,1125.0,29.0,7.33,1154.0,0.0,7.33,1154.0,94.0,7.958,1248.0,64.0,8.444,1312.0,96.0,9.135,1408.0,148.0,10.225,1556.0,13.0,10.311,1569.0,8.0,10.363,1577.0,1.0,10.37,1578.0,293.0,12.777,1871.0,
exhaust,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,16.0,0.0,60.0,15.0,0.0,75.0,11.0,0.0,86.0,33.0,0.0,119.0,26.0,0.0,145.0,0.0,0.0,145.0,61.0,0.0,206.0,146.0,0.0,352.0,123.0,0.0,475.0,197.0,0.0,672.0,0.0,0.0,672.0,0.0,0.0,672.0,0.0,0.0,672.0,573.0,0.0,1245.0,
colsum,100.00000000000001,15889.0,0.0,100.001,15889.0,0.0,100.0,15889.0,0.0,100.0,15889.0,0.0,99.998,15889.0,0.0,99.999,15889.0,0.0,100.002,15889.0,0.0,100.001,15889.0,0.0,99.99900000000001,15889.0,0.0,99.99900000000001,15889.0,0.0,99.99799999999998,15889.0,0.0,99.998,15889.0,0.0,100.00200000000001,15889.0,0.0,99.99999999999999,15889.0,0.0,100.0,15889.0,0.0,99.99899999999998,15889.0,0.0,100.001,15889.0,0.0,100.00399999999999,15889.0,
