candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer
"Williamson, James M.",0.339,58.0,4.0,0.362,62.0,1.0,0.368,63.0,0.0,0.368,63.0,0.0,0.368,63.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"King, Ethridge A.",2.207,378.0,28.0,2.371,406.0,5.0,2.4,411.0,9.0,2.452,420.0,0.0,2.454,420.0,2.0,2.467,422.0,1.0,2.474,423.0,2.0,2.489,425.0,0.0,2.489,425.0,6.0,2.527,431.0,50.0,2.823,481.0,2.0,2.835,483.0,10.0,2.899,493.0,28.0,3.085,521.0,78.0,3.564,599.0,-599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Jens, Steven E.",1.623,278.0,12.0,1.693,290.0,0.0,1.693,290.0,0.0,1.693,290.0,1.0,1.701,291.0,1.0,1.707,292.0,11.0,1.772,303.0,1.0,1.78,304.0,0.0,1.78,304.0,14.0,1.864,318.0,6.0,1.902,324.0,0.0,1.902,324.0,8.0,1.952,332.0,-332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Peixoto, Helder",0.403,69.0,18.0,0.508,87.0,1.0,0.514,88.0,1.0,0.52,89.0,0.0,0.52,89.0,1.0,0.526,90.0,3.0,0.544,93.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Dixon, Vincent Lawrence",0.537,92.0,9.0,0.59,101.0,1.0,0.596,102.0,0.0,0.596,102.0,1.0,0.602,103.0,3.0,0.62,106.0,12.0,0.69,118.0,3.0,0.709,121.0,0.0,0.709,121.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Horowitz, Jacob",0.905,155.0,9.0,0.958,164.0,9.0,1.01,173.0,4.0,1.034,177.0,1.0,1.04,178.0,3.0,1.058,181.0,4.0,1.082,185.0,2.0,1.095,187.0,0.0,1.095,187.0,4.0,1.12,191.0,-191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Murphy, Brian",10.02,1716.0,48.0,10.3,1764.0,13.0,10.376,1777.0,-64.0,10.002,1713.0,0.0,10.011,1713.0,0.0,10.014,1713.0,0.0,10.019,1713.0,0.0,10.032,1713.0,0.0,10.032,1713.0,0.0,10.042,1713.0,0.0,10.053,1713.0,0.0,10.053,1713.0,0.0,10.072,1713.0,0.0,10.143,1713.0,0.0,10.193,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.864,1713.0,
"Maher, David P.",5.938,1017.0,356.0,8.017,1373.0,3.0,8.035,1376.0,7.0,8.075,1383.0,0.0,8.082,1383.0,0.0,8.085,1383.0,5.0,8.118,1388.0,8.0,8.175,1396.0,3.0,8.193,1399.0,5.0,8.231,1404.0,6.0,8.275,1410.0,0.0,8.275,1410.0,25.0,8.438,1435.0,70.0,8.911,1505.0,16.0,9.051,1521.0,74.0,9.562,1595.0,19.0,9.676,1614.0,5.0,9.706,1619.0,289.0,12.101,1908.0,
"Decker, Marjorie C.",8.992,1540.0,99.0,9.57,1639.0,13.0,9.646,1652.0,14.0,9.728,1666.0,3.0,9.753,1669.0,7.0,9.798,1676.0,9.0,9.856,1685.0,8.0,9.914,1693.0,0.0,9.914,1693.0,12.0,9.995,1705.0,12.0,10.077,1717.0,-4.0,10.053,1713.0,0.0,10.072,1713.0,0.0,10.143,1713.0,0.0,10.193,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.27,1713.0,0.0,10.864,1713.0,
"Iskovitz, Steve",2.014,345.0,8.0,2.061,353.0,0.0,2.061,353.0,1.0,2.067,354.0,3.0,2.086,357.0,9.0,2.14,366.0,4.0,2.164,370.0,3.0,2.184,373.0,0.0,2.184,373.0,10.0,2.245,383.0,35.0,2.453,418.0,0.0,2.453,418.0,25.0,2.605,443.0,14.0,2.706,457.0,-457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,363.0,0.0,0.0,363.0,0.0,0.0,363.0,0.0,0.0,363.0,14.0,0.0,377.0,6.0,0.0,383.0,9.0,0.0,392.0,21.0,0.0,413.0,0.0,0.0,413.0,18.0,0.0,431.0,19.0,0.0,450.0,0.0,0.0,450.0,32.0,0.0,482.0,118.0,0.0,600.0,84.0,0.0,684.0,125.0,0.0,809.0,0.0,0.0,809.0,0.0,0.0,809.0,913.0,0.0,1722.0,
colsum,99.997,17489.0,0.0,99.999,17489.0,0.0,99.99900000000002,17489.0,0.0,100.0,17489.0,0.0,100.0,17489.0,0.0,100.00100000000002,17489.0,0.0,99.99699999999999,17489.0,0.0,100.0,17489.0,0.0,100.0,17489.0,0.0,99.998,17489.0,0.0,99.998,17489.0,0.0,99.998,17489.0,0.0,99.99900000000001,17489.0,0.0,100.001,17489.0,0.0,99.997,17489.0,0.0,100.00099999999999,17489.0,0.0,100.002,17489.0,0.0,100.00199999999998,17489.0,0.0,99.99700000000001,17489.0,
