candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
"Kelley, Craig A.",6.695,1422.0,12.0,6.752,1434.0,0.0,6.754,1434.0,1.0,6.761,1435.0,3.0,6.777,1438.0,9.0,6.822,1447.0,9.0,6.869,1456.0,8.0,6.913,1464.0,0.0,6.913,1464.0,17.0,6.999,1481.0,14.0,7.076,1495.0,70.0,7.416,1565.0,110.0,7.955,1675.0,42.0,8.184,1717.0,44.0,8.393,1761.0,63.0,8.729,1824.0,37.0,8.976,1861.0,26.0,9.101,1887.0,6.0,9.13,1893.0,-1893.0,0.0,0.0,
"Levy, Ilan",0.518,110.0,1.0,0.523,111.0,0.0,0.523,111.0,2.0,0.532,113.0,4.0,0.551,117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, E. Denise",9.45,2007.0,75.0,9.803,2082.0,1.0,9.81,2083.0,4.0,9.833,2087.0,7.0,9.868,2094.0,4.0,9.891,2098.0,20.0,9.992,2118.0,22.0,10.105,2140.0,-16.0,10.029,2124.0,0.0,10.037,2124.0,0.0,10.053,2124.0,0.0,10.064,2124.0,0.0,10.087,2124.0,0.0,10.123,2124.0,0.0,10.123,2124.0,0.0,10.165,2124.0,0.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.58,2124.0,
"Musgrave, Adriane",3.418,726.0,21.0,3.517,747.0,0.0,3.518,747.0,4.0,3.538,751.0,5.0,3.563,756.0,1.0,3.569,757.0,29.0,3.708,786.0,4.0,3.73,790.0,1.0,3.735,791.0,23.0,3.847,814.0,26.0,3.976,840.0,25.0,4.099,865.0,12.0,4.165,877.0,31.0,4.328,908.0,6.0,4.356,914.0,-914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sobrinho-Wheeler, Jivan",6.22,1321.0,32.0,6.37,1353.0,0.0,6.372,1353.0,0.0,6.375,1353.0,4.0,6.395,1357.0,2.0,6.407,1359.0,17.0,6.491,1376.0,64.0,6.8,1440.0,1.0,6.804,1441.0,42.0,7.008,1483.0,36.0,7.19,1519.0,17.0,7.278,1536.0,24.0,7.408,1560.0,74.0,7.788,1634.0,8.0,7.826,1642.0,133.0,8.494,1775.0,336.0,10.181,2111.0,52.0,10.432,2163.0,-39.0,10.244,2124.0,0.0,10.58,2124.0,
"Simon, Ben",1.384,294.0,6.0,1.412,300.0,1.0,1.418,301.0,2.0,1.428,303.0,2.0,1.437,305.0,5.0,1.462,310.0,1.0,1.467,311.0,-311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Pitkin, John",2.524,536.0,5.0,2.547,541.0,0.0,2.548,541.0,1.0,2.554,542.0,3.0,2.568,545.0,4.0,2.588,549.0,13.0,2.651,562.0,11.0,2.706,573.0,0.0,2.706,573.0,10.0,2.755,583.0,11.0,2.812,594.0,98.0,3.279,692.0,-692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Akiba, Sukia",1.704,362.0,7.0,1.737,369.0,0.0,1.738,369.0,2.0,1.748,371.0,5.0,1.772,376.0,8.0,1.81,384.0,3.0,1.826,387.0,10.0,1.875,397.0,0.0,1.875,397.0,17.0,1.956,414.0,-414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kopon, Derek Andrew",2.321,493.0,1.0,2.326,494.0,0.0,2.327,494.0,3.0,2.342,497.0,2.0,2.352,499.0,12.0,2.409,511.0,4.0,2.43,515.0,5.0,2.455,520.0,0.0,2.455,520.0,26.0,2.58,546.0,13.0,2.646,559.0,-559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Azeem, Burhan",4.525,961.0,34.0,4.685,995.0,0.0,4.686,995.0,0.0,4.688,995.0,3.0,4.703,998.0,2.0,4.715,1000.0,11.0,4.77,1011.0,9.0,4.816,1020.0,0.0,4.816,1020.0,31.0,4.967,1051.0,76.0,5.334,1127.0,18.0,5.426,1145.0,17.0,5.518,1162.0,48.0,5.767,1210.0,3.0,5.781,1213.0,123.0,6.394,1336.0,-1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Siddiqui, Sumbul",11.846,2516.0,-392.0,10.0,2124.0,0.0,10.003,2124.0,0.0,10.008,2124.0,0.0,10.009,2124.0,0.0,10.014,2124.0,0.0,10.02,2124.0,0.0,10.029,2124.0,0.0,10.029,2124.0,0.0,10.037,2124.0,0.0,10.053,2124.0,0.0,10.064,2124.0,0.0,10.087,2124.0,0.0,10.123,2124.0,0.0,10.123,2124.0,0.0,10.165,2124.0,0.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.244,2124.0,0.0,10.58,2124.0,
"McNary, Jeffery",0.363,77.0,0.0,0.363,77.0,1.0,0.367,78.0,2.0,0.377,80.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mednick, Risa",1.149,244.0,8.0,1.186,252.0,0.0,1.187,252.0,0.0,1.187,252.0,6.0,1.216,258.0,2.0,1.226,260.0,-260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,33.0,0.0,0.0,33.0,6.0,0.0,39.0,9.0,0.0,48.0,4.0,0.0,52.0,9.0,0.0,61.0,14.0,0.0,75.0,19.0,0.0,94.0,0.0,0.0,94.0,17.0,0.0,111.0,34.0,0.0,145.0,23.0,0.0,168.0,47.0,0.0,215.0,76.0,0.0,291.0,0.0,0.0,291.0,85.0,0.0,376.0,162.0,0.0,538.0,0.0,0.0,538.0,0.0,0.0,538.0,659.0,0.0,1197.0,
colsum,100.00200000000001,21272.0,0.0,99.999,21272.0,0.0,100.00100000000002,21272.0,0.0,99.999,21272.0,0.0,100.001,21272.0,0.0,100.001,21272.0,0.0,100.00099999999998,21272.0,0.0,100.0,21272.0,0.0,100.0,21272.0,0.0,99.999,21272.0,0.0,99.999,21272.0,0.0,100.001,21272.0,0.0,100.00000000000001,21272.0,0.0,100.0,21272.0,0.0,99.99799999999999,21272.0,0.0,100.00299999999999,21272.0,0.0,100.0,21272.0,0.0,99.99900000000001,21272.0,0.0,100.0,21272.0,0.0,99.99699999999999,21272.0,
