candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer,r23_active_percent,r23_count,r23_transfer,r24_active_percent,r24_count,r24_transfer,r25_active_percent,r25_count,r25_transfer,r26_active_percent,r26_count,r26_transfer
"Volmar, Gwen Thomas",1.101,248.0,4.0,1.119,252.0,5.0,1.141,257.0,1.0,1.146,258.0,2.0,1.155,260.0,0.0,1.155,260.0,2.0,1.165,262.0,3.0,1.178,265.0,6.0,1.206,271.0,12.0,1.261,283.0,7.0,1.297,290.0,10.0,1.343,300.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Siddiqui, Sumbul",11.241,2532.0,25.0,11.352,2557.0,-304.0,10.003,2253.0,0.0,10.006,2253.0,0.0,10.008,2253.0,0.0,10.012,2253.0,0.0,10.015,2253.0,0.0,10.019,2253.0,0.0,10.03,2253.0,0.0,10.037,2253.0,0.0,10.074,2253.0,0.0,10.083,2253.0,0.0,10.098,2253.0,0.0,10.146,2253.0,0.0,10.158,2253.0,0.0,10.215,2253.0,0.0,10.301,2253.0,0.0,10.301,2253.0,0.0,10.37,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.788,2253.0,0.0,10.788,2253.0,0.0,11.264,2253.0,
"Zondervan, Quinton Y.",6.948,1565.0,6.0,6.975,1571.0,49.0,7.192,1620.0,0.0,7.195,1620.0,0.0,7.196,1620.0,0.0,7.199,1620.0,4.0,7.219,1624.0,12.0,7.275,1636.0,22.0,7.381,1658.0,25.0,7.498,1683.0,3.0,7.539,1686.0,47.0,7.756,1733.0,35.0,7.924,1768.0,11.0,8.012,1779.0,28.0,8.147,1807.0,67.0,8.497,1874.0,73.0,8.902,1947.0,6.0,8.93,1953.0,74.0,9.33,2027.0,351.0,11.03,2378.0,45.0,11.238,2423.0,-170.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.788,2253.0,0.0,10.788,2253.0,0.0,11.264,2253.0,
"Kelley, Craig A.",4.848,1092.0,20.0,4.937,1112.0,11.0,4.986,1123.0,1.0,4.992,1124.0,2.0,5.002,1126.0,3.0,5.017,1129.0,0.0,5.018,1129.0,1.0,5.025,1130.0,3.0,5.044,1133.0,5.0,5.07,1138.0,7.0,5.12,1145.0,12.0,5.178,1157.0,8.0,5.222,1165.0,32.0,5.391,1197.0,28.0,5.523,1225.0,29.0,5.686,1254.0,36.0,5.898,1290.0,12.0,5.953,1302.0,91.0,6.412,1393.0,66.0,6.767,1459.0,14.0,6.832,1473.0,17.0,6.911,1490.0,26.0,7.032,1516.0,116.0,7.814,1632.0,16.0,7.891,1648.0,408.0,10.279,2056.0,
"D'Ambrosio, Olivia",0.959,216.0,4.0,0.977,220.0,10.0,1.021,230.0,1.0,1.026,231.0,3.0,1.039,234.0,0.0,1.04,234.0,2.0,1.049,236.0,3.0,1.063,239.0,6.0,1.091,245.0,-245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sutton, Bryan",0.2,45.0,2.0,0.209,47.0,1.0,0.213,48.0,0.0,0.213,48.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Santos, Jeff",0.653,147.0,2.0,0.662,149.0,3.0,0.675,152.0,3.0,0.688,155.0,1.0,0.693,156.0,1.0,0.698,157.0,1.0,0.702,158.0,9.0,0.743,167.0,-167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Okamoto, Nadya T.",2.442,550.0,7.0,2.473,557.0,18.0,2.553,575.0,1.0,2.558,576.0,4.0,2.576,580.0,3.0,2.591,583.0,1.0,2.596,584.0,14.0,2.659,598.0,13.0,2.72,611.0,24.0,2.829,635.0,13.0,2.898,648.0,10.0,2.945,658.0,18.0,3.03,676.0,13.0,3.103,689.0,39.0,3.282,728.0,-728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sivongxay, Vatsady",3.285,740.0,12.0,3.339,752.0,54.0,3.578,806.0,0.0,3.58,806.0,2.0,3.589,808.0,0.0,3.591,808.0,5.0,3.614,813.0,7.0,3.647,820.0,11.0,3.7,831.0,20.0,3.791,851.0,4.0,3.823,855.0,19.0,3.912,874.0,35.0,4.074,909.0,7.0,4.125,916.0,31.0,4.27,947.0,125.0,4.86,1072.0,87.0,5.299,1159.0,8.0,5.336,1167.0,54.0,5.62,1221.0,-1221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.093,21.0,0.0,0.093,21.0,0.0,0.093,21.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Moree, Gregg J.",0.204,46.0,1.0,0.209,47.0,1.0,0.213,48.0,0.0,0.213,48.0,0.0,0.213,48.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Pillai, Hari I.",0.475,107.0,1.0,0.479,108.0,5.0,0.502,113.0,0.0,0.502,113.0,0.0,0.502,113.0,1.0,0.507,114.0,0.0,0.507,114.0,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Harding, Jr., Richard",3.712,836.0,55.0,3.956,891.0,9.0,3.996,900.0,0.0,3.997,900.0,0.0,3.998,900.0,2.0,4.008,902.0,1.0,4.014,903.0,1.0,4.02,904.0,8.0,4.06,912.0,9.0,4.103,921.0,31.0,4.257,952.0,8.0,4.296,960.0,11.0,4.352,971.0,22.0,4.472,993.0,21.0,4.572,1014.0,22.0,4.697,1036.0,130.0,5.331,1166.0,6.0,5.359,1172.0,72.0,5.726,1244.0,75.0,6.118,1319.0,6.0,6.146,1325.0,7.0,6.178,1332.0,10.0,6.224,1342.0,-1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Lenke, Dan",0.24,54.0,2.0,0.249,56.0,0.0,0.249,56.0,0.0,0.249,56.0,2.0,0.258,58.0,1.0,0.262,59.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, E. Denise",11.614,2616.0,-363.0,10.003,2253.0,0.0,10.003,2253.0,0.0,10.006,2253.0,0.0,10.008,2253.0,0.0,10.012,2253.0,0.0,10.015,2253.0,0.0,10.019,2253.0,0.0,10.03,2253.0,0.0,10.037,2253.0,0.0,10.074,2253.0,0.0,10.083,2253.0,0.0,10.098,2253.0,0.0,10.146,2253.0,0.0,10.158,2253.0,0.0,10.215,2253.0,0.0,10.301,2253.0,0.0,10.301,2253.0,0.0,10.37,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.788,2253.0,0.0,10.788,2253.0,0.0,11.264,2253.0,
"Gebru, Samuel",3.494,787.0,20.0,3.583,807.0,19.0,3.667,826.0,0.0,3.668,826.0,1.0,3.674,827.0,1.0,3.68,828.0,2.0,3.689,830.0,5.0,3.713,835.0,3.0,3.731,838.0,6.0,3.76,844.0,24.0,3.881,868.0,3.0,3.898,871.0,14.0,3.967,885.0,25.0,4.098,910.0,37.0,4.27,947.0,60.0,4.566,1007.0,-1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",7.188,1619.0,45.0,7.388,1664.0,5.0,7.41,1669.0,1.0,7.417,1670.0,10.0,7.463,1680.0,4.0,7.483,1684.0,4.0,7.503,1688.0,6.0,7.533,1694.0,14.0,7.604,1708.0,2.0,7.618,1710.0,10.0,7.691,1720.0,46.0,7.904,1766.0,12.0,7.969,1778.0,22.0,8.106,1800.0,12.0,8.17,1812.0,17.0,8.293,1829.0,30.0,8.5,1859.0,6.0,8.527,1865.0,96.0,9.026,1961.0,36.0,9.263,1997.0,7.0,9.295,2004.0,8.0,9.332,2012.0,7.0,9.365,2019.0,286.0,11.037,2305.0,-52.0,10.788,2253.0,0.0,11.264,2253.0,
exhaust,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,7.0,0.0,28.0,5.0,0.0,33.0,9.0,0.0,42.0,6.0,0.0,48.0,10.0,0.0,58.0,25.0,0.0,83.0,15.0,0.0,98.0,83.0,0.0,181.0,20.0,0.0,201.0,33.0,0.0,234.0,106.0,0.0,340.0,26.0,0.0,366.0,123.0,0.0,489.0,185.0,0.0,674.0,0.0,0.0,674.0,145.0,0.0,819.0,166.0,0.0,985.0,0.0,0.0,985.0,0.0,0.0,985.0,0.0,0.0,985.0,675.0,0.0,1660.0,0.0,0.0,1660.0,883.0,0.0,2543.0,
colsum,99.99900000000001,22545.0,0.0,100.00100000000002,22545.0,0.0,100.00099999999996,22545.0,0.0,100.00099999999999,22545.0,0.0,99.99999999999997,22545.0,0.0,100.002,22545.0,0.0,99.99900000000001,22545.0,0.0,100.0,22545.0,0.0,99.998,22545.0,0.0,99.99999999999999,22545.0,0.0,99.99999999999999,22545.0,0.0,100.0,22545.0,0.0,99.99999999999999,22545.0,0.0,100.00099999999999,22545.0,0.0,100.0,22545.0,0.0,100.001,22545.0,0.0,99.99900000000001,22545.0,0.0,100.001,22545.0,0.0,100.001,22545.0,0.0,100.001,22545.0,0.0,100.00099999999999,22545.0,0.0,100.0,22545.0,0.0,100.0,22545.0,0.0,100.002,22545.0,0.0,100.00299999999999,22545.0,0.0,100.00099999999998,22545.0,
