candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer
"Toomey, Timothy J., Jr.",8.911,1432.0,57.0,9.266,1489.0,0.0,9.272,1489.0,1.0,9.282,1490.0,0.0,9.289,1490.0,2.0,9.312,1492.0,10.0,9.39,1502.0,4.0,9.415,1506.0,10.0,9.492,1516.0,16.0,9.634,1532.0,20.0,9.799,1552.0,3.0,9.818,1555.0,1.0,9.824,1556.0,335.0,12.143,1891.0,-283.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.775,1608.0,
writeIns,0.106,17.0,1.0,0.112,18.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",6.055,973.0,4.0,6.08,977.0,0.0,6.084,977.0,3.0,6.105,980.0,4.0,6.135,984.0,9.0,6.197,993.0,9.0,6.264,1002.0,0.0,6.264,1002.0,18.0,6.387,1020.0,24.0,6.565,1044.0,155.0,7.57,1199.0,3.0,7.589,1202.0,1.0,7.595,1203.0,60.0,8.11,1263.0,18.0,8.226,1281.0,13.0,8.309,1294.0,12.0,8.386,1306.0,7.0,8.431,1313.0,-1313.0,0.0,0.0,
"Galluccio, Anthony D.",12.452,2001.0,-393.0,10.006,1608.0,0.0,10.013,1608.0,0.0,10.017,1608.0,0.0,10.025,1608.0,0.0,10.036,1608.0,0.0,10.053,1608.0,0.0,10.053,1608.0,0.0,10.068,1608.0,0.0,10.112,1608.0,0.0,10.152,1608.0,0.0,10.152,1608.0,0.0,10.152,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.775,1608.0,
"Simmons, Denise",8.276,1330.0,20.0,8.401,1350.0,1.0,8.413,1351.0,1.0,8.422,1352.0,7.0,8.473,1359.0,7.0,8.525,1366.0,13.0,8.621,1379.0,0.0,8.621,1379.0,44.0,8.91,1423.0,6.0,8.986,1429.0,61.0,9.407,1490.0,26.0,9.571,1516.0,19.0,9.691,1535.0,80.0,10.371,1615.0,73.0,10.839,1688.0,-80.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.775,1608.0,
"Murphy, Brian",7.691,1236.0,7.0,7.735,1243.0,1.0,7.746,1244.0,0.0,7.749,1244.0,2.0,7.768,1246.0,8.0,7.826,1254.0,5.0,7.871,1259.0,0.0,7.871,1259.0,7.0,7.927,1266.0,16.0,8.062,1282.0,80.0,8.599,1362.0,7.0,8.643,1369.0,13.0,8.725,1382.0,172.0,9.979,1554.0,61.0,10.371,1615.0,16.0,10.473,1631.0,-23.0,10.326,1608.0,0.0,10.326,1608.0,0.0,10.775,1608.0,
"LaTremouille, Robert J.",0.734,118.0,2.0,0.747,120.0,0.0,0.747,120.0,2.0,0.76,122.0,0.0,0.761,122.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Adkins, Lawrence J.",1.512,243.0,4.0,1.537,247.0,0.0,1.538,247.0,2.0,1.551,249.0,3.0,1.571,252.0,4.0,1.598,256.0,3.0,1.619,259.0,0.0,1.619,259.0,-259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Maher, David P.",5.613,902.0,55.0,5.955,957.0,0.0,5.959,957.0,3.0,5.98,960.0,5.0,6.016,965.0,7.0,6.066,972.0,10.0,6.139,982.0,3.0,6.158,985.0,8.0,6.218,993.0,47.0,6.54,1040.0,16.0,6.667,1056.0,4.0,6.692,1060.0,3.0,6.711,1063.0,-1063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,45.0,0.0,0.0,45.0,11.0,0.0,56.0,6.0,0.0,62.0,13.0,0.0,75.0,17.0,0.0,92.0,28.0,0.0,120.0,0.0,0.0,120.0,24.0,0.0,144.0,69.0,0.0,213.0,63.0,0.0,276.0,0.0,0.0,276.0,0.0,0.0,276.0,266.0,0.0,542.0,0.0,0.0,542.0,0.0,0.0,542.0,0.0,0.0,542.0,0.0,0.0,542.0,650.0,0.0,1192.0,
colsum,99.999,16115.0,0.0,100.0,16115.0,0.0,99.99799999999999,16115.0,0.0,100.0,16115.0,0.0,99.998,16115.0,0.0,100.00099999999999,16115.0,0.0,99.99799999999998,16115.0,0.0,99.999,16115.0,0.0,100.002,16115.0,0.0,99.99900000000001,16115.0,0.0,100.00000000000001,16115.0,0.0,99.999,16115.0,0.0,99.99799999999999,16115.0,0.0,100.00199999999998,16115.0,0.0,100.003,16115.0,0.0,100.002,16115.0,0.0,100.00299999999999,16115.0,0.0,100.00299999999999,16115.0,0.0,99.99700000000003,16115.0,
