candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer
"Kelley, Craig A.",7.835,1250.0,34.0,8.048,1284.0,9.0,8.104,1293.0,11.0,8.173,1304.0,3.0,8.199,1307.0,5.0,8.233,1312.0,6.0,8.275,1318.0,7.0,8.328,1325.0,9.0,8.392,1334.0,6.0,8.445,1340.0,13.0,8.54,1353.0,44.0,8.84,1397.0,50.0,9.197,1447.0,58.0,9.632,1505.0,141.0,10.637,1646.0,-50.0,10.313,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,11.059,1596.0,
"Leavitt, Neal W.",0.852,136.0,3.0,0.871,139.0,1.0,0.877,140.0,2.0,0.89,142.0,0.0,0.891,142.0,1.0,0.897,143.0,1.0,0.904,144.0,2.0,0.918,146.0,3.0,0.937,149.0,7.0,0.983,156.0,-156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",10.956,1748.0,9.0,11.012,1757.0,18.0,11.125,1775.0,-179.0,10.003,1596.0,0.0,10.013,1596.0,0.0,10.015,1596.0,0.0,10.021,1596.0,0.0,10.031,1596.0,0.0,10.04,1596.0,0.0,10.058,1596.0,0.0,10.074,1596.0,0.0,10.099,1596.0,0.0,10.144,1596.0,0.0,10.214,1596.0,0.0,10.313,1596.0,0.0,10.313,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,11.059,1596.0,
"vanBeuzekom, Minka Y.",4.275,682.0,23.0,4.419,705.0,12.0,4.494,717.0,3.0,4.513,720.0,0.0,4.517,720.0,2.0,4.531,722.0,5.0,4.565,727.0,5.0,4.601,732.0,10.0,4.668,742.0,9.0,4.733,751.0,8.0,4.791,759.0,51.0,5.126,810.0,46.0,5.441,856.0,36.0,5.709,892.0,-892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Stohlman, Jr., Thomas J.",2.369,378.0,11.0,2.438,389.0,4.0,2.463,393.0,1.0,2.469,394.0,1.0,2.478,395.0,3.0,2.497,398.0,5.0,2.53,403.0,6.0,2.571,409.0,2.0,2.586,411.0,6.0,2.628,417.0,14.0,2.72,431.0,15.0,2.822,446.0,-446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Glick, Silvia P.",1.605,256.0,7.0,1.648,263.0,11.0,1.717,274.0,0.0,1.717,274.0,1.0,1.725,275.0,2.0,1.738,277.0,6.0,1.777,283.0,11.0,1.848,294.0,6.0,1.887,300.0,27.0,2.061,327.0,10.0,2.127,337.0,-337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.207,33.0,0.0,0.207,33.0,0.0,0.207,33.0,0.0,0.207,33.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sullivan, Edward J.",5.547,885.0,1.0,5.553,886.0,8.0,5.603,894.0,60.0,5.979,954.0,0.0,5.985,954.0,4.0,6.012,958.0,2.0,6.028,960.0,2.0,6.046,962.0,2.0,6.064,964.0,7.0,6.119,971.0,6.0,6.167,977.0,7.0,6.227,984.0,27.0,6.426,1011.0,61.0,6.861,1072.0,38.0,7.173,1110.0,2.0,7.186,1112.0,48.0,7.603,1160.0,30.0,7.8,1190.0,42.0,8.075,1232.0,-1232.0,0.0,0.0,
"Adkins, Lawrence J.",0.646,103.0,2.0,0.658,105.0,4.0,0.683,109.0,2.0,0.696,111.0,1.0,0.703,112.0,0.0,0.703,112.0,13.0,0.785,125.0,5.0,0.817,130.0,-130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Podgers, Kathy",0.489,78.0,0.0,0.489,78.0,1.0,0.495,79.0,1.0,0.501,80.0,1.0,0.508,81.0,13.0,0.59,94.0,6.0,0.628,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, E. Denise",11.188,1785.0,56.0,11.539,1841.0,-245.0,10.003,1596.0,0.0,10.003,1596.0,0.0,10.013,1596.0,0.0,10.015,1596.0,0.0,10.021,1596.0,0.0,10.031,1596.0,0.0,10.04,1596.0,0.0,10.058,1596.0,0.0,10.074,1596.0,0.0,10.099,1596.0,0.0,10.144,1596.0,0.0,10.214,1596.0,0.0,10.313,1596.0,0.0,10.313,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,10.461,1596.0,0.0,11.059,1596.0,
"Ward, Larry W.",4.613,736.0,22.0,4.751,758.0,23.0,4.895,781.0,8.0,4.945,789.0,0.0,4.95,789.0,2.0,4.964,791.0,10.0,5.029,801.0,4.0,5.059,805.0,13.0,5.146,818.0,6.0,5.193,824.0,8.0,5.252,832.0,20.0,5.391,852.0,31.0,5.612,883.0,26.0,5.818,909.0,92.0,6.468,1001.0,5.0,6.501,1006.0,-1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,4.0,0.0,19.0,9.0,0.0,28.0,16.0,0.0,44.0,15.0,0.0,59.0,28.0,0.0,87.0,25.0,0.0,112.0,40.0,0.0,152.0,70.0,0.0,222.0,108.0,0.0,330.0,150.0,0.0,480.0,0.0,0.0,480.0,218.0,0.0,698.0,0.0,0.0,698.0,0.0,0.0,698.0,825.0,0.0,1523.0,
colsum,100.00200000000001,15955.0,0.0,100.001,15955.0,0.0,99.99899999999998,15955.0,0.0,99.999,15955.0,0.0,99.99999999999999,15955.0,0.0,100.0,15955.0,0.0,100.002,15955.0,0.0,100.002,15955.0,0.0,99.99900000000001,15955.0,0.0,100.002,15955.0,0.0,100.00099999999999,15955.0,0.0,99.99900000000002,15955.0,0.0,99.99900000000001,15955.0,0.0,100.0,15955.0,0.0,100.00000000000001,15955.0,0.0,99.998,15955.0,0.0,100.00099999999999,15955.0,0.0,100.00099999999999,15955.0,0.0,100.00099999999999,15955.0,0.0,100.00099999999999,15955.0,
