Candidate 0000036FRANCISCO HERRERA                                 0000001000000100
Candidate 0000042VICKI HENNESSY                                    0000001000000200
Candidate 0000045AARON PESKIN                                      0000001000000300
Candidate 0000037ED LEE                                            0000002000000100
Candidate 0000043JOHN ROBINSON                                     0000002000000200
Candidate 0000046WILMA PANG                                        0000002000000300
Candidate 0000038REED MARTIN                                       0000003000000100
Candidate 0000044ROSS MIRKARIMI                                    0000003000000200
Candidate 0000047JULIE CHRISTENSEN                                 0000003000000300
Candidate 0000002WRITE-IN                                          0000004000000210
Candidate 0000003WRITE-IN                                          0000004000000310
Candidate 0000039AMY FARAH WEISS                                   0000004000000100
Candidate 0000040KENT GRAHAM                                       0000005000000100
Candidate 0000041STUART SCHUFFMAN                                  0000006000000100
Candidate 0000001WRITE-IN                                          0000007000000110
Candidate 0000061WRITE-IN - JOHN E. FITCH                          0000008000000110
Candidate 0000062WRITE-IN - KARLA GOTTSCHALK (a.k.a BELLE STARR)   0000009000000110
Candidate 0000063WRITE-IN - ROBERT L. JORDAN, JR.                  0000010000000110
Candidate 0000064WRITE-IN - DANIEL C KAPPLER                       0000011000000110
Candidate 0000065WRITE-IN - IGNACIO L. NUNEZ                       0000012000000110
Candidate 0000066WRITE-IN - MICHAEL PETRELIS                       0000013000000110
Precinct  0000141Pct 7618                                          0000141000000000
Precinct  0000142Pct 7619                                          0000142000000000
Precinct  0000143Pct 7621                                          0000143000000000
Precinct  0000144Pct 7622/7624                                     0000144000000000
Precinct  0000145Pct 7623/7629                                     0000145000000000
Precinct  0000146Pct 7625                                          0000146000000000
Precinct  0000147Pct 7626                                          0000147000000000
Precinct  0000148Pct 7627                                          0000148000000000
Precinct  0000149Pct 7628                                          0000149000000000
Precinct  0000150Pct 7632                                          0000150000000000
Precinct  0000151Pct 7633/7631                                     0000151000000000
Precinct  0000152Pct 7634                                          0000152000000000
Precinct  0000153Pct 7636/7635                                     0000153000000000
Precinct  0000154Pct 7637                                          0000154000000000
Precinct  0000155Pct 7638                                          0000155000000000
Precinct  0000156Pct 7641/7639                                     0000156000000000
Precinct  0000157Pct 7642                                          0000157000000000
Precinct  0000158Pct 7643                                          0000158000000000
Precinct  0000159Pct 7644                                          0000159000000000
Precinct  0000160Pct 7645                                          0000160000000000
Precinct  0000161Pct 7646                                          0000161000000000
Precinct  0000162Pct 7647                                          0000162000000000
Precinct  0000163Pct 7648 MB                                       0000163000000000
Precinct  0000164Pct 7701                                          0000164000000000
Precinct  0000165Pct 7703 MB                                       0000165000000000
Precinct  0000166Pct 7704/7702                                     0000166000000000
Precinct  0000167Pct 7705                                          0000167000000000
Precinct  0000168Pct 7706                                          0000168000000000
Precinct  0000169Pct 7707                                          0000169000000000
Precinct  0000170Pct 7708                                          0000170000000000
Precinct  0000171Pct 7709/7711                                     0000171000000000
Precinct  0000172Pct 7712                                          0000172000000000
Precinct  0000173Pct 7801                                          0000173000000000
Precinct  0000174Pct 7802                                          0000174000000000
Precinct  0000175Pct 7804                                          0000175000000000
Precinct  0000176Pct 7806/7805                                     0000176000000000
Precinct  0000177Pct 7808/7807                                     0000177000000000
Precinct  0000178Pct 7809                                          0000178000000000
Precinct  0000179Pct 7812/7811                                     0000179000000000
Precinct  0000180Pct 7814/7813                                     0000180000000000
Precinct  0000181Pct 7815                                          0000181000000000
Precinct  0000182Pct 7816/7803                                     0000182000000000
Precinct  0000183Pct 7818/7817                                     0000183000000000
Precinct  0000184Pct 7819                                          0000184000000000
Precinct  0000185Pct 7822/7821                                     0000185000000000
Precinct  0000186Pct 7823                                          0000186000000000
Precinct  0000187Pct 7824/7825                                     0000187000000000
Precinct  0000188Pct 7827/7826                                     0000188000000000
Precinct  0000189Pct 7828                                          0000189000000000
Precinct  0000190Pct 7831                                          0000190000000000
Precinct  0000191Pct 7832                                          0000191000000000
Precinct  0000192Pct 7833                                          0000192000000000
Precinct  0000193Pct 7834/7843                                     0000193000000000
Precinct  0000194Pct 7835                                          0000194000000000
Precinct  0000195Pct 7836                                          0000195000000000
Precinct  0000196Pct 7837/7829                                     0000196000000000
Precinct  0000197Pct 7838                                          0000197000000000
Precinct  0000198Pct 7839                                          0000198000000000
Precinct  0000199Pct 7841/7848                                     0000199000000000
Precinct  0000200Pct 7842/7849                                     0000200000000000
Precinct  0000201Pct 7844/7858                                     0000201000000000
Precinct  0000202Pct 7845                                          0000202000000000
Precinct  0000203Pct 7847/7846                                     0000203000000000
Precinct  0000204Pct 7852/7851                                     0000204000000000
Precinct  0000205Pct 7855/7854                                     0000205000000000
Precinct  0000206Pct 7856/7857                                     0000206000000000
Precinct  0000207Pct 7859/7853                                     0000207000000000
Precinct  0000208Pct 7861/7862                                     0000208000000000
Precinct  0000209Pct 7863                                          0000209000000000
Precinct  0000210Pct 7864/7869                                     0000210000000000
Precinct  0000211Pct 7865/7873                                     0000211000000000
Precinct  0000212Pct 7866                                          0000212000000000
Precinct  0000213Pct 7867/7868                                     0000213000000000
Precinct  0000214Pct 7871                                          0000214000000000
Precinct  0000215Pct 7872                                          0000215000000000
Precinct  0000216Pct 7874                                          0000216000000000
Precinct  0000217Pct 7875                                          0000217000000000
Precinct  0000218Pct 7902/7901                                     0000218000000000
Precinct  0000219Pct 7903                                          0000219000000000
Precinct  0000220Pct 7904                                          0000220000000000
Precinct  0000221Pct 7905                                          0000221000000000
Precinct  0000222Pct 7906                                          0000222000000000
Precinct  0000223Pct 7907/7908                                     0000223000000000
Precinct  0000224Pct 7909/7911                                     0000224000000000
Precinct  0000225Pct 7912                                          0000225000000000
Precinct  0000226Pct 7913                                          0000226000000000
Precinct  0000227Pct 7915/7914                                     0000227000000000
Precinct  0000228Pct 7916                                          0000228000000000
Precinct  0000229Pct 7917/7918                                     0000229000000000
Precinct  0000230Pct 7919                                          0000230000000000
Precinct  0000231Pct 7922/7921                                     0000231000000000
Precinct  0000232Pct 7924/7923                                     0000232000000000
Precinct  0000233Pct 7925                                          0000233000000000
Precinct  0000234Pct 7926                                          0000234000000000
Precinct  0000235Pct 7927/7928                                     0000235000000000
Precinct  0000236Pct 7931                                          0000236000000000
Precinct  0000237Pct 7932                                          0000237000000000
Precinct  0000238Pct 7933 MB                                       0000238000000000
Precinct  0000239Pct 7934                                          0000239000000000
Precinct  0000240Pct 7935/7929                                     0000240000000000
Precinct  0000241Pct 7936                                          0000241000000000
Precinct  0000242Pct 7937                                          0000242000000000
Precinct  0000243Pct 7939/7941                                     0000243000000000
Precinct  0000244Pct 7942                                          0000244000000000
Precinct  0000245Pct 7943                                          0000245000000000
Precinct  0000246Pct 7944/7938                                     0000246000000000
Precinct  0000247Pct 7945                                          0000247000000000
Precinct  0000248Pct 7946/7948                                     0000248000000000
Precinct  0000249Pct 7947                                          0000249000000000
Precinct  0000250Pct 7952/7951                                     0000250000000000
Precinct  0000251Pct 7953/7949                                     0000251000000000
Precinct  0000252Pct 7954 MB                                       0000252000000000
Precinct  0000253Pct 7955                                          0000253000000000
Precinct  0000254Pct 7956                                          0000254000000000
Precinct  0000255Pct 7957                                          0000255000000000
Precinct  0000256Pct 7958 MB                                       0000256000000000
Precinct  0000257Pct 9001 MB                                       0000257000000000
Precinct  0000258Pct 9101                                          0000258000000000
Precinct  0000259Pct 9102                                          0000259000000000
Precinct  0000260Pct 9103/9104                                     0000260000000000
Precinct  0000261Pct 9107/9105                                     0000261000000000
Precinct  0000262Pct 9108/9111                                     0000262000000000
Precinct  0000263Pct 9109/9106                                     0000263000000000
Precinct  0000264Pct 9113                                          0000264000000000
Precinct  0000265Pct 9114/9112                                     0000265000000000
Precinct  0000266Pct 9116/9115                                     0000266000000000
Precinct  0000267Pct 9117/9118                                     0000267000000000
Precinct  0000268Pct 9121/9119                                     0000268000000000
Precinct  0000269Pct 9122/9139                                     0000269000000000
Precinct  0000270Pct 9123/9124                                     0000270000000000
Precinct  0000271Pct 9125                                          0000271000000000
Precinct  0000272Pct 9126/9144                                     0000272000000000
Precinct  0000273Pct 9127                                          0000273000000000
Precinct  0000274Pct 9128/9129                                     0000274000000000
Precinct  0000275Pct 9131/9132                                     0000275000000000
Precinct  0000276Pct 9133                                          0000276000000000
Precinct  0000277Pct 9134                                          0000277000000000
Precinct  0000278Pct 9135                                          0000278000000000
Precinct  0000279Pct 9136                                          0000279000000000
Precinct  0000280Pct 9137/9138                                     0000280000000000
Precinct  0000281Pct 9141                                          0000281000000000
Precinct  0000282Pct 9142/9143                                     0000282000000000
Precinct  0000283Pct 9146/9145                                     0000283000000000
Precinct  0000284Pct 9148/9147                                     0000284000000000
Precinct  0000285Pct 9151                                          0000285000000000
Precinct  0000286Pct 9152/9149                                     0000286000000000
Precinct  0000287Pct 9201                                          0000287000000000
Precinct  0000288Pct 9202                                          0000288000000000
Precinct  0000289Pct 9205/9213                                     0000289000000000
Precinct  0000290Pct 9206/9203                                     0000290000000000
Precinct  0000291Pct 9208                                          0000291000000000
Precinct  0000292Pct 9209/9204                                     0000292000000000
Precinct  0000293Pct 9211/9207                                     0000293000000000
Precinct  0000294Pct 9212                                          0000294000000000
Precinct  0000295Pct 9214                                          0000295000000000
Precinct  0000296Pct 9215                                          0000296000000000
Precinct  0000297Pct 9219/9218                                     0000297000000000
Precinct  0000298Pct 9221                                          0000298000000000
Precinct  0000299Pct 9222/9216                                     0000299000000000
Precinct  0000300Pct 9223/9217                                     0000300000000000
Precinct  0000301Pct 9224                                          0000301000000000
Precinct  0000302Pct 9225/9226                                     0000302000000000
Precinct  0000303Pct 9227/9228                                     0000303000000000
Precinct  0000304Pct 9229                                          0000304000000000
Precinct  0000305Pct 9231                                          0000305000000000
Precinct  0000306Pct 9232/9233                                     0000306000000000
Precinct  0000307Pct 9234/9235                                     0000307000000000
Precinct  0000308Pct 9238/9246                                     0000308000000000
Precinct  0000309Pct 9239                                          0000309000000000
Precinct  0000310Pct 9241                                          0000310000000000
Precinct  0000311Pct 9242/9248                                     0000311000000000
Precinct  0000312Pct 9243/9236                                     0000312000000000
Precinct  0000313Pct 9244/9237                                     0000313000000000
Precinct  0000314Pct 9245/9247                                     0000314000000000
Precinct  0000315Pct 9251/9249                                     0000315000000000
Precinct  0000316Pct 9252                                          0000316000000000
Precinct  0000317Pct 9253                                          0000317000000000
Precinct  0000318Pct 9255                                          0000318000000000
Precinct  0000319Pct 9256/9254                                     0000319000000000
Precinct  0000320Pct 9257 MB                                       0000320000000000
Precinct  0000321Pct 9258                                          0000321000000000
Precinct  0000322Pct 9401/9411                                     0000322000000000
Precinct  0000323Pct 9402/9403                                     0000323000000000
Precinct  0000324Pct 9404                                          0000324000000000
Precinct  0000325Pct 9405                                          0000325000000000
Precinct  0000326Pct 9406                                          0000326000000000
Precinct  0000327Pct 9407                                          0000327000000000
Precinct  0000328Pct 9408                                          0000328000000000
Precinct  0000329Pct 9409                                          0000329000000000
Precinct  0000330Pct 9413                                          0000330000000000
Precinct  0000331Pct 9416/9412                                     0000331000000000
Precinct  0000332Pct 9418/9417                                     0000332000000000
Precinct  0000333Pct 9419/9414                                     0000333000000000
Precinct  0000334Pct 9421/9415                                     0000334000000000
Precinct  0000335Pct 9422/9428                                     0000335000000000
Precinct  0000336Pct 9423/9434                                     0000336000000000
Precinct  0000337Pct 9424/9425                                     0000337000000000
Precinct  0000338Pct 9426                                          0000338000000000
Precinct  0000339Pct 9427                                          0000339000000000
Precinct  0000340Pct 9429/9431                                     0000340000000000
Precinct  0000341Pct 9432                                          0000341000000000
Precinct  0000342Pct 9433                                          0000342000000000
Precinct  0000343Pct 9436                                          0000343000000000
Precinct  0000344Pct 9437/9445                                     0000344000000000
Precinct  0000345Pct 9439/9438                                     0000345000000000
Precinct  0000346Pct 9442/9435                                     0000346000000000
Precinct  0000347Pct 9443/9441                                     0000347000000000
Precinct  0000348Pct 9447/9448                                     0000348000000000
Precinct  0000349Pct 9449/9444                                     0000349000000000
Precinct  0000350Pct 9451                                          0000350000000000
Precinct  0000351Pct 9452/9446                                     0000351000000000
Precinct  0000352Pct 9453                                          0000352000000000
Precinct  0000353Pct 9501 MB                                       0000353000000000
Precinct  0000354Pct 9502 MB                                       0000354000000000
Precinct  0000355Pct 9503/9504                                     0000355000000000
Precinct  0000356Pct 9505/9506                                     0000356000000000
Precinct  0000357Pct 9507/9509                                     0000357000000000
Precinct  0000358Pct 9511                                          0000358000000000
Precinct  0000359Pct 9512                                          0000359000000000
Precinct  0000360Pct 9513/9508                                     0000360000000000
Precinct  0000361Pct 9516/9515                                     0000361000000000
Precinct  0000362Pct 9518/9517                                     0000362000000000
Precinct  0000363Pct 9521/9519                                     0000363000000000
Precinct  0000364Pct 9522/9514                                     0000364000000000
Precinct  0000365Pct 9702/9701                                     0000365000000000
