contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
Pierce County Auditor 2009,Pierce County,WA,2009,11/3/2009,County Auditor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/Pierce County/Pierce County Auditor 2009 Ballot Image.txt
Minneapolis BOE 2009,Minneapolis,MN,2009,11/6/2009,Board of Estimate and Taxation,FALSE,TRUE,TRUE,,,minneapolis,,stv_fractional_ballot,2,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Board of Estimate and Taxation – At-Large – elect 2.xls.csv
Minneapolis Mayor 2009,Minneapolis,MN,2009,11/6/2009,Mayor,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Mayor.xls.csv
Minneapolis Park At Large 2009,Minneapolis,MN,2009,11/6/2009,Minneapolis Park & Rec Board,FALSE,TRUE,TRUE,,,minneapolis,,stv_fractional_ballot,3,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Park and Recreation Board – At-Large – elect 3.xls.csv
Minneapolis Park District 1 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 1,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 1.xls.csv
Minneapolis Park District 2 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 2,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 2.xls.csv
Minneapolis Park District 3 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 3,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 3.xls.csv
Minneapolis Park District 4 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 4,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 4.xls.csv
Minneapolis Park District 5 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 5,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 5.xls.csv
Minneapolis Park District 6 2009,Minneapolis,MN,2009,11/6/2009,P&R Board District 6,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 6.xls.csv
