contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
Berkeley Council D4 2018,Berkeley,CA,2018,11/6/2018,City Council District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD42018ballot_image.txt"
Berkeley Council D7 2018,Berkeley,CA,2018,11/6/2018,City Council District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD72018ballot_image.txt"
Berkeley Council D8 2018,Berkeley,CA,2018,11/6/2018,City Council District 8,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD82018ballot_image.txt"
Oakland City Auditor 2018,Oakland,CA,2018,11/6/2018,City Auditor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandCityAuditor2018ballot_image.txt"
Oakland Council D2 2018,Oakland,CA,2018,11/6/2018,City Council District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandCouncilD22018ballot_image.txt"
Oakland Council D4 2018,Oakland,CA,2018,11/6/2018,City Council District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandCouncilD42018ballot_image.txt"
Oakland Council D6 2018,Oakland,CA,2018,11/6/2018,City Council District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandCouncilD62018ballot_image.txt"
Oakland Mayor 2018,Oakland,CA,2018,11/6/2018,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandMayor2018ballot_image.txt"
Oakland School D2 2018,Oakland,CA,2018,11/6/2018,School Director District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandSchoolD22018ballot_image.txt"
Oakland School D4 2018,Oakland,CA,2018,11/6/2018,School Director District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandSchoolD42018ballot_image.txt"
Oakland School D6 2018,Oakland,CA,2018,11/6/2018,School Director District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/OaklandSchoolD62018ballot_image.txt"
San Francisco Assessor-Recorder 2018,San Francisco,CA,2018,11/6/2018,Assessor-Recorder,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_assessor_ballotimage.txt
San Francisco Board of Supervisors District 10 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 10,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d10_ballotimage.txt
San Francisco Board of Supervisors District 2 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 2,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d2_ballotimage.txt
San Francisco Board of Supervisors District 4 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 4,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d4_ballotimage.txt
San Francisco Board of Supervisors District 6 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 6,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d6_ballotimage.txt
San Francisco Board of Supervisors District 8 2018,San Francisco,CA,2018,11/6/2018,Board of Supervisors District 8,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_d8_ballotimage.txt
San Francisco Board of Supervisors District 8 June 2018,San Francisco,CA,2018,6/5/2018,Board of Supervisors District 8,TRUE,FALSE,,,,"partial(sf, '0000021')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran June 2018/20180621_ballotimage.txt
San Francisco Mayor June 2018,San Francisco,CA,2018,6/5/2018,Mayor,TRUE,FALSE,,,,"partial(sf, '0000020')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran June 2018/20180621_ballotimage.txt
San Francisco Public Defender 2018,San Francisco,CA,2018,11/6/2018,Public Defender,TRUE,FALSE,,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_masterlookup.txt,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2018/20181127_defender_ballotimage.txt
San Leandro Council D1 2018,San Leandro,CA,2018,11/6/2018,County Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroCouncilD12018ballot_image.txt"
San Leandro Council D3 2018,San Leandro,CA,2018,11/6/2018,County Council District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroCouncilD32018ballot_image.txt"
San Leandro Council D5 2018,San Leandro,CA,2018,11/6/2018,County Council District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroCouncilD52018ballot_image.txt"
San Leandro Mayor 2018,San Leandro,CA,2018,11/6/2018,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/SanLeandroMayor2018ballot_image.txt"
Maine Democratic Primary for CD2 2018,Maine,ME,2018,6/12/2018,Democratic Primary for CD2,TRUE,TRUE,,,,"partial(maine, 5)",,rcv_single_winner,1,Ballot_Images/Maine/2018/csvMaine/Maine_Democratic_Primary_for_CD2_CVR.xlsx.csv
Maine Democratic Primary for Governor 2018,Maine,ME,2018,6/12/2018,Democratic Primary for Governor,TRUE,TRUE,,,,"partial(maine, 8)",,rcv_single_winner,1,Ballot_Images/Maine/2018/csvMaine/Maine Democratic Primary for Governor CVR.xlsx.csv
Maine General CD2 CVR Updated 2018,Maine,ME,2018,11/6/2018,Congressional District 2,TRUE,TRUE,,,,"partial(maine, 5)",,rcv_single_winner,1,Ballot_Images/Maine/2018/csvMaine/Maine General CD2 CVR Updated.xlsx.csv
Santa Fe Councilor District 2 2018,Santa Fe,NM,2018,3/6/2018,City Council District 2,TRUE,FALSE,,,,"partial(santafe, 1, 3)","partial(santafe_id, 1, 3)",rcv_single_winner,1,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv
Santa Fe Councilor District 4 2018,Santa Fe,NM,2018,3/6/2018,City Council District 4,TRUE,FALSE,,,,"partial(santafe, 1, 5)","partial(santafe_id, 1, 5)",rcv_single_winner,1,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv
Santa Fe Mayor 2018,Santa Fe,NM,2018,3/6/2018,Mayor,TRUE,FALSE,,,,"partial(santafe, 0, 1)","partial(santafe_id, 0, 1)",rcv_single_winner,1,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv
Eastpointe City Council 2019,Eastpointe,MI,2019,11/5/2019,City Council,TRUE,TRUE,TRUE,,,ep,,stv_fractional_ballot,2,Ballot_Images/Eastpointe/Eastpointe CVR Cleaned.csv
Payson City Council 2019,Payson,UT,2019,11/5/2019,City Council,TRUE,TRUE,,,,utah,,sequential_rcv,3,Ballot_Images/Payson/2019/Payson.csv
Vineyard City Council 2019,Vineyard,UT,2019,11/5/2019,City Council,TRUE,TRUE,,,,utah,,sequential_rcv,2,Ballot_Images/Vineyard/2019/Vineyard.csv
"San Francisco Board of Supervisors, District 5 2019",San Francisco,CA,2019,11/5/2019,"Member, Board of Supervisors, District 5",TRUE,FALSE,,,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco City Attorney 2019,San Francisco,CA,2019,11/5/2019,City Attorney,TRUE,FALSE,,,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco District Attorney 2019,San Francisco,CA,2019,11/5/2019,District Attorney,TRUE,FALSE,,,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Mayor 2019,San Francisco,CA,2019,11/5/2019,Mayor,TRUE,FALSE,,,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Public Defender 2019,San Francisco,CA,2019,11/5/2019,Public Defender,TRUE,FALSE,,,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Sheriff 2019,San Francisco,CA,2019,11/5/2019,Sheriff,TRUE,FALSE,,,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
San Francisco Treasurer 2019,San Francisco,CA,2019,11/5/2019,Treasurer,TRUE,FALSE,,,,dominion5_2,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2019/CVR_Export_20191125163446
Cambridge City Council 2019,Cambridge,MA,2019,11/15/2019,City Council,FALSE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2019/City Council/council 2019 Final.chp
Cambridge School Committee 2019,Cambridge,MA,2019,11/15/2019,School Committee,FALSE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2019/School Committee/school.chp
Las Cruces Mayor 2019,Las Cruces,NM,2019,11/5/2019,MAYOR CITY OF LAS CRUCES,TRUE,FALSE,,,,dominion5_4,,rcv_single_winner,1,Ballot_Images/LasCruces/2019
Las Cruces Mayor 2019,Las Cruces,NM,2019,11/5/2019,COUNCILOR POSITION 2 CITY OF LAS CRUCES DISTRICT 2 COUNCILOR,TRUE,FALSE,,,,dominion5_4,,rcv_single_winner,1,Ballot_Images/LasCruces/2019
Las Cruces Mayor 2019,Las Cruces,NM,2019,11/5/2019,COUNCILOR POSITION 4 CITY OF LAS CRUCES DISTRICT 4 COUNCILOR,TRUE,FALSE,,,,dominion5_4,,rcv_single_winner,1,Ballot_Images/LasCruces/2019
Republican Candidate Maine US House District 2,Maine,ME,2020,7/14/2020,Republican Candidate for US House of Representatives District 2,TRUE,TRUE,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/US_House_CD2_Republican_Primary/official_08032020
Democratic Candidate Maine State Senate District 11 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State Senate District 11,TRUE,TRUE,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Senate_District11_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 41 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 41,TRUE,TRUE,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District41_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 47 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 47,TRUE,TRUE,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District47_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 49 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 49,TRUE,TRUE,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District49_Democratic_Primary/official_08032020
Democratic Candidate Maine State House District 90 2020,Maine,ME,2020,7/14/2020,Democratic Candidate for Maine State House District 90,TRUE,TRUE,,,,common_csv,,rcv_single_winner,1,Ballot_Images/Maine/2020/State_Rep_District90_Democratic_Primary/official_08032020
Alaska Dem Primary 2020,Alaska,AK,2020,4/10/2020,PRESIDENT OF THE UNITED STATES,TRUE,FALSE,,,,common_csv,,rcv_multiWinner_thresh15,,Ballot_Images/Alaska/2020/dem_presidential_primary
Wyoming Dem Primary 2020,Wyoming,WY,2020,4/17/2020,PRESIDENT OF THE UNITED STATES,TRUE,FALSE,,,,common_csv,,rcv_multiWinner_thresh15,,Ballot_Images/Wyoming/2020/dem_presidential_primary
Kansas Dem Primary 2020,Kansas,KS,2020,5/2/2020,PRESIDENT OF THE UNITED STATES,TRUE,FALSE,,,,common_csv,,rcv_multiWinner_thresh15,,Ballot_Images/Kansas/2020/dem_presidential_primary
Hawaii Dem Presidential Primary  2020 CD1,Hawaii,HI,2020,5/23/2020,President of the United State CD1,FALSE,FALSE,,,,unisyn,,rcv_multiWinner_thresh15,,Ballot_Images/Hawaii/2020/dem_presidential_primary/CD1
Hawaii Dem Presidential Primary  2020 CD2,Hawaii,HI,2020,5/23/2020,President of the United State CD2,FALSE,FALSE,,,,unisyn,,rcv_multiWinner_thresh15,,Ballot_Images/Hawaii/2020/dem_presidential_primary/CD2
Hawaii Dem Presidential Primary  2020 CD1 CD2,Hawaii,HI,2020,5/23/2020,President of the United State CD1 CD2,FALSE,FALSE,,,,unisyn,,rcv_multiWinner_thresh15,,Ballot_Images/Hawaii/2020/dem_presidential_primary/CD1_CD2
Special Election for Council Member Ward 6,Minneapolis,MN,2020,8/11/2020,Ward 6 City Council Special Election,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2020/Special_Ward_6_Cast_Vote_Record_Clean.csv
