candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer
"Cheung, Leland",13.486,2391.0,-617.0,10.006,1774.0,0.0,10.011,1774.0,0.0,10.018,1774.0,0.0,10.023,1774.0,0.0,10.027,1774.0,0.0,10.033,1774.0,0.0,10.04,1774.0,0.0,10.042,1774.0,0.0,10.049,1774.0,0.0,10.07,1774.0,0.0,10.124,1774.0,0.0,10.142,1774.0,0.0,10.169,1774.0,0.0,10.286,1774.0,0.0,10.33,1774.0,0.0,10.405,1774.0,0.0,10.405,1774.0,0.0,10.529,1774.0,0.0,10.529,1774.0,0.0,10.529,1774.0,0.0,10.814,1774.0,
"Yarden, Elie",0.575,102.0,1.0,0.581,103.0,0.0,0.581,103.0,0.0,0.582,103.0,2.0,0.593,105.0,7.0,0.633,112.0,5.0,0.662,117.0,1.0,0.668,118.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Smith, Jefferson R.",3.266,579.0,28.0,3.424,607.0,0.0,3.426,607.0,1.0,3.433,608.0,1.0,3.441,609.0,2.0,3.453,611.0,1.0,3.461,612.0,4.0,3.486,616.0,2.0,3.498,618.0,2.0,3.512,620.0,9.0,3.57,629.0,4.0,3.612,633.0,22.0,3.745,655.0,35.0,3.955,690.0,9.0,4.053,699.0,-699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",8.212,1456.0,24.0,8.347,1480.0,0.0,8.352,1480.0,7.0,8.397,1487.0,0.0,8.401,1487.0,2.0,8.416,1489.0,3.0,8.438,1492.0,7.0,8.483,1499.0,0.0,8.485,1499.0,2.0,8.502,1501.0,22.0,8.645,1523.0,11.0,8.754,1534.0,8.0,8.815,1542.0,18.0,8.942,1560.0,42.0,9.289,1602.0,43.0,9.579,1645.0,34.0,9.848,1679.0,16.0,9.942,1695.0,104.0,10.677,1799.0,-25.0,10.529,1774.0,0.0,10.529,1774.0,0.0,10.814,1774.0,
"Vasquez, Luis",1.483,263.0,9.0,1.534,272.0,0.0,1.535,272.0,0.0,1.536,272.0,2.0,1.548,274.0,4.0,1.571,278.0,2.0,1.584,280.0,4.0,1.607,284.0,4.0,1.63,288.0,4.0,1.654,292.0,-292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Phillips, Lesley Rebecca",0.462,82.0,7.0,0.502,89.0,1.0,0.508,90.0,1.0,0.514,91.0,6.0,0.548,97.0,1.0,0.554,98.0,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"McGovern, Marc C.",6.695,1187.0,61.0,7.039,1248.0,0.0,7.043,1248.0,1.0,7.053,1249.0,1.0,7.062,1250.0,0.0,7.065,1250.0,3.0,7.087,1253.0,6.0,7.125,1259.0,4.0,7.149,1263.0,5.0,7.183,1268.0,21.0,7.317,1289.0,19.0,7.464,1308.0,25.0,7.621,1333.0,44.0,7.893,1377.0,32.0,8.17,1409.0,69.0,8.607,1478.0,109.0,9.308,1587.0,5.0,9.338,1592.0,63.0,9.823,1655.0,41.0,10.066,1696.0,12.0,10.137,1708.0,236.0,11.851,1944.0,
"Peden, Ronald",0.276,49.0,0.0,0.276,49.0,0.0,0.277,49.0,2.0,0.288,51.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Von Hoffmann, Kristen Lane",2.369,420.0,20.0,2.482,440.0,0.0,2.483,440.0,0.0,2.485,440.0,0.0,2.486,440.0,5.0,2.515,445.0,10.0,2.573,455.0,7.0,2.615,462.0,7.0,2.655,469.0,1.0,2.662,470.0,8.0,2.713,478.0,7.0,2.768,485.0,29.0,2.938,514.0,-514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Williamson, James M.",0.417,74.0,2.0,0.429,76.0,0.0,0.429,76.0,0.0,0.429,76.0,2.0,0.441,78.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",3.954,701.0,37.0,4.162,738.0,0.0,4.165,738.0,3.0,4.184,741.0,1.0,4.192,742.0,1.0,4.199,743.0,13.0,4.276,756.0,2.0,4.29,758.0,9.0,4.342,767.0,7.0,4.384,774.0,9.0,4.445,783.0,7.0,4.508,790.0,29.0,4.682,819.0,30.0,4.866,849.0,22.0,5.05,871.0,59.0,5.415,930.0,-930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mirza, Mushtaque A.",1.596,283.0,5.0,1.624,288.0,0.0,1.625,288.0,0.0,1.626,288.0,5.0,1.655,293.0,0.0,1.656,293.0,3.0,1.674,296.0,3.0,1.692,299.0,10.0,1.749,309.0,7.0,1.79,316.0,7.0,1.833,323.0,-323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Benzan, Dennis A.",7.332,1300.0,25.0,7.473,1325.0,1.0,7.483,1326.0,0.0,7.488,1326.0,2.0,7.503,1328.0,3.0,7.523,1331.0,2.0,7.539,1333.0,5.0,7.572,1338.0,16.0,7.664,1354.0,4.0,7.692,1358.0,48.0,7.981,1406.0,1.0,8.029,1407.0,19.0,8.152,1426.0,43.0,8.42,1469.0,28.0,8.68,1497.0,52.0,9.02,1549.0,64.0,9.461,1613.0,6.0,9.496,1619.0,142.0,10.452,1761.0,63.0,10.826,1824.0,-50.0,10.529,1774.0,0.0,10.814,1774.0,
"Carlone, Dennis J.",6.492,1151.0,25.0,6.633,1176.0,0.0,6.637,1176.0,0.0,6.641,1176.0,1.0,6.65,1177.0,8.0,6.698,1185.0,3.0,6.719,1188.0,3.0,6.74,1191.0,11.0,6.804,1202.0,25.0,6.95,1227.0,11.0,7.027,1238.0,12.0,7.133,1250.0,63.0,7.506,1313.0,33.0,7.715,1346.0,29.0,7.972,1375.0,50.0,8.298,1425.0,90.0,8.886,1515.0,5.0,8.915,1520.0,23.0,9.158,1543.0,15.0,9.247,1558.0,12.0,9.318,1570.0,283.0,11.296,1853.0,
"Lee, James",0.513,91.0,10.0,0.57,101.0,1.0,0.576,102.0,0.0,0.576,102.0,0.0,0.576,102.0,3.0,0.593,105.0,1.0,0.6,106.0,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Moree, Gregg J.",0.209,37.0,1.0,0.214,38.0,0.0,0.214,38.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,44.0,0.0,0.0,44.0,10.0,0.0,54.0,11.0,0.0,65.0,9.0,0.0,74.0,7.0,0.0,81.0,12.0,0.0,93.0,11.0,0.0,104.0,4.0,0.0,108.0,12.0,0.0,120.0,37.0,0.0,157.0,94.0,0.0,251.0,31.0,0.0,282.0,46.0,0.0,328.0,199.0,0.0,527.0,74.0,0.0,601.0,124.0,0.0,725.0,0.0,0.0,725.0,200.0,0.0,925.0,0.0,0.0,925.0,0.0,0.0,925.0,445.0,0.0,1370.0,
colsum,100.00000000000001,17774.0,0.0,100.00099999999999,17774.0,0.0,100.00000000000001,17774.0,0.0,100.00099999999999,17774.0,0.0,100.00000000000001,17774.0,0.0,99.99900000000001,17774.0,0.0,99.999,17774.0,0.0,99.99799999999998,17774.0,0.0,99.99699999999999,17774.0,0.0,100.00000000000001,17774.0,0.0,100.00099999999999,17774.0,0.0,99.99799999999999,17774.0,0.0,100.0,17774.0,0.0,100.0,17774.0,0.0,100.00099999999999,17774.0,0.0,100.001,17774.0,0.0,99.998,17774.0,0.0,99.99799999999999,17774.0,0.0,100.00099999999999,17774.0,0.0,100.00099999999999,17774.0,0.0,100.00099999999999,17774.0,0.0,99.99799999999999,17774.0,
