candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
"Mednick, Risa",1.141,242.0,7.0,1.174,249.0,0.0,1.174,249.0,0.0,1.175,249.0,6.0,1.203,255.0,2.0,1.213,257.0,-257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sobrinho-Wheeler, Jivan",6.219,1319.0,29.0,6.356,1348.0,0.0,6.358,1348.0,0.0,6.36,1348.0,4.0,6.38,1352.0,2.0,6.392,1354.0,18.0,6.481,1372.0,62.0,6.78,1434.0,0.0,6.78,1434.0,43.0,6.989,1477.0,36.0,7.171,1513.0,17.0,7.26,1530.0,24.0,7.39,1554.0,108.0,7.924,1662.0,0.0,7.924,1662.0,97.0,8.434,1759.0,342.0,10.148,2101.0,51.0,10.395,2152.0,-31.0,10.245,2121.0,0.0,10.575,2121.0,
"McGovern, Marc C.",7.629,1618.0,37.0,7.803,1655.0,2.0,7.815,1657.0,1.0,7.823,1658.0,8.0,7.862,1666.0,2.0,7.875,1668.0,18.0,7.964,1686.0,10.0,8.019,1696.0,1.0,8.023,1697.0,24.0,8.143,1721.0,19.0,8.246,1740.0,15.0,8.327,1755.0,33.0,8.503,1788.0,135.0,9.169,1923.0,0.0,9.169,1923.0,44.0,9.431,1967.0,211.0,10.52,2178.0,-57.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.575,2121.0,
"McNary, Jeffery",0.363,77.0,1.0,0.368,78.0,1.0,0.373,79.0,2.0,0.382,81.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Pitkin, John",2.527,536.0,5.0,2.551,541.0,0.0,2.552,541.0,1.0,2.557,542.0,3.0,2.572,545.0,4.0,2.592,549.0,13.0,2.655,562.0,11.0,2.709,573.0,0.0,2.709,573.0,11.0,2.763,584.0,11.0,2.82,595.0,98.0,3.288,693.0,-693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Williams, Nicola A.",2.97,630.0,6.0,2.999,636.0,0.0,3.0,636.0,0.0,3.001,636.0,1.0,3.006,637.0,6.0,3.036,643.0,12.0,3.094,655.0,27.0,3.224,682.0,3.0,3.239,685.0,24.0,3.355,709.0,54.0,3.616,763.0,32.0,3.772,795.0,81.0,4.166,876.0,38.0,4.358,914.0,4.0,4.377,918.0,-918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Carlone, Dennis J.",6.95,1474.0,7.0,6.983,1481.0,0.0,6.985,1481.0,0.0,6.988,1481.0,0.0,6.989,1481.0,13.0,7.053,1494.0,26.0,7.18,1520.0,18.0,7.272,1538.0,0.0,7.272,1538.0,28.0,7.41,1566.0,12.0,7.479,1578.0,63.0,7.786,1641.0,77.0,8.17,1718.0,32.0,8.344,1750.0,5.0,8.368,1755.0,113.0,8.956,1868.0,50.0,9.264,1918.0,36.0,9.438,1954.0,19.0,9.53,1973.0,960.0,14.623,2933.0,
"Franklin, Charles J.",1.523,323.0,7.0,1.556,330.0,1.0,1.561,331.0,2.0,1.571,333.0,5.0,1.595,338.0,7.0,1.629,345.0,5.0,1.653,350.0,21.0,1.754,371.0,0.0,1.754,371.0,-371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mallon, Alanna M.",5.913,1254.0,82.0,6.299,1336.0,0.0,6.301,1336.0,1.0,6.308,1337.0,3.0,6.324,1340.0,4.0,6.345,1344.0,24.0,6.462,1368.0,10.0,6.515,1378.0,0.0,6.515,1378.0,20.0,6.615,1398.0,60.0,6.91,1458.0,19.0,7.008,1477.0,25.0,7.143,1502.0,186.0,8.048,1688.0,1.0,8.053,1689.0,75.0,8.458,1764.0,381.0,10.361,2145.0,-24.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.575,2121.0,
"Moree, Gregg J.",0.217,46.0,1.0,0.222,47.0,1.0,0.226,48.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Nolan, Patricia M.",7.945,1685.0,13.0,8.006,1698.0,2.0,8.018,1700.0,6.0,8.049,1706.0,4.0,8.07,1710.0,5.0,8.096,1715.0,30.0,8.243,1745.0,19.0,8.34,1764.0,1.0,8.345,1765.0,34.0,8.512,1799.0,24.0,8.64,1823.0,116.0,9.2,1939.0,123.0,9.806,2062.0,74.0,10.185,2136.0,-15.0,10.113,2121.0,0.0,10.169,2121.0,0.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.245,2121.0,0.0,10.575,2121.0,
exhaust,0.0,63.0,0.0,0.0,63.0,6.0,0.0,69.0,9.0,0.0,78.0,4.0,0.0,82.0,8.0,0.0,90.0,12.0,0.0,102.0,19.0,0.0,121.0,0.0,0.0,121.0,17.0,0.0,138.0,34.0,0.0,172.0,25.0,0.0,197.0,46.0,0.0,243.0,56.0,0.0,299.0,0.0,0.0,299.0,116.0,0.0,415.0,154.0,0.0,569.0,0.0,0.0,569.0,0.0,0.0,569.0,646.0,0.0,1215.0,
colsum,100.0,21272.0,0.0,100.0,21272.0,0.0,100.00000000000001,21272.0,0.0,99.99900000000002,21272.0,0.0,100.0,21272.0,0.0,100.00000000000001,21272.0,0.0,100.001,21272.0,0.0,99.99900000000002,21272.0,0.0,100.00000000000001,21272.0,0.0,99.999,21272.0,0.0,100.00099999999999,21272.0,0.0,99.998,21272.0,0.0,100.002,21272.0,0.0,99.999,21272.0,0.0,99.99899999999998,21272.0,0.0,100.0,21272.0,0.0,99.999,21272.0,0.0,100.00100000000002,21272.0,0.0,100.001,21272.0,0.0,100.001,21272.0,
