candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer,r23_active_percent,r23_count,r23_transfer
"Devereux, Jan",7.543,1699.0,68.0,7.845,1767.0,0.0,7.847,1767.0,2.0,7.858,1769.0,0.0,7.861,1769.0,3.0,7.876,1772.0,7.0,7.911,1779.0,8.0,7.955,1787.0,35.0,8.116,1822.0,14.0,8.209,1836.0,19.0,8.301,1855.0,24.0,8.421,1879.0,40.0,8.641,1919.0,34.0,8.805,1953.0,80.0,9.216,2033.0,60.0,9.57,2093.0,10.0,9.615,2103.0,95.0,10.118,2198.0,191.0,11.081,2389.0,-136.0,10.45,2253.0,0.0,10.786,2253.0,0.0,10.786,2253.0,0.0,11.263,2253.0,
"Pillai, Hari I.",0.475,107.0,7.0,0.506,114.0,0.0,0.506,114.0,0.0,0.506,114.0,1.0,0.511,115.0,0.0,0.511,115.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Siddiqui, Sumbul",11.241,2532.0,-279.0,10.003,2253.0,0.0,10.006,2253.0,0.0,10.008,2253.0,0.0,10.012,2253.0,0.0,10.014,2253.0,0.0,10.018,2253.0,0.0,10.029,2253.0,0.0,10.036,2253.0,0.0,10.073,2253.0,0.0,10.082,2253.0,0.0,10.097,2253.0,0.0,10.145,2253.0,0.0,10.157,2253.0,0.0,10.213,2253.0,0.0,10.301,2253.0,0.0,10.301,2253.0,0.0,10.371,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.786,2253.0,0.0,10.786,2253.0,0.0,11.263,2253.0,
"Mallon, Alanna M.",5.9,1329.0,43.0,6.091,1372.0,0.0,6.093,1372.0,2.0,6.103,1374.0,1.0,6.11,1375.0,5.0,6.134,1380.0,4.0,6.154,1384.0,7.0,6.192,1391.0,25.0,6.307,1416.0,10.0,6.375,1426.0,18.0,6.462,1444.0,38.0,6.642,1482.0,29.0,6.804,1511.0,122.0,7.362,1633.0,63.0,7.688,1696.0,117.0,8.29,1813.0,23.0,8.395,1836.0,302.0,9.842,2138.0,158.0,10.649,2296.0,-43.0,10.45,2253.0,0.0,10.786,2253.0,0.0,10.786,2253.0,0.0,11.263,2253.0,
"Santos, Jeff",0.653,147.0,6.0,0.679,153.0,3.0,0.693,156.0,1.0,0.697,157.0,1.0,0.702,158.0,1.0,0.707,159.0,9.0,0.747,168.0,-168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Lenke, Dan",0.24,54.0,2.0,0.249,56.0,0.0,0.249,56.0,2.0,0.258,58.0,1.0,0.262,59.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.093,21.0,1.0,0.098,22.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Harding, Jr., Richard",3.712,836.0,69.0,4.018,905.0,0.0,4.019,905.0,0.0,4.02,905.0,2.0,4.03,907.0,1.0,4.036,908.0,0.0,4.038,908.0,8.0,4.077,916.0,8.0,4.116,924.0,30.0,4.265,954.0,8.0,4.305,962.0,11.0,4.36,973.0,22.0,4.481,995.0,21.0,4.58,1016.0,19.0,4.692,1035.0,130.0,5.327,1165.0,3.0,5.34,1168.0,72.0,5.708,1240.0,77.0,6.109,1317.0,33.0,6.262,1350.0,-1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Zondervan, Quinton Y.",6.948,1565.0,44.0,7.143,1609.0,0.0,7.146,1609.0,0.0,7.147,1609.0,0.0,7.15,1609.0,4.0,7.17,1613.0,13.0,7.23,1626.0,23.0,7.34,1649.0,23.0,7.448,1672.0,3.0,7.489,1675.0,47.0,7.706,1722.0,36.0,7.878,1758.0,10.0,7.961,1768.0,28.0,8.097,1796.0,67.0,8.445,1863.0,73.0,8.852,1936.0,9.0,8.893,1945.0,71.0,9.28,2016.0,360.0,11.02,2376.0,-123.0,10.45,2253.0,0.0,10.786,2253.0,0.0,10.786,2253.0,0.0,11.263,2253.0,
"Okamoto, Nadya T.",2.442,550.0,15.0,2.508,565.0,1.0,2.514,566.0,4.0,2.532,570.0,3.0,2.546,573.0,1.0,2.551,574.0,15.0,2.619,589.0,12.0,2.675,601.0,24.0,2.784,625.0,13.0,2.852,638.0,10.0,2.9,648.0,18.0,2.985,666.0,13.0,3.058,679.0,39.0,3.237,718.0,-718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",4.848,1092.0,31.0,4.986,1123.0,1.0,4.992,1124.0,2.0,5.002,1126.0,3.0,5.017,1129.0,0.0,5.018,1129.0,1.0,5.025,1130.0,3.0,5.043,1133.0,6.0,5.073,1139.0,7.0,5.124,1146.0,11.0,5.177,1157.0,8.0,5.221,1165.0,32.0,5.39,1197.0,28.0,5.523,1225.0,28.0,5.68,1253.0,37.0,5.898,1290.0,12.0,5.953,1302.0,88.0,6.398,1390.0,62.0,6.735,1452.0,38.0,6.911,1490.0,124.0,7.727,1614.0,30.0,7.871,1644.0,409.0,10.263,2053.0,
"Moree, Gregg J.",0.204,46.0,1.0,0.209,47.0,0.0,0.209,47.0,0.0,0.209,47.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Carlone, Dennis J.",5.221,1176.0,35.0,5.376,1211.0,1.0,5.383,1212.0,2.0,5.392,1214.0,1.0,5.399,1215.0,0.0,5.4,1215.0,7.0,5.434,1222.0,7.0,5.471,1229.0,19.0,5.559,1248.0,11.0,5.629,1259.0,16.0,5.705,1275.0,16.0,5.786,1291.0,23.0,5.917,1314.0,18.0,6.005,1332.0,41.0,6.224,1373.0,43.0,6.474,1416.0,8.0,6.511,1424.0,59.0,6.827,1483.0,119.0,7.43,1602.0,180.0,8.265,1782.0,150.0,9.249,1932.0,8.0,9.288,1940.0,239.0,10.893,2179.0,
"Burgin, Josh M.",1.74,392.0,4.0,1.758,396.0,1.0,1.763,397.0,1.0,1.768,398.0,5.0,1.791,403.0,0.0,1.791,403.0,3.0,1.805,406.0,2.0,1.816,408.0,6.0,1.844,414.0,16.0,1.922,430.0,3.0,1.938,433.0,8.0,1.976,441.0,-441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",7.188,1619.0,51.0,7.414,1670.0,1.0,7.421,1671.0,10.0,7.467,1681.0,4.0,7.488,1685.0,4.0,7.507,1689.0,6.0,7.537,1695.0,14.0,7.607,1709.0,2.0,7.621,1711.0,11.0,7.699,1722.0,45.0,7.907,1767.0,12.0,7.973,1779.0,22.0,8.11,1801.0,12.0,8.174,1813.0,18.0,8.3,1831.0,31.0,8.514,1862.0,7.0,8.546,1869.0,95.0,9.041,1964.0,37.0,9.281,2001.0,21.0,9.378,2022.0,288.0,11.059,2310.0,-57.0,10.786,2253.0,0.0,11.263,2253.0,
"Volmar, Gwen Thomas",1.101,248.0,8.0,1.137,256.0,1.0,1.141,257.0,2.0,1.15,259.0,0.0,1.151,259.0,2.0,1.16,261.0,3.0,1.174,264.0,6.0,1.202,270.0,12.0,1.256,282.0,7.0,1.292,289.0,10.0,1.338,299.0,-299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"McGovern, Marc C.",8.347,1880.0,79.0,8.697,1959.0,4.0,8.718,1963.0,1.0,8.724,1964.0,4.0,8.745,1968.0,1.0,8.752,1969.0,5.0,8.778,1974.0,14.0,8.849,1988.0,13.0,8.913,2001.0,15.0,9.013,2016.0,19.0,9.106,2035.0,17.0,9.196,2052.0,38.0,9.411,2090.0,91.0,9.833,2181.0,43.0,10.082,2224.0,130.0,10.763,2354.0,-101.0,10.301,2253.0,0.0,10.371,2253.0,0.0,10.45,2253.0,0.0,10.45,2253.0,0.0,10.786,2253.0,0.0,10.786,2253.0,0.0,11.263,2253.0,
exhaust,0.0,21.0,0.0,0.0,21.0,7.0,0.0,28.0,4.0,0.0,32.0,9.0,0.0,41.0,6.0,0.0,47.0,9.0,0.0,56.0,24.0,0.0,80.0,15.0,0.0,95.0,83.0,0.0,178.0,20.0,0.0,198.0,33.0,0.0,231.0,107.0,0.0,338.0,26.0,0.0,364.0,121.0,0.0,485.0,189.0,0.0,674.0,0.0,0.0,674.0,147.0,0.0,821.0,164.0,0.0,985.0,0.0,0.0,985.0,672.0,0.0,1657.0,0.0,0.0,1657.0,885.0,0.0,2542.0,
colsum,99.99900000000001,22545.0,0.0,100.001,22545.0,0.0,100.00100000000002,22545.0,0.0,100.00200000000001,22545.0,0.0,100.00000000000001,22545.0,0.0,99.998,22545.0,0.0,100.00100000000003,22545.0,0.0,99.998,22545.0,0.0,99.999,22545.0,0.0,100.0,22545.0,0.0,100.00099999999999,22545.0,0.0,100.001,22545.0,0.0,99.99700000000001,22545.0,0.0,99.999,22545.0,0.0,100.0,22545.0,0.0,100.0,22545.0,0.0,100.00000000000001,22545.0,0.0,100.00099999999999,22545.0,0.0,100.00000000000001,22545.0,0.0,100.0,22545.0,0.0,99.999,22545.0,0.0,100.0,22545.0,0.0,99.99700000000001,22545.0,
